id,question,option_a,option_b,option_c,option_d,answer
q1,294,8.5 years,7.6 years,11.2 years,4 years,B
q3,936,"granted, because the defendant has the burden to prove mental incompetency by a preponderance of the evidence, not by clear and convincing evidence.","denied, because the defendant cannot base an appeal on ineffective assistance of counsel due to his own failure to communicate with his lawyer.","denied, because it is constitutionally permissible to place the burden on the defendant to prove mental incompetency by clear and convincing evidence.","granted, because the prosecution has the burden to prove the defendant's competency by a preponderance of evidence.",D
q4,946,The plumber's bid created an enforceable promissory estoppel situation.,"An option contract was created, because the contractor, with the plumber's knowledge, used the plumber's bid in computing the bid he submitted to the developer.","The plumber had an implied contract with the contractor, which he violated by refusing to fulfill his bid.",The plumber had a moral obligation to fulfill his bid as it was already included in the contractor's total cost.,B
q11,1841,Title is entirely in the cousin as the beneficiary of the brother's will.,The answer depends on whether the jurisdiction follows the lien theory or the title theory ofmortgages.,"The brother's share of the land is in probate, while the sister retains her original share.","Title is in the sister, the cousin, and the mortgage lender as tenants in common.",B
q13,2446,The quality of nonparental early care and education experiences,Hearing loss,Variation in the support for language acquisition in the social environment,The particular native language in a child’s environment,D
q17,3011,Duplication of chromosome 14,Translocation between chromosomes 14 and 21,Deletion in chromosome 21,Mutation in chromosome 14,B
q18,3200,Savanna,Taiga,Tundra,Chaparral,B
q19,3700,∆T ∆t ≤ h/4π,∆T ∆t \geq h/c,∆T ∆t = h^2/c^2,∆T ∆t = h/c,B
q20,4683,Hostility vs. neutrality,Competency vs. failure,Invasion vs. withdrawal,Insurgence vs. retreat,D
q24,4950,The heavens are occupied by bodies revolving around each other rather than by God alone.,The sun is the center of the universe.,The Earth is but one tiny planet in an infinite universe or even multiverse.,There are only four planets in the universe.,C
q26,5367,Sanctions,Intelligence gathering,Trade,Diplomacy,D
q28,5933,Gucci,Chanel,Versace,Prada,B
q29,6002,Tumours,Brain pathology,No disease at all,Kidney infections,C
q31,6551,Intraoperative angiography,Intravenous heparin therapy,Immediate surgical exploration,Initiate antibiotic therapy,A
