question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q4,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,D,llama3:8b-instruct-q8_0,0.5,0,D,1
q4,1,0.0,0.0,1.0,0.0,C,C,D,llama3:8b-instruct-q8_0,0.5,1,C,1
q4,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,llama3:8b-instruct-q8_0,0.5,0,C,0
q4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,D,llama3:8b-instruct-q8_0,0.5,0,A,1
q1,0,0.0,0.0,1.0,0.0,C,C,C,llama3:8b-instruct-q8_0,0.5,1,C,1
q1,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q8_0,0.5,0,C,0
q1,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,llama3:8b-instruct-q8_0,0.5,0,A,1
q1,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,llama3:8b-instruct-q8_0,0.5,0,D,1
q3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,B,B,llama3:8b-instruct-q8_0,0.5,1,A,0
q3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,B,llama3:8b-instruct-q8_0,0.5,0,A,1
q3,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,B,llama3:8b-instruct-q8_0,0.5,0,D,1
q3,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,B,llama3:8b-instruct-q8_0,0.5,1,C,1
q2,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,A,llama3:8b-instruct-q8_0,0.5,0,A,1
q2,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,A,llama3:8b-instruct-q8_0,0.5,0,D,1
q2,2,0.0,0.0,1.0,0.0,C,C,A,llama3:8b-instruct-q8_0,0.5,1,C,1
q2,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,llama3:8b-instruct-q8_0,0.5,0,C,0
q7,0,0.0,0.0,1.0,0.0,C,D,D,llama3:8b-instruct-q8_0,0.5,0,C,0
q7,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,D,llama3:8b-instruct-q8_0,0.5,1,C,1
q7,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,D,llama3:8b-instruct-q8_0,0.5,0,A,0
q7,3,0.0,0.0,1.0,0.0,C,A,D,llama3:8b-instruct-q8_0,0.5,0,C,0
q5,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,D,llama3:8b-instruct-q8_0,0.5,0,D,1
q5,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,D,llama3:8b-instruct-q8_0,0.5,1,C,1
q5,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,D,llama3:8b-instruct-q8_0,0.5,1,B,1
q5,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,D,llama3:8b-instruct-q8_0,0.5,0,B,0
q6,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,B,llama3:8b-instruct-q8_0,0.5,0,C,0
q6,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,B,llama3:8b-instruct-q8_0,0.5,0,A,1
q6,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,B,llama3:8b-instruct-q8_0,0.5,0,D,1
q6,3,0.0,0.0,1.0,0.0,C,C,B,llama3:8b-instruct-q8_0,0.5,1,C,1
q8,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,B,B,llama3:8b-instruct-q8_0,0.5,1,A,0
q8,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,B,llama3:8b-instruct-q8_0,0.5,0,B,0
q8,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,D,B,llama3:8b-instruct-q8_0,0.5,0,A,0
q8,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,B,llama3:8b-instruct-q8_0,0.5,0,B,0
q10,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,llama3:8b-instruct-q8_0,0.5,1,C,1
q10,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q8_0,0.5,0,A,0
q10,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,C,llama3:8b-instruct-q8_0,0.5,0,D,0
q10,3,0.0,0.0,1.0,0.0,C,D,C,llama3:8b-instruct-q8_0,0.5,0,C,0
q9,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,A,llama3:8b-instruct-q8_0,0.5,0,B,0
q9,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,D,A,llama3:8b-instruct-q8_0,0.5,0,A,0
q9,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,llama3:8b-instruct-q8_0,0.5,1,D,0
q9,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,llama3:8b-instruct-q8_0,0.5,0,C,0
q11,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,B,B,llama3:8b-instruct-q8_0,0.5,0,A,0
q11,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,A,B,llama3:8b-instruct-q8_0,0.5,1,A,1
q11,2,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,D,B,llama3:8b-instruct-q8_0,0.5,0,D,1
q11,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,B,llama3:8b-instruct-q8_0,0.5,1,C,1
q12,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,D,llama3:8b-instruct-q8_0,0.5,0,D,1
q12,1,0.0,0.0,1.0,0.0,C,C,D,llama3:8b-instruct-q8_0,0.5,1,C,1
q12,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,llama3:8b-instruct-q8_0,0.5,0,C,0
q12,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,D,llama3:8b-instruct-q8_0,0.5,0,A,1
q13,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,A,llama3:8b-instruct-q8_0,0.5,0,D,0
q13,1,0.0,0.0,1.0,0.0,C,D,A,llama3:8b-instruct-q8_0,0.5,0,C,0
q13,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,llama3:8b-instruct-q8_0,0.5,1,C,1
q13,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,A,llama3:8b-instruct-q8_0,0.5,0,A,0
q14,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,A,llama3:8b-instruct-q8_0,0.5,0,A,1
q14,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,A,llama3:8b-instruct-q8_0,0.5,0,D,1
q14,2,0.0,0.0,1.0,0.0,C,C,A,llama3:8b-instruct-q8_0,0.5,1,C,1
q14,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,A,llama3:8b-instruct-q8_0,0.5,1,B,1
q16,0,0.5,0.0,0.5,0.0,C,A,A,llama3:8b-instruct-q8_0,0.5,0,A,1
q16,1,0.0,0.0,0.5,0.5,C,D,A,llama3:8b-instruct-q8_0,0.5,0,D,1
q16,2,0.0,0.0,1.0,0.0,C,C,A,llama3:8b-instruct-q8_0,0.5,1,C,1
q16,3,0.0,0.5,0.5,0.0,C,B,A,llama3:8b-instruct-q8_0,0.5,0,B,1
q18,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,A,llama3:8b-instruct-q8_0,0.5,0,A,1
q18,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,D,A,llama3:8b-instruct-q8_0,0.5,0,A,0
q18,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,llama3:8b-instruct-q8_0,0.5,1,C,1
q18,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,A,llama3:8b-instruct-q8_0,0.5,1,B,1
q19,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,A,llama3:8b-instruct-q8_0,0.5,0,C,0
q19,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,A,llama3:8b-instruct-q8_0,0.5,0,B,0
q19,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,C,A,llama3:8b-instruct-q8_0,0.5,0,A,0
q19,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,B,A,llama3:8b-instruct-q8_0,0.5,1,D,0
q20,0,0.0,0.0,1.0,0.0,C,A,A,llama3:8b-instruct-q8_0,0.5,0,C,0
q20,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,A,llama3:8b-instruct-q8_0,0.5,0,C,0
q20,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,llama3:8b-instruct-q8_0,0.5,1,A,0
q20,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,A,llama3:8b-instruct-q8_0,0.5,0,D,0
q22,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,llama3:8b-instruct-q8_0,0.5,0,B,0
q22,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,C,llama3:8b-instruct-q8_0,0.5,1,B,1
q22,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,C,llama3:8b-instruct-q8_0,0.5,0,C,0
q22,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,C,llama3:8b-instruct-q8_0,0.5,0,B,0
q21,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,llama3:8b-instruct-q8_0,0.5,0,B,0
q21,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q8_0,0.5,0,C,0
q21,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,A,C,llama3:8b-instruct-q8_0,0.5,0,D,0
q21,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,llama3:8b-instruct-q8_0,0.5,0,A,0
q23,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,llama3:8b-instruct-q8_0,0.5,1,B,1
q23,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,B,llama3:8b-instruct-q8_0,0.5,0,A,1
q23,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,B,llama3:8b-instruct-q8_0,0.5,0,D,1
q23,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,B,llama3:8b-instruct-q8_0,0.5,1,C,1
q24,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,D,D,llama3:8b-instruct-q8_0,0.5,0,A,0
q24,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,D,llama3:8b-instruct-q8_0,0.5,1,D,0
q24,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,llama3:8b-instruct-q8_0,0.5,0,C,0
q24,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,D,llama3:8b-instruct-q8_0,0.5,0,A,1
q25,0,0.0,0.0,1.0,0.0,C,C,C,llama3:8b-instruct-q8_0,0.5,1,C,1
q25,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q8_0,0.5,0,C,0
q25,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,llama3:8b-instruct-q8_0,0.5,0,A,1
q25,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,llama3:8b-instruct-q8_0,0.5,0,D,1
q26,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,llama3:8b-instruct-q8_0,0.5,1,C,1
q26,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,C,llama3:8b-instruct-q8_0,0.5,1,B,1
q26,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,C,llama3:8b-instruct-q8_0,0.5,0,A,1
q26,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,C,llama3:8b-instruct-q8_0,0.5,0,D,1
