question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q50,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,gemma3:4b,0,B,0
q50,1,1.0,0.0,0.0,0.0,A,D,gemma3:4b,0,A,0
q50,2,0.0,0.0,0.0,1.0,D,C,gemma3:4b,0,D,0
q50,3,0.0,0.0,1.0,0.0,C,B,gemma3:4b,0,C,0
q67,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,gemma3:4b,1,A,1
q67,1,0.0,0.0,0.0,1.0,D,D,gemma3:4b,1,D,1
q67,2,0.0,0.0,1.0,0.0,C,C,gemma3:4b,1,C,1
q67,3,0.0,1.0,0.0,0.0,B,B,gemma3:4b,1,B,1
q213,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b,1,C,1
q213,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b,1,B,1
q213,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b,0,B,0
q213,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b,1,D,1
q275,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,gemma3:4b,1,B,1
q275,1,0.0,0.0,1.0,0.0,C,A,gemma3:4b,0,C,0
q275,2,0.0,1.0,0.0,0.0,B,D,gemma3:4b,0,B,0
q275,3,1.0,0.0,0.0,0.0,A,C,gemma3:4b,0,A,0
q351,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:4b,0,C,0
q351,1,0.0,1.0,0.0,0.0,B,C,gemma3:4b,0,B,0
q351,2,0.0,0.0,0.0,1.0,D,B,gemma3:4b,0,D,0
q351,3,0.0,0.0,1.0,0.0,C,A,gemma3:4b,0,C,0
q616,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,gemma3:4b,0,B,0
q616,1,0.0,1.0,0.0,0.0,B,D,gemma3:4b,0,B,0
q616,2,0.0,0.0,1.0,0.0,C,C,gemma3:4b,1,C,1
q616,3,0.0,0.0,0.0,1.0,D,B,gemma3:4b,0,D,0
q655,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,gemma3:4b,0,C,0
q655,1,0.0,0.0,1.0,0.0,C,A,gemma3:4b,0,C,0
q655,2,0.0,0.0,1.0,0.0,C,D,gemma3:4b,0,C,0
q655,3,1.0,0.0,0.0,0.0,A,C,gemma3:4b,0,A,0
q762,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,gemma3:4b,0,A,0
q762,1,0.0,0.0,0.0,1.0,D,B,gemma3:4b,0,D,0
q762,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b,0,B,0
q762,3,0.0,1.0,0.0,0.0,B,D,gemma3:4b,0,B,0
q798,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,D,gemma3:4b,0,B,0
q798,1,0.0,0.0,0.0,1.0,D,C,gemma3:4b,0,D,0
q798,2,0.0,0.0,1.0,0.0,C,B,gemma3:4b,0,C,0
q798,3,0.0,1.0,0.0,0.0,B,A,gemma3:4b,0,B,0
q809,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,D,gemma3:4b,0,B,0
q809,1,0.0,0.0,1.0,0.0,C,C,gemma3:4b,1,C,1
q809,2,0.0,0.0,1.0,0.0,C,B,gemma3:4b,0,C,0
q809,3,0.0,0.0,1.0,0.0,C,A,gemma3:4b,0,C,0
q928,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:4b,0,C,0
q928,1,0.0,0.0,0.0,1.0,D,D,gemma3:4b,1,D,1
q928,2,0.0,0.0,1.0,0.0,C,C,gemma3:4b,1,C,1
q928,3,0.0,1.0,0.0,0.0,B,B,gemma3:4b,1,B,1
q1103,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:4b,0,C,0
q1103,1,0.0,1.0,0.0,0.0,B,C,gemma3:4b,0,B,0
q1103,2,1.0,0.0,0.0,0.0,A,B,gemma3:4b,0,A,0
q1103,3,0.0,0.0,1.0,0.0,C,A,gemma3:4b,0,C,0
q1121,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b,1,C,1
q1121,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b,1,B,1
q1121,2,1.0,0.0,0.0,0.0,A,A,gemma3:4b,1,A,1
q1121,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b,1,D,1
q1163,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b,1,C,1
q1163,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b,1,B,1
q1163,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b,0,B,0
q1163,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b,1,D,1
