question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
q28,0,0.0,0.0,0.0,0.0,,B,mistral:latest
q28,1,0.0,0.0,0.0,0.0,,A,mistral:latest
q28,2,0.0,0.0,0.0,0.0,,D,mistral:latest
q28,3,0.0,0.0,0.0,0.0,,C,mistral:latest
q151,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,mistral:latest
q151,1,1.0,0.0,0.0,0.0,A,B,mistral:latest
q151,2,1.0,0.0,0.0,0.0,A,A,mistral:latest
q151,3,1.0,0.0,0.0,0.0,A,D,mistral:latest
q419,0,0.0,0.0,0.0,0.0,,D,mistral:latest
q419,1,0.0,0.0,0.0,1.0,D,C,mistral:latest
q419,2,0.0,0.0,0.0,0.0,,B,mistral:latest
q419,3,0.0,0.0,0.0,0.0,,A,mistral:latest
q478,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,mistral:latest
q478,1,1.0,0.0,0.0,0.0,A,A,mistral:latest
q478,2,0.0,0.0,0.0,1.0,D,D,mistral:latest
q478,3,1.0,0.0,0.0,0.0,A,C,mistral:latest
q718,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,mistral:latest
q718,1,0.0,0.0,1.0,0.0,C,B,mistral:latest
q718,2,1.0,0.0,0.0,0.0,A,A,mistral:latest
q718,3,1.0,0.0,0.0,0.0,A,D,mistral:latest
q758,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,mistral:latest
q758,1,1.0,0.0,0.0,0.0,A,B,mistral:latest
q758,2,1.0,0.0,0.0,0.0,A,A,mistral:latest
q758,3,0.0,0.0,1.0,0.0,C,D,mistral:latest
q968,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,C,mistral:latest
q968,1,1.0,0.0,0.0,0.0,A,B,mistral:latest
q968,2,0.0,0.0,0.0,1.0,D,A,mistral:latest
q968,3,0.0,0.0,1.0,0.0,C,D,mistral:latest
