question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature
2012_q1,0,0.9333333333333333,0.06666666666666667,0.0,0.0,A,A,A,microsoft/Phi-4-mini-instruct,0.7
2012_q1,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,microsoft/Phi-4-mini-instruct,0.7
2012_q1,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,microsoft/Phi-4-mini-instruct,0.7
2012_q1,3,0.5333333333333333,0.4666666666666667,0.0,0.0,A,B,A,microsoft/Phi-4-mini-instruct,0.7
2012_q2,0,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.0,C,C,C,microsoft/Phi-4-mini-instruct,0.7
2012_q2,1,0.3333333333333333,0.4,0.2,0.06666666666666667,B,B,C,microsoft/Phi-4-mini-instruct,0.7
2012_q2,2,0.7333333333333333,0.26666666666666666,0.0,0.0,A,A,C,microsoft/Phi-4-mini-instruct,0.7
2012_q2,3,0.8666666666666667,0.13333333333333333,0.0,0.0,A,D,C,microsoft/Phi-4-mini-instruct,0.7
2012_q3,0,0.6,0.06666666666666667,0.3333333333333333,0.0,A,C,C,microsoft/Phi-4-mini-instruct,0.7
2012_q3,1,0.6,0.4,0.0,0.0,A,B,C,microsoft/Phi-4-mini-instruct,0.7
2012_q3,2,0.8666666666666667,0.0,0.13333333333333333,0.0,A,A,C,microsoft/Phi-4-mini-instruct,0.7
2012_q3,3,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,C,microsoft/Phi-4-mini-instruct,0.7
2012_q4,0,0.2,0.13333333333333333,0.0,0.6666666666666666,D,B,B,microsoft/Phi-4-mini-instruct,0.7
2012_q4,1,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.0,C,A,B,microsoft/Phi-4-mini-instruct,0.7
2012_q4,2,0.4,0.6,0.0,0.0,B,D,B,microsoft/Phi-4-mini-instruct,0.7
2012_q4,3,0.7333333333333333,0.2,0.06666666666666667,0.0,A,C,B,microsoft/Phi-4-mini-instruct,0.7
2012_q5,0,0.6,0.0,0.3333333333333333,0.06666666666666667,A,D,D,microsoft/Phi-4-mini-instruct,0.7
2012_q5,1,0.4666666666666667,0.13333333333333333,0.4,0.0,A,C,D,microsoft/Phi-4-mini-instruct,0.7
2012_q5,2,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.0,A,B,D,microsoft/Phi-4-mini-instruct,0.7
2012_q5,3,0.8,0.06666666666666667,0.06666666666666667,0.06666666666666667,A,A,D,microsoft/Phi-4-mini-instruct,0.7
2012_q6,0,0.0,0.0,0.9333333333333333,0.06666666666666667,C,C,C,microsoft/Phi-4-mini-instruct,0.7
2012_q6,1,0.0,0.8666666666666667,0.06666666666666667,0.06666666666666667,B,B,C,microsoft/Phi-4-mini-instruct,0.7
2012_q6,2,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.13333333333333333,A,A,C,microsoft/Phi-4-mini-instruct,0.7
2012_q6,3,0.0,0.0,0.0,1.0,D,D,C,microsoft/Phi-4-mini-instruct,0.7
2012_q9,0,0.7333333333333333,0.0,0.26666666666666666,0.0,A,A,A,microsoft/Phi-4-mini-instruct,0.7
2012_q9,1,0.13333333333333333,0.7333333333333333,0.0,0.13333333333333333,B,D,A,microsoft/Phi-4-mini-instruct,0.7
2012_q9,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,microsoft/Phi-4-mini-instruct,0.7
2012_q9,3,0.13333333333333333,0.8,0.0,0.06666666666666667,B,B,A,microsoft/Phi-4-mini-instruct,0.7
2012_q10,0,0.9333333333333333,0.06666666666666667,0.0,0.0,A,D,D,microsoft/Phi-4-mini-instruct,0.7
2012_q10,1,0.5333333333333333,0.06666666666666667,0.4,0.0,A,C,D,microsoft/Phi-4-mini-instruct,0.7
2012_q10,2,0.5333333333333333,0.4666666666666667,0.0,0.0,A,B,D,microsoft/Phi-4-mini-instruct,0.7
2012_q10,3,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,A,A,D,microsoft/Phi-4-mini-instruct,0.7
2012_q11,0,0.26666666666666666,0.06666666666666667,0.6666666666666666,0.0,C,A,A,microsoft/Phi-4-mini-instruct,0.7
2012_q11,1,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0,B,D,A,microsoft/Phi-4-mini-instruct,0.7
2012_q11,2,0.5333333333333333,0.06666666666666667,0.4,0.0,A,C,A,microsoft/Phi-4-mini-instruct,0.7
2012_q11,3,0.06666666666666667,0.2,0.06666666666666667,0.6666666666666666,D,B,A,microsoft/Phi-4-mini-instruct,0.7
2012_q12,0,0.06666666666666667,0.0,0.9333333333333333,0.0,C,D,D,microsoft/Phi-4-mini-instruct,0.7
2012_q12,1,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,B,C,D,microsoft/Phi-4-mini-instruct,0.7
2012_q12,2,0.4,0.5333333333333333,0.06666666666666667,0.0,B,B,D,microsoft/Phi-4-mini-instruct,0.7
2012_q12,3,0.8666666666666667,0.0,0.06666666666666667,0.06666666666666667,A,A,D,microsoft/Phi-4-mini-instruct,0.7
2012_q14,0,0.13333333333333333,0.06666666666666667,0.0,0.8,D,D,D,microsoft/Phi-4-mini-instruct,0.7
2012_q14,1,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.0,C,C,D,microsoft/Phi-4-mini-instruct,0.7
2012_q14,2,0.13333333333333333,0.8,0.06666666666666667,0.0,B,B,D,microsoft/Phi-4-mini-instruct,0.7
2012_q14,3,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,A,A,D,microsoft/Phi-4-mini-instruct,0.7
2012_q15,0,0.6,0.0,0.06666666666666667,0.3333333333333333,A,D,D,microsoft/Phi-4-mini-instruct,0.7
2012_q15,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,microsoft/Phi-4-mini-instruct,0.7
2012_q15,2,0.5333333333333333,0.4666666666666667,0.0,0.0,A,B,D,microsoft/Phi-4-mini-instruct,0.7
2012_q15,3,1.0,0.0,0.0,0.0,A,A,D,microsoft/Phi-4-mini-instruct,0.7
2012_q16,0,0.6,0.13333333333333333,0.06666666666666667,0.2,A,C,C,microsoft/Phi-4-mini-instruct,0.7
2012_q16,1,0.26666666666666666,0.5333333333333333,0.2,0.0,B,B,C,microsoft/Phi-4-mini-instruct,0.7
2012_q16,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,C,microsoft/Phi-4-mini-instruct,0.7
2012_q16,3,0.7333333333333333,0.26666666666666666,0.0,0.0,A,D,C,microsoft/Phi-4-mini-instruct,0.7
2012_q17,0,0.0,0.0,0.06666666666666667,0.9333333333333333,D,D,D,microsoft/Phi-4-mini-instruct,0.7
2012_q17,1,0.0,0.0,1.0,0.0,C,C,D,microsoft/Phi-4-mini-instruct,0.7
2012_q17,2,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0,B,B,D,microsoft/Phi-4-mini-instruct,0.7
2012_q17,3,0.9333333333333333,0.0,0.06666666666666667,0.0,A,A,D,microsoft/Phi-4-mini-instruct,0.7
2012_q18,0,0.7333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,A,B,B,microsoft/Phi-4-mini-instruct,0.7
2012_q18,1,0.7333333333333333,0.0,0.06666666666666667,0.2,A,A,B,microsoft/Phi-4-mini-instruct,0.7
2012_q18,2,0.06666666666666667,0.0,0.8666666666666667,0.06666666666666667,C,D,B,microsoft/Phi-4-mini-instruct,0.7
2012_q18,3,0.06666666666666667,0.8,0.13333333333333333,0.0,B,C,B,microsoft/Phi-4-mini-instruct,0.7
2012_q19,0,0.06666666666666667,0.06666666666666667,0.8,0.06666666666666667,C,C,C,microsoft/Phi-4-mini-instruct,0.7
2012_q19,1,0.0,0.9333333333333333,0.0,0.06666666666666667,B,B,C,microsoft/Phi-4-mini-instruct,0.7
2012_q19,2,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,A,A,C,microsoft/Phi-4-mini-instruct,0.7
2012_q19,3,0.13333333333333333,0.0,0.06666666666666667,0.8,D,D,C,microsoft/Phi-4-mini-instruct,0.7
2012_q20,0,0.9333333333333333,0.06666666666666667,0.0,0.0,A,A,A,microsoft/Phi-4-mini-instruct,0.7
2012_q20,1,0.3333333333333333,0.0,0.06666666666666667,0.6,D,D,A,microsoft/Phi-4-mini-instruct,0.7
2012_q20,2,0.4,0.0,0.6,0.0,C,C,A,microsoft/Phi-4-mini-instruct,0.7
2012_q20,3,0.5333333333333333,0.4666666666666667,0.0,0.0,A,B,A,microsoft/Phi-4-mini-instruct,0.7
2012_q21,0,0.06666666666666667,0.8666666666666667,0.0,0.06666666666666667,B,B,B,microsoft/Phi-4-mini-instruct,0.7
2012_q21,1,0.9333333333333333,0.0,0.0,0.06666666666666667,A,A,B,microsoft/Phi-4-mini-instruct,0.7
2012_q21,2,0.0,0.0,0.06666666666666667,0.9333333333333333,D,D,B,microsoft/Phi-4-mini-instruct,0.7
2012_q21,3,0.06666666666666667,0.0,0.8666666666666667,0.06666666666666667,C,C,B,microsoft/Phi-4-mini-instruct,0.7
2012_q22,0,0.4,0.06666666666666667,0.06666666666666667,0.4666666666666667,D,C,C,microsoft/Phi-4-mini-instruct,0.7
2012_q22,1,0.6,0.0,0.4,0.0,A,B,C,microsoft/Phi-4-mini-instruct,0.7
