question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q4,gemma3:12b,D,D,1,D,D,D,The middle classes that developed over the nineteenth century were:
q3,gemma3:12b,B,B,1,B,B,B,Becker proclaimed that cannabis use was:
q2,gemma3:12b,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q1,gemma3:12b,C,C,1,C,C,C,Mass-society theory suggests that:
q5,gemma3:12b,D,D,1,D,D,D,Technological forms of surveillance have made it easier to:
q6,gemma3:12b,B,B,1,B,B,B,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q8,gemma3:12b,B,B,1,B,B,B,"If a deviant act is 'normalized', it is:"
q11,gemma3:12b,B,B,1,B,B,B,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q7,gemma3:12b,A,D,0,D,B,B,There was a growth in income inequality in the 1980s because:
q9,gemma3:12b,A,A,1,B,A,A,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q12,gemma3:12b,D,D,1,D,D,D,Anti-psychiatrists like Laing & Esterson believed that:
q13,gemma3:12b,A,A,1,A,A,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q10,gemma3:12b,B,C,0,B,B,D,Marxist feminists explain patriarchy in terms of:
q14,gemma3:12b,A,A,1,A,A,A,"In contemporary societies, social institutions are:"
q15,gemma3:12b,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q16,gemma3:12b,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q17,gemma3:12b,A,A,1,A,A,A,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
q19,gemma3:12b,C,A,0,C,C,C,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
q20,gemma3:12b,A,A,1,A,A,A,Sutherland's study of the 'professional thief' suggested that:
q23,gemma3:12b,B,B,1,B,B,B,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?"
q18,gemma3:12b,B,A,0,B,B,A,An ecclesia is:
q21,gemma3:12b,C,C,1,C,D,A,Which of the following policies did the New Labour government not pursue?
q25,gemma3:12b,C,C,1,C,C,C,Bourdieu attributed the reproduction of class to:
q22,gemma3:12b,B,C,0,B,C,C,"Stone's research suggests that prior to industrialization, the nuclear family:"
q28,gemma3:12b,A,A,1,A,A,A,Howard's idea of the garden city consisted of:
q26,gemma3:12b,C,C,1,C,C,C,Secularization involves the two related ideas of:
q27,gemma3:12b,A,A,1,A,A,A,The general fertility rate fell between 1964 and 2000 because of:
q24,gemma3:12b,D,D,1,D,D,C,Mosca and Pareto identified the ruling elite as:
q29,gemma3:12b,A,A,1,A,A,A,The 'third age' of the life course is said to involve:
q30,gemma3:12b,B,B,1,B,B,B,Weber (1919) said that the state's monopoly of the use of force was legitimated by:
q32,gemma3:12b,C,C,1,C,C,C,The shift from custodial to joint parenthood after divorce means that:
q33,gemma3:12b,B,B,1,B,B,B,Émile Durkheim believed the primary focus of sociology should be which of the following?
q34,gemma3:12b,A,A,1,A,A,A,"The term ""sociology"" was coined in the early 1800s by which of the following?"
q35,gemma3:12b,A,A,1,A,A,A,"In their study of depression, Brown & Harris (1978) found that:"
q36,gemma3:12b,A,A,1,A,A,A,The alternative form of 'network organization' means that:
q31,gemma3:12b,A,D,0,A,D,A,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
q37,gemma3:12b,A,A,1,A,A,A,Margaret Mead suggested that:
q39,gemma3:12b,B,B,1,B,B,B,The effect of the Internet upon the public sphere has been to:
q40,gemma3:12b,D,D,1,D,D,D,Weber said that the 'spirit of capitalism' could be traced back to:
q41,gemma3:12b,A,A,1,A,A,A,The terms 'crisis of the 1970s' is used to refer to:
q42,gemma3:12b,B,B,1,B,B,B,The Macpherson Report highlighted the increasing problem of:
q44,gemma3:12b,D,D,1,D,D,D,Environmentalist social movements are global in the sense that:
q38,gemma3:12b,D,D,1,C,C,D,The term 'secondary deviation' refers to:
q45,gemma3:12b,A,A,1,A,A,A,Chodorow (1978) argued that gender socialization occurred through:
q46,gemma3:12b,A,A,1,A,A,A,The 'new man' of the 1980s was alleged to be:
q48,gemma3:12b,B,B,1,B,B,B,"In idealized views of science, the experimental method is said to involve:"
q47,gemma3:12b,B,B,1,B,B,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
q49,gemma3:12b,D,D,1,D,D,D,An 'open' society is one that:
q43,gemma3:12b,B,C,0,B,C,C,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?
q50,gemma3:12b,C,C,1,C,C,C,The Nation of Islam group appealed to:
q51,gemma3:12b,B,B,1,B,B,B,Comte's term 'positivism' refers to:
q52,gemma3:12b,B,B,1,B,B,B,Theories of racialized discourse suggest that:
q55,gemma3:12b,A,A,1,A,A,A,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery"
q57,gemma3:12b,B,B,1,B,B,B,The term 'over-urbanization' means that:
q53,gemma3:12b,B,B,1,B,B,C,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?"
q54,gemma3:12b,C,C,1,C,A,A,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?
q58,gemma3:12b,C,C,1,C,C,C,The capitalist class of the mid-twentieth century were said to join the upper class because they:
q59,gemma3:12b,B,B,1,B,B,B,The term inter-generational mobility refers to:
q56,gemma3:12b,A,C,0,A,C,A,Pluralist theories suggest that:
q60,gemma3:12b,B,B,1,B,B,B,"The term 'culture industry', used by members of the Frankfurt School, referred to:"
q63,gemma3:12b,D,D,1,D,D,D,What is the name of the process by which we acquire a sense of identity and become members of society?
q62,gemma3:12b,A,C,0,A,A,A,A sect is organised around:
q64,gemma3:12b,C,C,1,C,C,C,Pre-testing a questionnaire is useful for:
q65,gemma3:12b,D,D,1,D,D,D,Judith Butler (1999) suggested that:
q66,gemma3:12b,A,A,1,A,A,A,Patterns of drug use in Britain reveal that:
q61,gemma3:12b,B,B,1,B,C,C,"According to Hakim (1995, 1996), the majority of part-time work is done by women because:"
q69,gemma3:12b,A,A,1,A,A,A,"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by"
q67,gemma3:12b,D,D,1,B,D,D,Murray thought that the 'underclass' consisted of people who:
q70,gemma3:12b,A,A,1,A,A,A,Role-learning theory suggests that
q71,gemma3:12b,D,A,0,D,D,D,Post-modernist writers have argued that:
q72,gemma3:12b,A,A,1,A,A,A,"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?"
q73,gemma3:12b,D,D,1,D,D,D,Warner's study of the city of Natchez in the American Deep South showed that the 'colour line' there was:
q68,gemma3:12b,A,D,0,A,A,D,"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?"
q74,gemma3:12b,D,D,1,D,D,D,The social construction of childhood can be traced back to:
q76,gemma3:12b,A,A,1,A,A,A,The trend of decarceration involves:
q75,gemma3:12b,C,C,1,C,C,C,"In Marx's theory, the 'mode of production' means:"
q77,gemma3:12b,C,C,1,C,C,C,The work of Smart suggested that:
q78,gemma3:12b,A,D,0,A,A,A,Allen's (2001) study of nurses showed that:
q79,gemma3:12b,C,C,1,C,C,C,Which of the following best describes the practice of placing the blame for the problems of a society on one particular group?
q80,gemma3:12b,D,D,1,D,D,D,"Dahrendorf, Rex, and Habermas focused their attention on:"
q82,gemma3:12b,D,D,1,D,D,D,Mulholland (1998) argued that privatization changed the relationship between companies and managers in that:
q81,gemma3:12b,D,D,1,D,D,D,Sreberny-Mohammadi (1996) argues that national cultures can resist American cultural domination of the media by:
q84,gemma3:12b,C,C,1,C,C,C,Socialization is:
q85,gemma3:12b,C,C,1,C,C,C,The term 'assets' refers to:
q87,gemma3:12b,D,D,1,D,D,D,Social norms are:
q88,gemma3:12b,D,D,1,D,D,D,The 'nuclear family' means:
q83,gemma3:12b,D,D,1,D,A,D,Which of the following is consistent with results of current research conducted in the area of gender roles and the workplace?
q89,gemma3:12b,C,D,0,C,C,C,The rise of new social movements indicates that:
q90,gemma3:12b,A,A,1,A,A,A,Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?
q86,gemma3:12b,B,D,0,B,B,A,"In the traditional hierarchy of status and precedence, which of these members of the upper class are in the right order (from highest to lowest status)?"
