question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,1.0,0.0,0.0,0.0,A,A,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q1,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q1,2,0.0,0.0,1.0,0.0,C,C,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q1,3,0.0,1.0,0.0,0.0,B,B,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q2,0,0.0,1.0,0.0,0.0,B,C,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q2,1,0.0,0.0,1.0,0.0,C,B,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q2,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q2,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q3,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,B,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q3,1,1.0,0.0,0.0,0.0,A,A,B,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q3,2,0.0,0.0,1.0,0.0,C,D,B,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q3,3,0.0,0.0,1.0,0.0,C,C,B,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q4,0,1.0,0.0,0.0,0.0,A,A,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q4,1,0.0,0.0,0.0,1.0,D,D,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q4,2,0.0,0.0,1.0,0.0,C,C,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q4,3,0.0,1.0,0.0,0.0,B,B,A,microsoft/Phi-4-mini-instruct,1,0.7,A,A,A
q5,0,0.0,1.0,0.0,0.0,B,C,C,microsoft/Phi-4-mini-instruct,0,0.7,A,B,B
q5,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,microsoft/Phi-4-mini-instruct,0,0.7,A,B,B
q5,2,0.0,1.0,0.0,0.0,B,A,C,microsoft/Phi-4-mini-instruct,0,0.7,A,B,B
q5,3,0.0,0.0,1.0,0.0,C,D,C,microsoft/Phi-4-mini-instruct,0,0.7,A,B,B
q6,0,0.0,1.0,0.0,0.0,B,C,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q6,1,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q6,2,0.0,1.0,0.0,0.0,B,A,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q6,3,0.0,0.0,1.0,0.0,C,D,C,microsoft/Phi-4-mini-instruct,1,0.7,B,B,B
q7,0,0.0,0.0,1.0,0.0,C,C,C,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q7,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,C,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q7,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q7,3,0.0,1.0,0.0,0.0,B,D,C,microsoft/Phi-4-mini-instruct,0,0.7,C,A,C
q8,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,B,microsoft/Phi-4-mini-instruct,1,0.7,C,C,C
q8,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,B,microsoft/Phi-4-mini-instruct,1,0.7,C,C,C
q8,2,0.0,1.0,0.0,0.0,B,D,B,microsoft/Phi-4-mini-instruct,1,0.7,C,C,C
q8,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,C,B,microsoft/Phi-4-mini-instruct,1,0.7,C,C,C
