question_id,permutation_idx,model,predicted_answer,correct_position,original_correct,is_correct,prob_A,prob_B,prob_C,prob_D,sample_count_A,sample_count_B,sample_count_C,sample_count_D,total_valid_samples,question,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q1,0,gemma3:12b,C,C,C,1,0.0,0.0,1.0,0.0,0,0,15,0,15,Mass-society theory suggests that:,1,C,1
q1,1,gemma3:12b,A,B,C,0,1.0,0.0,0.0,0.0,15,0,0,0,15,Mass-society theory suggests that:,0,A,0
q1,2,gemma3:12b,A,A,C,1,1.0,0.0,0.0,0.0,15,0,0,0,15,Mass-society theory suggests that:,1,A,1
q1,3,gemma3:12b,D,D,C,1,0.0,0.0,0.0,1.0,0,0,0,15,15,Mass-society theory suggests that:,1,D,1
q2,0,gemma3:12b,A,A,A,1,1.0,0.0,0.0,0.0,15,0,0,0,15,The ecological approach to urban sociology involved studying:,1,A,1
q2,1,gemma3:12b,D,D,A,1,0.0,0.0,0.0,1.0,0,0,0,15,15,The ecological approach to urban sociology involved studying:,1,D,1
q2,2,gemma3:12b,C,C,A,1,0.0,0.0,1.0,0.0,0,0,15,0,15,The ecological approach to urban sociology involved studying:,1,C,1
q2,3,gemma3:12b,B,B,A,1,0.0,1.0,0.0,0.0,0,15,0,0,15,The ecological approach to urban sociology involved studying:,1,B,1
q3,0,gemma3:12b,B,B,B,1,0.0,1.0,0.0,0.0,0,15,0,0,15,Becker proclaimed that cannabis use was:,1,B,1
q3,1,gemma3:12b,A,A,B,1,1.0,0.0,0.0,0.0,15,0,0,0,15,Becker proclaimed that cannabis use was:,1,A,1
q3,2,gemma3:12b,D,D,B,1,0.0,0.0,0.0,1.0,0,0,0,15,15,Becker proclaimed that cannabis use was:,1,D,1
q3,3,gemma3:12b,C,C,B,1,0.0,0.0,1.0,0.0,0,0,15,0,15,Becker proclaimed that cannabis use was:,1,C,1
q4,0,gemma3:12b,D,D,D,1,0.0,0.0,0.0,1.0,0,0,0,15,15,The middle classes that developed over the nineteenth century were:,1,D,1
q4,1,gemma3:12b,B,C,D,0,0.0,0.5333333333333333,0.4666666666666667,0.0,0,8,7,0,15,The middle classes that developed over the nineteenth century were:,0,B,0
q4,2,gemma3:12b,B,B,D,1,0.0,1.0,0.0,0.0,0,15,0,0,15,The middle classes that developed over the nineteenth century were:,1,B,1
q4,3,gemma3:12b,D,A,D,0,0.0,0.0,0.0,1.0,0,0,0,15,15,The middle classes that developed over the nineteenth century were:,0,D,0
q5,0,gemma3:12b,D,D,D,1,0.0,0.0,0.0,1.0,0,0,0,15,15,Technological forms of surveillance have made it easier to:,1,D,1
q5,1,gemma3:12b,C,C,D,1,0.0,0.0,1.0,0.0,0,0,15,0,15,Technological forms of surveillance have made it easier to:,1,C,1
q5,2,gemma3:12b,B,B,D,1,0.0,1.0,0.0,0.0,0,15,0,0,15,Technological forms of surveillance have made it easier to:,1,B,1
q5,3,gemma3:12b,A,A,D,1,1.0,0.0,0.0,0.0,15,0,0,0,15,Technological forms of surveillance have made it easier to:,1,A,1
