question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q4,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,A,A,mistral-small3.2:24b,0,0.5,D,C,A
q4,1,0.0,0.0,0.0,1.0,D,D,A,mistral-small3.2:24b,0,0.5,D,C,A
q4,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,mistral-small3.2:24b,0,0.5,D,C,A
q4,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,A,mistral-small3.2:24b,0,0.5,D,C,A
q2,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,C,mistral-small3.2:24b,0,0.5,C,C,A
q2,1,0.0,0.0,0.0,1.0,D,B,C,mistral-small3.2:24b,0,0.5,C,C,A
q2,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,C,mistral-small3.2:24b,0,0.5,C,C,A
q2,3,0.0,0.0,0.0,1.0,D,D,C,mistral-small3.2:24b,0,0.5,C,C,A
q3,0,0.0,0.0,1.0,0.0,C,B,B,mistral-small3.2:24b,1,0.5,,C,C
q3,1,0.0,0.0,0.5,0.5,C,A,B,mistral-small3.2:24b,1,0.5,,C,C
q3,2,0.0,0.0,0.5,0.5,C,D,B,mistral-small3.2:24b,1,0.5,,C,C
q3,3,0.0,0.0,1.0,0.0,C,C,B,mistral-small3.2:24b,1,0.5,,C,C
q1,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,A,A,mistral-small3.2:24b,0,0.5,D,A,A
q1,1,0.0,0.0,0.0,1.0,D,D,A,mistral-small3.2:24b,0,0.5,D,A,A
q1,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,mistral-small3.2:24b,0,0.5,D,A,A
q1,3,0.0,1.0,0.0,0.0,B,B,A,mistral-small3.2:24b,0,0.5,D,A,A
q5,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,mistral-small3.2:24b,1,0.5,C,C,C
q5,1,0.0,1.0,0.0,0.0,B,B,C,mistral-small3.2:24b,1,0.5,C,C,C
q5,2,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,A,C,mistral-small3.2:24b,1,0.5,C,C,C
q5,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,C,mistral-small3.2:24b,1,0.5,C,C,C
q6,0,0.0,0.5,0.5,0.0,C,C,C,mistral-small3.2:24b,0,0.5,,C,B
q6,1,0.0,0.5,0.5,0.0,C,B,C,mistral-small3.2:24b,0,0.5,,C,B
q6,2,0.0,0.5,0.5,0.0,C,A,C,mistral-small3.2:24b,0,0.5,,C,B
q6,3,0.0,0.0,1.0,0.0,C,D,C,mistral-small3.2:24b,0,0.5,,C,B
q7,0,0.0,0.0,1.0,0.0,C,C,C,mistral-small3.2:24b,1,0.5,C,C,C
q7,1,0.0,1.0,0.0,0.0,B,B,C,mistral-small3.2:24b,1,0.5,C,C,C
q7,2,1.0,0.0,0.0,0.0,A,A,C,mistral-small3.2:24b,1,0.5,C,C,C
q7,3,0.0,0.0,0.0,1.0,D,D,C,mistral-small3.2:24b,1,0.5,C,C,C
q8,0,0.0,0.0,0.0,1.0,D,B,B,mistral-small3.2:24b,0,0.5,D,C,D
q8,1,0.0,0.0,0.0,1.0,D,A,B,mistral-small3.2:24b,0,0.5,D,C,D
q8,2,0.0,0.0,1.0,0.0,C,D,B,mistral-small3.2:24b,0,0.5,D,C,D
q8,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,B,mistral-small3.2:24b,0,0.5,D,C,D
q9,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,C,C,mistral-small3.2:24b,0,0.5,A,C,B
q9,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,B,C,mistral-small3.2:24b,0,0.5,A,C,B
q9,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,mistral-small3.2:24b,0,0.5,A,C,B
q9,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,mistral-small3.2:24b,0,0.5,A,C,B
q10,0,0.0,0.0,1.0,0.0,C,C,C,mistral-small3.2:24b,1,0.5,C,C,C
q10,1,0.0,1.0,0.0,0.0,B,B,C,mistral-small3.2:24b,1,0.5,C,C,C
q10,2,1.0,0.0,0.0,0.0,A,A,C,mistral-small3.2:24b,1,0.5,C,C,C
q10,3,0.0,0.0,0.0,1.0,D,D,C,mistral-small3.2:24b,1,0.5,C,C,C
q11,0,0.0,0.0,0.0,1.0,D,D,D,mistral-small3.2:24b,1,0.5,D,D,D
q11,1,0.0,0.0,1.0,0.0,C,C,D,mistral-small3.2:24b,1,0.5,D,D,D
q11,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,D,mistral-small3.2:24b,1,0.5,D,D,D
q11,3,0.0,0.0,1.0,0.0,C,A,D,mistral-small3.2:24b,1,0.5,D,D,D
q12,0,0.0,1.0,0.0,0.0,B,A,A,mistral-small3.2:24b,0,0.5,B,C,B
q12,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,D,A,mistral-small3.2:24b,0,0.5,B,C,B
q12,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,mistral-small3.2:24b,0,0.5,B,C,B
q12,3,0.0,0.0,1.0,0.0,C,B,A,mistral-small3.2:24b,0,0.5,B,C,B
q13,0,0.0,0.0,1.0,0.0,C,A,A,mistral-small3.2:24b,1,0.5,,C,C
q13,1,0.0,0.0,1.0,0.0,C,D,A,mistral-small3.2:24b,1,0.5,,C,C
q13,2,0.0,0.0,1.0,0.0,C,C,A,mistral-small3.2:24b,1,0.5,,C,C
q13,3,0.0,0.0,1.0,0.0,C,B,A,mistral-small3.2:24b,1,0.5,,C,C
q14,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,mistral-small3.2:24b,0,0.5,A,C,C
q14,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,C,mistral-small3.2:24b,0,0.5,A,C,C
q14,2,0.6666666666666666,0.0,0.0,0.3333333333333333,A,A,C,mistral-small3.2:24b,0,0.5,A,C,C
q14,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,C,mistral-small3.2:24b,0,0.5,A,C,C
q15,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,A,A,mistral-small3.2:24b,0,0.5,A,D,D
q15,1,0.0,0.0,1.0,0.0,C,D,A,mistral-small3.2:24b,0,0.5,A,D,D
q15,2,0.0,0.0,1.0,0.0,C,C,A,mistral-small3.2:24b,0,0.5,A,D,D
q15,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,A,mistral-small3.2:24b,0,0.5,A,D,D
q16,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,D,mistral-small3.2:24b,0,0.5,A,D,A
q16,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,D,mistral-small3.2:24b,0,0.5,A,D,A
q16,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,D,mistral-small3.2:24b,0,0.5,A,D,A
q16,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,A,D,mistral-small3.2:24b,0,0.5,A,D,A
q17,0,0.0,0.0,0.0,1.0,D,D,D,mistral-small3.2:24b,1,0.5,D,D,D
q17,1,0.0,0.0,1.0,0.0,C,C,D,mistral-small3.2:24b,1,0.5,D,D,D
q17,2,0.0,1.0,0.0,0.0,B,B,D,mistral-small3.2:24b,1,0.5,D,D,D
q17,3,0.0,0.0,1.0,0.0,C,A,D,mistral-small3.2:24b,1,0.5,D,D,D
q18,0,0.0,0.0,0.0,1.0,D,B,B,mistral-small3.2:24b,0,0.5,A,C,D
q18,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,B,mistral-small3.2:24b,0,0.5,A,C,D
q18,2,0.0,1.0,0.0,0.0,B,D,B,mistral-small3.2:24b,0,0.5,A,C,D
q18,3,0.5,0.0,0.5,0.0,C,C,B,mistral-small3.2:24b,0,0.5,A,C,D
q19,0,1.0,0.0,0.0,0.0,A,A,A,mistral-small3.2:24b,1,0.5,A,A,A
q19,1,0.0,0.0,0.0,1.0,D,D,A,mistral-small3.2:24b,1,0.5,A,A,A
q19,2,0.0,0.0,1.0,0.0,C,C,A,mistral-small3.2:24b,1,0.5,A,A,A
q19,3,0.0,1.0,0.0,0.0,B,B,A,mistral-small3.2:24b,1,0.5,A,A,A
q20,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,D,D,mistral-small3.2:24b,0,0.5,A,D,B
q20,1,0.0,0.0,1.0,0.0,C,C,D,mistral-small3.2:24b,0,0.5,A,D,B
q20,2,0.3333333333333333,0.0,0.0,0.6666666666666666,D,B,D,mistral-small3.2:24b,0,0.5,A,D,B
q20,3,0.0,0.0,1.0,0.0,C,A,D,mistral-small3.2:24b,0,0.5,A,D,B
q21,0,0.0,0.0,0.0,1.0,D,D,D,mistral-small3.2:24b,1,0.5,D,D,D
q21,1,0.0,0.0,1.0,0.0,C,C,D,mistral-small3.2:24b,1,0.5,D,D,D
q21,2,0.0,1.0,0.0,0.0,B,B,D,mistral-small3.2:24b,1,0.5,D,D,D
q21,3,1.0,0.0,0.0,0.0,A,A,D,mistral-small3.2:24b,1,0.5,D,D,D
q22,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,B,B,mistral-small3.2:24b,0,0.5,A,C,B
q22,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,A,B,mistral-small3.2:24b,0,0.5,A,C,B
q22,2,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,D,B,mistral-small3.2:24b,0,0.5,A,C,B
q22,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,B,mistral-small3.2:24b,0,0.5,A,C,B
