question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident
q1,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,A,llama3.2:latest,0
q1,1,0.0,1.0,0.0,0.0,B,D,A,llama3.2:latest,0
q1,2,0.0,1.0,0.0,0.0,B,C,A,llama3.2:latest,0
q1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,C,B,A,llama3.2:latest,0
q3,0,0.0,0.5,0.5,0.0,C,B,B,llama3.2:latest,0
q3,1,0.5,0.0,0.5,0.0,C,A,B,llama3.2:latest,0
q3,2,0.0,0.0,0.5,0.5,C,D,B,llama3.2:latest,0
q3,3,0.0,0.0,1.0,0.0,C,C,B,llama3.2:latest,0
q2,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1
q2,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,1
q2,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest,1
q2,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,1
q4,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest,1
q4,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,1
q4,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest,1
q4,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1
q5,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1
q5,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,1
q5,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest,1
q5,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,1
q8,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,B,llama3.2:latest,0
q8,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,llama3.2:latest,0
q8,2,0.0,0.0,1.0,0.0,C,D,B,llama3.2:latest,0
q8,3,0.0,0.5,0.5,0.0,C,C,B,llama3.2:latest,0
q6,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1
