question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q3,0,0.0,0.5,0.5,0.0,C,B,B,llama3.2:latest,0,0.5,,C,B
q3,1,0.5,0.0,0.5,0.0,C,A,B,llama3.2:latest,0,0.5,,C,B
q3,2,0.0,0.0,0.5,0.5,C,D,B,llama3.2:latest,0,0.5,,C,B
q3,3,0.0,0.0,1.0,0.0,C,C,B,llama3.2:latest,0,0.5,,C,B
q1,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,A,llama3.2:latest,0,0.5,C,B,B
q1,1,0.0,1.0,0.0,0.0,B,D,A,llama3.2:latest,0,0.5,C,B,B
q1,2,0.0,1.0,0.0,0.0,B,C,A,llama3.2:latest,0,0.5,C,B,B
q1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,C,B,A,llama3.2:latest,0,0.5,C,B,B
q4,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest,1,0.5,C,C,C
q4,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,1,0.5,C,C,C
q4,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest,1,0.5,C,C,C
q4,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1,0.5,C,C,C
q2,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,,C,C
q2,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,1,0.5,,C,C
q2,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest,1,0.5,,C,C
q2,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,1,0.5,,C,C
q5,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,,C,C
q5,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,1,0.5,,C,C
q5,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest,1,0.5,,C,C
q5,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,1,0.5,,C,C
q6,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,,C,C
q6,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,1,0.5,,C,C
q6,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest,1,0.5,,C,C
q6,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,1,0.5,,C,C
q8,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,B,llama3.2:latest,0,0.5,C,C,D
q8,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,llama3.2:latest,0,0.5,C,C,D
q8,2,0.0,0.0,1.0,0.0,C,D,B,llama3.2:latest,0,0.5,C,C,D
q8,3,0.0,0.5,0.5,0.0,C,C,B,llama3.2:latest,0,0.5,C,C,D
q7,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,llama3.2:latest,0,0.5,C,C,D
q7,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,0,0.5,C,C,D
q7,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest,0,0.5,C,C,D
q7,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,0,0.5,C,C,D
q9,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,llama3.2:latest,0,0.5,C,C,B
q9,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest,0,0.5,C,C,B
q9,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,C,llama3.2:latest,0,0.5,C,C,B
q9,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,C,llama3.2:latest,0,0.5,C,C,B
q11,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest,1,0.5,C,C,C
q11,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,1,0.5,C,C,C
q11,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,D,llama3.2:latest,1,0.5,C,C,C
q11,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,1,0.5,C,C,C
q12,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest,1,0.5,,C,C
q12,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,1,0.5,,C,C
q12,2,0.0,0.5,0.5,0.0,C,C,A,llama3.2:latest,1,0.5,,C,C
q12,3,0.5,0.0,0.5,0.0,C,B,A,llama3.2:latest,1,0.5,,C,C
q10,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,C,C,C
q10,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3.2:latest,1,0.5,C,C,C
q10,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,C,llama3.2:latest,1,0.5,C,C,C
q10,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,llama3.2:latest,1,0.5,C,C,C
q13,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest,1,0.5,,C,C
q13,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,1,0.5,,C,C
q13,2,0.0,0.0,0.5,0.5,C,C,A,llama3.2:latest,1,0.5,,C,C
q13,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1,0.5,,C,C
q14,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,llama3.2:latest,0,0.5,C,B,B
q14,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,B,C,llama3.2:latest,0,0.5,C,B,B
q14,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,C,llama3.2:latest,0,0.5,C,B,B
q14,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest,0,0.5,C,B,B
q15,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest,1,0.5,,C,C
q15,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,1,0.5,,C,C
q15,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest,1,0.5,,C,C
q15,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1,0.5,,C,C
q16,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest,1,0.5,,C,C
q16,1,0.0,0.0,0.5,0.5,C,C,D,llama3.2:latest,1,0.5,,C,C
q16,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,D,llama3.2:latest,1,0.5,,C,C
q16,3,0.0,0.0,0.5,0.5,C,A,D,llama3.2:latest,1,0.5,,C,C
q17,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,D,llama3.2:latest,0,0.5,C,C,A
q17,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,D,llama3.2:latest,0,0.5,C,C,A
q17,2,0.0,0.0,1.0,0.0,C,B,D,llama3.2:latest,0,0.5,C,C,A
q17,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,A,D,llama3.2:latest,0,0.5,C,C,A
q18,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,B,B,llama3.2:latest,0,0.5,A,C,D
q18,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,B,llama3.2:latest,0,0.5,A,C,D
q18,2,0.0,0.5,0.5,0.0,C,D,B,llama3.2:latest,0,0.5,A,C,D
q18,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,B,llama3.2:latest,0,0.5,A,C,D
q19,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,A,llama3.2:latest,0,0.5,C,C,B
q19,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,A,llama3.2:latest,0,0.5,C,C,B
q19,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest,0,0.5,C,C,B
q19,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,llama3.2:latest,0,0.5,C,C,B
q20,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest,1,0.5,,C,C
q20,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,1,0.5,,C,C
q20,2,0.0,0.0,1.0,0.0,C,B,D,llama3.2:latest,1,0.5,,C,C
q20,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,1,0.5,,C,C
q21,0,0.0,0.0,0.5,0.5,C,D,D,llama3.2:latest,0,0.5,,C,D
q21,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,0,0.5,,C,D
q21,2,0.0,1.0,0.0,0.0,B,B,D,llama3.2:latest,0,0.5,,C,D
q21,3,0.5,0.0,0.5,0.0,C,A,D,llama3.2:latest,0,0.5,,C,D
q22,0,0.0,0.0,1.0,0.0,C,B,B,llama3.2:latest,1,0.5,C,C,C
q22,1,0.0,0.0,1.0,0.0,C,A,B,llama3.2:latest,1,0.5,C,C,C
q22,2,0.0,0.0,1.0,0.0,C,D,B,llama3.2:latest,1,0.5,C,C,C
q22,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,B,llama3.2:latest,1,0.5,C,C,C
q24,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest,1,0.5,,C,C
q24,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,1,0.5,,C,C
q24,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest,1,0.5,,C,C
q24,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1,0.5,,C,C
q23,0,0.0,1.0,0.0,0.0,B,A,A,llama3.2:latest,1,0.5,B,B,B
q23,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,D,A,llama3.2:latest,1,0.5,B,B,B
q23,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,llama3.2:latest,1,0.5,B,B,B
q23,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1,0.5,B,B,B
q25,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,A,llama3.2:latest,0,0.5,C,C,B
q25,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,A,llama3.2:latest,0,0.5,C,C,B
q25,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,llama3.2:latest,0,0.5,C,C,B
q25,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,A,llama3.2:latest,0,0.5,C,C,B
q27,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,C,C,C
q27,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,C,llama3.2:latest,1,0.5,C,C,C
q27,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,llama3.2:latest,1,0.5,C,C,C
q27,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,llama3.2:latest,1,0.5,C,C,C
q26,0,0.0,0.0,0.5,0.5,C,D,D,llama3.2:latest,0,0.5,A,C,D
q26,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,0,0.5,A,C,D
q26,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,llama3.2:latest,0,0.5,A,C,D
q26,3,0.5,0.0,0.5,0.0,C,A,D,llama3.2:latest,0,0.5,A,C,D
q28,0,0.0,0.0,0.5,0.5,C,D,D,llama3.2:latest,0,0.5,,C,D
q28,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,0,0.5,,C,D
q28,2,0.0,0.0,0.5,0.5,C,B,D,llama3.2:latest,0,0.5,,C,D
q28,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,0,0.5,,C,D
q30,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,C,C,C
q30,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,C,llama3.2:latest,1,0.5,C,C,C
q30,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,C,llama3.2:latest,1,0.5,C,C,C
q30,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,llama3.2:latest,1,0.5,C,C,C
q29,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest,1,0.5,,C,C
q29,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,1,0.5,,C,C
q29,2,0.0,0.0,1.0,0.0,C,B,D,llama3.2:latest,1,0.5,,C,C
q29,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,1,0.5,,C,C
q32,0,0.0,0.0,0.5,0.5,C,D,D,llama3.2:latest,0,0.5,,C,D
q32,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,0,0.5,,C,D
q32,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,llama3.2:latest,0,0.5,,C,D
q32,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,0,0.5,,C,D
q31,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,C,C,C
q31,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3.2:latest,1,0.5,C,C,C
q31,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,A,C,llama3.2:latest,1,0.5,C,C,C
q31,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,D,C,llama3.2:latest,1,0.5,C,C,C
q33,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest,1,0.5,,C,C
q33,1,0.0,0.5,0.5,0.0,C,C,D,llama3.2:latest,1,0.5,,C,C
q33,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,B,D,llama3.2:latest,1,0.5,,C,C
q33,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,1,0.5,,C,C
q34,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,A,llama3.2:latest,0,0.5,C,C,D
q34,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest,0,0.5,C,C,D
q34,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest,0,0.5,C,C,D
q34,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,A,llama3.2:latest,0,0.5,C,C,D
q35,0,0.0,0.0,1.0,0.0,C,B,B,llama3.2:latest,0,0.5,C,C,B
q35,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,B,llama3.2:latest,0,0.5,C,C,B
q35,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,B,llama3.2:latest,0,0.5,C,C,B
q35,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,B,llama3.2:latest,0,0.5,C,C,B
q36,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,C,llama3.2:latest,0,0.5,C,C,A
q36,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3.2:latest,0,0.5,C,C,A
q36,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,llama3.2:latest,0,0.5,C,C,A
q36,3,0.5,0.0,0.5,0.0,C,D,C,llama3.2:latest,0,0.5,C,C,A
q37,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,,C,C
q37,1,0.5,0.0,0.5,0.0,C,B,C,llama3.2:latest,1,0.5,,C,C
