question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
q37,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b
q37,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q37,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q37,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q46,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,B,gemma3:1b
q46,1,0.0,0.0,0.0,1.0,D,A,gemma3:1b
q46,2,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q46,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q52,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b
q52,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q52,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q52,3,0.0,0.0,0.0,1.0,D,D,gemma3:1b
q53,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b
q53,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q53,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q53,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q103,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b
q103,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q103,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q103,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q116,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:1b
q116,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q116,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q116,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q119,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,gemma3:1b
q119,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q119,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q119,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q143,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b
q143,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q143,2,0.0,1.0,0.0,0.0,B,C,gemma3:1b
q143,3,0.0,1.0,0.0,0.0,B,B,gemma3:1b
q180,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b
q180,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q180,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q180,3,0.0,0.0,0.0,1.0,D,D,gemma3:1b
q187,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b
q187,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q187,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q187,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q232,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b
q232,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q232,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q232,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q245,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b
q245,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q245,2,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q245,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q260,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b
q260,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q260,2,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q260,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q264,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b
q264,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q264,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q264,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q265,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,gemma3:1b
q265,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q265,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q265,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q285,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b
q285,1,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q285,2,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q285,3,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q288,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,gemma3:1b
q288,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q288,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q288,3,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q300,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,A,gemma3:1b
q300,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q300,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q300,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q310,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,gemma3:1b
q310,1,0.0,0.0,0.0,1.0,D,B,gemma3:1b
q310,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q310,3,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q314,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b
q314,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q314,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q314,3,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q407,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b
q407,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q407,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q407,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q410,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,gemma3:1b
q410,1,0.0,0.0,0.0,1.0,D,D,gemma3:1b
q410,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q410,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q442,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,gemma3:1b
q442,1,0.0,0.0,0.0,1.0,D,B,gemma3:1b
q442,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q442,3,0.0,1.0,0.0,0.0,B,D,gemma3:1b
q499,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b
q499,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q499,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q499,3,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q507,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,gemma3:1b
q507,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q507,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q507,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q524,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b
q524,1,0.0,0.0,0.0,1.0,D,D,gemma3:1b
q524,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q524,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q576,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,gemma3:1b
q576,1,0.0,1.0,0.0,0.0,B,B,gemma3:1b
q576,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q576,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q607,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,gemma3:1b
q607,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q607,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q607,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q646,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,gemma3:1b
q646,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q646,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q646,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q649,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,gemma3:1b
q649,1,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q649,2,0.0,0.0,0.0,1.0,D,D,gemma3:1b
q649,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q688,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,gemma3:1b
q688,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q688,2,0.0,0.0,0.0,1.0,D,D,gemma3:1b
q688,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q697,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,gemma3:1b
q697,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q697,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q697,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q738,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,gemma3:1b
q738,1,0.0,0.0,0.0,1.0,D,C,gemma3:1b
q738,2,0.0,0.0,0.0,1.0,D,B,gemma3:1b
q738,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q746,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:1b
q746,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q746,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q746,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q798,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b
q798,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q798,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q798,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q810,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b
q810,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q810,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q810,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q825,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:1b
q825,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q825,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q825,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b
q851,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,gemma3:1b
q851,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q851,2,0.0,1.0,0.0,0.0,B,B,gemma3:1b
q851,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q884,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,gemma3:1b
q884,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q884,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q884,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q916,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,gemma3:1b
q916,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q916,2,0.0,1.0,0.0,0.0,B,B,gemma3:1b
q916,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q938,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b
q938,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q938,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q938,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q959,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,gemma3:1b
q959,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q959,2,0.0,1.0,0.0,0.0,B,B,gemma3:1b
q959,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q987,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b
q987,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q987,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q987,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q1013,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b
q1013,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q1013,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q1013,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q1028,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b
q1028,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b
q1028,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q1028,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q1029,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b
q1029,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b
q1029,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b
q1029,3,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q1050,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b
q1050,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q1050,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q1050,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q1055,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,gemma3:1b
q1055,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b
q1055,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b
q1055,3,0.0,0.0,0.0,1.0,D,B,gemma3:1b
q1139,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,gemma3:1b
q1139,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b
q1139,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b
q1139,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b
