question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-3B-Instruct,1,0.7,C,C,C
q1,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,C,Qwen/Qwen2.5-3B-Instruct,1,0.7,C,C,C
q1,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-3B-Instruct,1,0.7,C,C,C
q1,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-3B-Instruct,1,0.7,C,C,C
q2,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-3B-Instruct,1,0.7,A,A,A
q2,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,Qwen/Qwen2.5-3B-Instruct,1,0.7,A,A,A
q2,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,Qwen/Qwen2.5-3B-Instruct,1,0.7,A,A,A
q2,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,A,Qwen/Qwen2.5-3B-Instruct,1,0.7,A,A,A
q3,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
q3,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
q3,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
q3,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
q4,0,0.0,0.0,0.0,1.0,D,D,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q4,1,0.0,0.0,1.0,0.0,C,C,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q4,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q4,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q5,0,0.0,0.0,0.0,1.0,D,D,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q5,1,0.0,0.0,1.0,0.0,C,C,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q5,2,0.0,1.0,0.0,0.0,B,B,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q5,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-3B-Instruct,1,0.7,D,D,D
q6,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
q6,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
q6,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,Qwen/Qwen2.5-3B-Instruct,0,0.7,B,C,B
