question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature
q1,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-3B-Instruct,0.5
q1,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,Qwen/Qwen2.5-3B-Instruct,0.5
q1,2,0.3333333333333333,0.6,0.0,0.06666666666666667,B,C,A,Qwen/Qwen2.5-3B-Instruct,0.5
q1,3,0.9333333333333333,0.06666666666666667,0.0,0.0,A,B,A,Qwen/Qwen2.5-3B-Instruct,0.5
q2,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,C,C,Qwen/Qwen2.5-3B-Instruct,0.5
q2,1,0.0,0.0,1.0,0.0,C,B,C,Qwen/Qwen2.5-3B-Instruct,0.5
q2,2,0.9333333333333333,0.06666666666666667,0.0,0.0,A,A,C,Qwen/Qwen2.5-3B-Instruct,0.5
q2,3,0.06666666666666667,0.0,0.8,0.13333333333333333,C,D,C,Qwen/Qwen2.5-3B-Instruct,0.5
q3,0,0.2,0.8,0.0,0.0,B,B,B,Qwen/Qwen2.5-3B-Instruct,0.5
q3,1,0.8666666666666667,0.0,0.0,0.13333333333333333,A,A,B,Qwen/Qwen2.5-3B-Instruct,0.5
q3,2,0.26666666666666666,0.0,0.0,0.7333333333333333,D,D,B,Qwen/Qwen2.5-3B-Instruct,0.5
q3,3,0.5333333333333333,0.0,0.4666666666666667,0.0,A,C,B,Qwen/Qwen2.5-3B-Instruct,0.5
q4,0,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.0,A,A,A,Qwen/Qwen2.5-3B-Instruct,0.5
q4,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-3B-Instruct,0.5
q4,2,0.4,0.0,0.0,0.6,D,C,A,Qwen/Qwen2.5-3B-Instruct,0.5
q4,3,0.7333333333333333,0.0,0.26666666666666666,0.0,A,B,A,Qwen/Qwen2.5-3B-Instruct,0.5
q5,0,0.4,0.06666666666666667,0.0,0.5333333333333333,D,C,C,Qwen/Qwen2.5-3B-Instruct,0.5
q5,1,0.2,0.06666666666666667,0.06666666666666667,0.6666666666666666,D,B,C,Qwen/Qwen2.5-3B-Instruct,0.5
