question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q4,0,0.0,0.0,0.0,1.0,D,D,D,ministral-3:14b,1,0.5,D,D,D
q4,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,C,D,ministral-3:14b,1,0.5,D,D,D
q4,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,D,ministral-3:14b,1,0.5,D,D,D
q4,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,A,D,ministral-3:14b,1,0.5,D,D,D
q2,0,1.0,0.0,0.0,0.0,A,A,A,ministral-3:14b,1,0.5,A,A,A
q2,1,0.0,0.0,0.0,1.0,D,D,A,ministral-3:14b,1,0.5,A,A,A
q2,2,0.0,0.0,1.0,0.0,C,C,A,ministral-3:14b,1,0.5,A,A,A
q2,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,1,0.5,A,A,A
q1,0,0.0,0.0,1.0,0.0,C,C,C,ministral-3:14b,1,0.5,C,C,C
q1,1,0.0,1.0,0.0,0.0,B,B,C,ministral-3:14b,1,0.5,C,C,C
q1,2,1.0,0.0,0.0,0.0,A,A,C,ministral-3:14b,1,0.5,C,C,C
q1,3,0.0,0.0,0.0,1.0,D,D,C,ministral-3:14b,1,0.5,C,C,C
q3,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,ministral-3:14b,1,0.5,B,B,B
q3,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,B,ministral-3:14b,1,0.5,B,B,B
q3,2,0.0,0.0,0.0,1.0,D,D,B,ministral-3:14b,1,0.5,B,B,B
q3,3,0.0,0.0,1.0,0.0,C,C,B,ministral-3:14b,1,0.5,B,B,B
q5,0,0.0,0.0,0.0,1.0,D,D,D,ministral-3:14b,1,0.5,D,D,D
q5,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,D,ministral-3:14b,1,0.5,D,D,D
q5,2,0.0,1.0,0.0,0.0,B,B,D,ministral-3:14b,1,0.5,D,D,D
q5,3,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,D,ministral-3:14b,1,0.5,D,D,D
q6,0,0.0,1.0,0.0,0.0,B,B,B,ministral-3:14b,0,0.5,B,C,B
q6,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,B,ministral-3:14b,0,0.5,B,C,B
q6,2,0.0,0.0,0.0,1.0,D,D,B,ministral-3:14b,0,0.5,B,C,B
q6,3,0.0,0.0,1.0,0.0,C,C,B,ministral-3:14b,0,0.5,B,C,B
q7,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,ministral-3:14b,0,0.5,D,B,B
q7,1,0.6666666666666666,0.3333333333333333,0.0,0.0,A,C,D,ministral-3:14b,0,0.5,D,B,B
q7,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,D,ministral-3:14b,0,0.5,D,B,B
q7,3,0.0,0.0,0.0,1.0,D,A,D,ministral-3:14b,0,0.5,D,B,B
q8,0,0.0,0.0,1.0,0.0,C,B,B,ministral-3:14b,1,0.5,C,C,C
q8,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,B,ministral-3:14b,1,0.5,C,C,C
q8,2,1.0,0.0,0.0,0.0,A,D,B,ministral-3:14b,1,0.5,C,C,C
q8,3,0.0,0.0,0.0,1.0,D,C,B,ministral-3:14b,1,0.5,C,C,C
q9,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,A,ministral-3:14b,0,0.5,B,C,B
q9,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,A,ministral-3:14b,0,0.5,B,C,B
q9,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,ministral-3:14b,0,0.5,B,C,B
q9,3,0.0,0.0,1.0,0.0,C,B,A,ministral-3:14b,0,0.5,B,C,B
q10,0,0.0,0.0,0.0,1.0,D,C,C,ministral-3:14b,1,0.5,D,D,D
q10,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,C,ministral-3:14b,1,0.5,D,D,D
q10,2,0.0,0.0,0.0,1.0,D,A,C,ministral-3:14b,1,0.5,D,D,D
q10,3,0.0,0.0,1.0,0.0,C,D,C,ministral-3:14b,1,0.5,D,D,D
q11,0,0.0,1.0,0.0,0.0,B,B,B,ministral-3:14b,1,0.5,B,B,B
q11,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,B,ministral-3:14b,1,0.5,B,B,B
q11,2,0.0,0.0,0.0,1.0,D,D,B,ministral-3:14b,1,0.5,B,B,B
q11,3,0.0,0.0,1.0,0.0,C,C,B,ministral-3:14b,1,0.5,B,B,B
q12,0,0.0,0.0,0.0,1.0,D,D,D,ministral-3:14b,1,0.5,D,D,D
q12,1,0.0,0.0,1.0,0.0,C,C,D,ministral-3:14b,1,0.5,D,D,D
q12,2,0.0,1.0,0.0,0.0,B,B,D,ministral-3:14b,1,0.5,D,D,D
q12,3,1.0,0.0,0.0,0.0,A,A,D,ministral-3:14b,1,0.5,D,D,D
q13,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,ministral-3:14b,0,0.5,A,C,A
q13,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,A,ministral-3:14b,0,0.5,A,C,A
q13,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,ministral-3:14b,0,0.5,A,C,A
q13,3,0.0,0.0,1.0,0.0,C,B,A,ministral-3:14b,0,0.5,A,C,A
q14,0,1.0,0.0,0.0,0.0,A,A,A,ministral-3:14b,1,0.5,A,A,A
q14,1,0.0,0.0,0.0,1.0,D,D,A,ministral-3:14b,1,0.5,A,A,A
q14,2,0.0,0.0,1.0,0.0,C,C,A,ministral-3:14b,1,0.5,A,A,A
q14,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,1,0.5,A,A,A
q15,0,1.0,0.0,0.0,0.0,A,A,A,ministral-3:14b,1,0.5,A,A,A
q15,1,0.0,0.0,0.0,1.0,D,D,A,ministral-3:14b,1,0.5,A,A,A
q15,2,0.0,0.0,1.0,0.0,C,C,A,ministral-3:14b,1,0.5,A,A,A
q15,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,1,0.5,A,A,A
q16,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,ministral-3:14b,1,0.5,A,A,A
q16,1,0.0,0.0,0.0,1.0,D,D,A,ministral-3:14b,1,0.5,A,A,A
q16,2,0.0,0.0,1.0,0.0,C,C,A,ministral-3:14b,1,0.5,A,A,A
q16,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,1,0.5,A,A,A
q17,0,1.0,0.0,0.0,0.0,A,A,A,ministral-3:14b,0,0.5,A,B,A
q17,1,1.0,0.0,0.0,0.0,A,D,A,ministral-3:14b,0,0.5,A,B,A
q17,2,0.0,0.0,1.0,0.0,C,C,A,ministral-3:14b,0,0.5,A,B,A
q17,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,0,0.5,A,B,A
q18,0,0.0,1.0,0.0,0.0,B,A,A,ministral-3:14b,1,0.5,B,B,B
q18,1,1.0,0.0,0.0,0.0,A,D,A,ministral-3:14b,1,0.5,B,B,B
q18,2,0.0,0.0,0.0,1.0,D,C,A,ministral-3:14b,1,0.5,B,B,B
q18,3,0.0,0.0,1.0,0.0,C,B,A,ministral-3:14b,1,0.5,B,B,B
q19,0,0.0,0.0,1.0,0.0,C,A,A,ministral-3:14b,1,0.5,C,C,C
q19,1,0.0,1.0,0.0,0.0,B,D,A,ministral-3:14b,1,0.5,C,C,C
q19,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,ministral-3:14b,1,0.5,C,C,C
q19,3,0.0,0.0,0.0,1.0,D,B,A,ministral-3:14b,1,0.5,C,C,C
q20,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,ministral-3:14b,0,0.5,A,C,A
q20,1,0.0,1.0,0.0,0.0,B,D,A,ministral-3:14b,0,0.5,A,C,A
q20,2,1.0,0.0,0.0,0.0,A,C,A,ministral-3:14b,0,0.5,A,C,A
q20,3,0.0,0.0,0.0,1.0,D,B,A,ministral-3:14b,0,0.5,A,C,A
q21,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,C,ministral-3:14b,0,0.5,A,C,A
