question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q4,gpt-oss:20b,D,D,1,D,D,D,The middle classes that developed over the nineteenth century were:
q2,gpt-oss:20b,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q3,gpt-oss:20b,B,B,1,B,B,B,Becker proclaimed that cannabis use was:
q1,gpt-oss:20b,C,C,1,C,C,C,Mass-society theory suggests that:
q5,gpt-oss:20b,D,D,1,D,D,D,Technological forms of surveillance have made it easier to:
q6,gpt-oss:20b,B,B,1,B,B,B,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q7,gpt-oss:20b,B,D,0,B,A,B,There was a growth in income inequality in the 1980s because:
q8,gpt-oss:20b,C,B,0,C,C,C,"If a deviant act is 'normalized', it is:"
q10,gpt-oss:20b,D,C,0,D,D,D,Marxist feminists explain patriarchy in terms of:
q11,gpt-oss:20b,B,B,1,B,B,B,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q12,gpt-oss:20b,D,D,1,D,D,D,Anti-psychiatrists like Laing & Esterson believed that:
q9,gpt-oss:20b,B,A,0,B,B,A,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q13,gpt-oss:20b,A,A,1,A,A,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q14,gpt-oss:20b,A,A,1,A,A,A,"In contemporary societies, social institutions are:"
q15,gpt-oss:20b,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q16,gpt-oss:20b,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q18,gpt-oss:20b,B,A,0,B,B,B,An ecclesia is:
q20,gpt-oss:20b,A,A,1,A,A,A,Sutherland's study of the 'professional thief' suggested that:
q17,gpt-oss:20b,B,A,0,B,B,A,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
q19,gpt-oss:20b,A,A,1,A,C,A,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
