question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q2,mistral:latest,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q3,mistral:latest,B,B,1,B,B,B,Becker proclaimed that cannabis use was:
q4,mistral:latest,D,D,1,D,D,D,The middle classes that developed over the nineteenth century were:
q5,mistral:latest,D,D,1,D,D,D,Technological forms of surveillance have made it easier to:
q6,mistral:latest,A,B,0,A,A,A,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q7,mistral:latest,C,D,0,C,C,C,There was a growth in income inequality in the 1980s because:
q1,mistral:latest,B,C,0,B,B,C,Mass-society theory suggests that:
q9,mistral:latest,B,A,0,B,B,B,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q12,mistral:latest,D,D,1,D,D,D,Anti-psychiatrists like Laing & Esterson believed that:
q8,mistral:latest,C,B,0,B,A,A,"If a deviant act is 'normalized', it is:"
q10,mistral:latest,D,C,0,D,B,B,Marxist feminists explain patriarchy in terms of:
q11,mistral:latest,B,B,1,A,B,A,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q15,mistral:latest,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q14,mistral:latest,A,A,1,A,D,A,"In contemporary societies, social institutions are:"
q16,mistral:latest,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q13,mistral:latest,D,A,0,A,D,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q19,mistral:latest,C,A,0,C,C,C,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
q20,mistral:latest,A,A,1,A,A,A,Sutherland's study of the 'professional thief' suggested that:
q21,mistral:latest,A,C,0,A,A,A,Which of the following policies did the New Labour government not pursue?
q17,mistral:latest,A,A,1,A,A,B,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
q18,mistral:latest,A,A,1,B,A,A,An ecclesia is:
q23,mistral:latest,B,B,1,B,B,B,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?"
q25,mistral:latest,C,C,1,C,C,C,Bourdieu attributed the reproduction of class to:
q26,mistral:latest,C,C,1,C,C,C,Secularization involves the two related ideas of:
q22,mistral:latest,A,C,0,C,A,C,"Stone's research suggests that prior to industrialization, the nuclear family:"
q27,mistral:latest,A,A,1,A,A,A,The general fertility rate fell between 1964 and 2000 because of:
q29,mistral:latest,A,A,1,A,A,A,The 'third age' of the life course is said to involve:
q24,mistral:latest,D,D,1,D,D,A,Mosca and Pareto identified the ruling elite as:
q30,mistral:latest,B,B,1,B,B,B,Weber (1919) said that the state's monopoly of the use of force was legitimated by:
q28,mistral:latest,A,A,1,B,A,B,Howard's idea of the garden city consisted of:
q32,mistral:latest,C,C,1,C,C,C,The shift from custodial to joint parenthood after divorce means that:
q33,mistral:latest,B,B,1,B,B,B,Émile Durkheim believed the primary focus of sociology should be which of the following?
q34,mistral:latest,A,A,1,A,A,D,"The term ""sociology"" was coined in the early 1800s by which of the following?"
q31,mistral:latest,D,D,1,D,A,A,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
q37,mistral:latest,A,A,1,A,A,A,Margaret Mead suggested that:
q35,mistral:latest,B,A,0,A,B,C,"In their study of depression, Brown & Harris (1978) found that:"
q36,mistral:latest,A,A,1,A,B,A,The alternative form of 'network organization' means that:
q40,mistral:latest,D,D,1,D,D,D,Weber said that the 'spirit of capitalism' could be traced back to:
q41,mistral:latest,A,A,1,A,A,A,The terms 'crisis of the 1970s' is used to refer to:
q38,mistral:latest,C,D,0,B,A,C,The term 'secondary deviation' refers to:
q39,mistral:latest,C,B,0,C,C,B,The effect of the Internet upon the public sphere has been to:
q45,mistral:latest,B,A,0,B,B,B,Chodorow (1978) argued that gender socialization occurred through:
q44,mistral:latest,D,D,1,C,D,D,Environmentalist social movements are global in the sense that:
q42,mistral:latest,B,B,1,B,C,B,The Macpherson Report highlighted the increasing problem of:
q43,mistral:latest,C,C,1,C,C,B,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?
q46,mistral:latest,A,A,1,A,A,A,The 'new man' of the 1980s was alleged to be:
q48,mistral:latest,B,B,1,B,B,B,"In idealized views of science, the experimental method is said to involve:"
q50,mistral:latest,C,C,1,C,C,C,The Nation of Islam group appealed to:
q47,mistral:latest,B,B,1,B,A,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
q51,mistral:latest,B,B,1,B,B,B,Comte's term 'positivism' refers to:
q49,mistral:latest,B,D,0,D,B,B,An 'open' society is one that:
q52,mistral:latest,B,B,1,B,B,B,Theories of racialized discourse suggest that:
q54,mistral:latest,C,C,1,C,C,C,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?
q55,mistral:latest,A,A,1,A,A,A,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery"
q56,mistral:latest,C,C,1,C,C,C,Pluralist theories suggest that:
q53,mistral:latest,C,B,0,C,C,A,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?"
q57,mistral:latest,B,B,1,B,B,B,The term 'over-urbanization' means that:
q59,mistral:latest,B,B,1,B,B,B,The term inter-generational mobility refers to:
q60,mistral:latest,B,B,1,B,B,B,"The term 'culture industry', used by members of the Frankfurt School, referred to:"
q63,mistral:latest,D,D,1,D,D,D,What is the name of the process by which we acquire a sense of identity and become members of society?
q58,mistral:latest,B,C,0,B,C,C,The capitalist class of the mid-twentieth century were said to join the upper class because they:
q62,mistral:latest,A,C,0,A,A,C,A sect is organised around:
q64,mistral:latest,C,C,1,C,C,C,Pre-testing a questionnaire is useful for:
q61,mistral:latest,B,B,1,B,C,B,"According to Hakim (1995, 1996), the majority of part-time work is done by women because:"
q65,mistral:latest,D,D,1,D,D,D,Judith Butler (1999) suggested that:
q68,mistral:latest,D,D,1,D,D,D,"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?"
q69,mistral:latest,A,A,1,A,A,A,"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by"
q71,mistral:latest,D,A,0,D,D,D,Post-modernist writers have argued that:
q66,mistral:latest,A,A,1,D,D,A,Patterns of drug use in Britain reveal that:
q67,mistral:latest,D,D,1,D,C,C,Murray thought that the 'underclass' consisted of people who:
q72,mistral:latest,A,A,1,A,A,A,"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?"
q73,mistral:latest,D,D,1,D,D,D,Warner's study of the city of Natchez in the American Deep South showed that the 'colour line' there was:
