question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q3,mistral-nemo:latest,B,B,1,B,B,B,Becker proclaimed that cannabis use was:
q2,mistral-nemo:latest,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q1,mistral-nemo:latest,C,C,1,C,C,C,Mass-society theory suggests that:
q4,mistral-nemo:latest,D,D,1,D,B,D,The middle classes that developed over the nineteenth century were:
q5,mistral-nemo:latest,D,D,1,D,D,D,Technological forms of surveillance have made it easier to:
q9,mistral-nemo:latest,B,A,0,B,B,B,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q6,mistral-nemo:latest,B,B,1,B,C,B,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q7,mistral-nemo:latest,C,D,0,C,A,C,There was a growth in income inequality in the 1980s because:
q10,mistral-nemo:latest,B,C,0,B,B,B,Marxist feminists explain patriarchy in terms of:
q8,mistral-nemo:latest,A,B,0,A,D,C,"If a deviant act is 'normalized', it is:"
q12,mistral-nemo:latest,D,D,1,D,D,A,Anti-psychiatrists like Laing & Esterson believed that:
q14,mistral-nemo:latest,A,A,1,A,A,A,"In contemporary societies, social institutions are:"
q13,mistral-nemo:latest,A,A,1,D,A,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q11,mistral-nemo:latest,B,B,1,A,B,B,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q15,mistral-nemo:latest,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q16,mistral-nemo:latest,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q19,mistral-nemo:latest,C,A,0,C,C,C,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
q17,mistral-nemo:latest,A,A,1,B,A,A,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
q20,mistral-nemo:latest,A,A,1,D,A,A,Sutherland's study of the 'professional thief' suggested that:
q22,mistral-nemo:latest,C,C,1,C,C,C,"Stone's research suggests that prior to industrialization, the nuclear family:"
q18,mistral-nemo:latest,A,A,1,B,B,A,An ecclesia is:
q23,mistral-nemo:latest,B,B,1,B,B,B,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?"
q25,mistral-nemo:latest,C,C,1,C,C,C,Bourdieu attributed the reproduction of class to:
q21,mistral-nemo:latest,D,C,0,A,A,B,Which of the following policies did the New Labour government not pursue?
q26,mistral-nemo:latest,C,C,1,C,C,C,Secularization involves the two related ideas of:
q27,mistral-nemo:latest,A,A,1,A,A,A,The general fertility rate fell between 1964 and 2000 because of:
q24,mistral-nemo:latest,A,D,0,D,D,A,Mosca and Pareto identified the ruling elite as:
q30,mistral-nemo:latest,B,B,1,B,B,B,Weber (1919) said that the state's monopoly of the use of force was legitimated by:
q28,mistral-nemo:latest,A,A,1,A,A,B,Howard's idea of the garden city consisted of:
q29,mistral-nemo:latest,A,A,1,A,C,A,The 'third age' of the life course is said to involve:
q31,mistral-nemo:latest,D,D,1,D,D,D,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
q32,mistral-nemo:latest,C,C,1,C,C,C,The shift from custodial to joint parenthood after divorce means that:
q33,mistral-nemo:latest,B,B,1,B,B,B,Émile Durkheim believed the primary focus of sociology should be which of the following?
q34,mistral-nemo:latest,A,A,1,A,A,A,"The term ""sociology"" was coined in the early 1800s by which of the following?"
q36,mistral-nemo:latest,A,A,1,A,A,A,The alternative form of 'network organization' means that:
q35,mistral-nemo:latest,A,A,1,C,A,A,"In their study of depression, Brown & Harris (1978) found that:"
q37,mistral-nemo:latest,A,A,1,D,A,A,Margaret Mead suggested that:
q38,mistral-nemo:latest,C,D,0,B,C,C,The term 'secondary deviation' refers to:
q41,mistral-nemo:latest,A,A,1,A,A,A,The terms 'crisis of the 1970s' is used to refer to:
q42,mistral-nemo:latest,B,B,1,B,B,B,The Macpherson Report highlighted the increasing problem of:
q40,mistral-nemo:latest,D,D,1,D,D,B,Weber said that the 'spirit of capitalism' could be traced back to:
q39,mistral-nemo:latest,B,B,1,C,B,B,The effect of the Internet upon the public sphere has been to:
q43,mistral-nemo:latest,C,C,1,C,C,C,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?
q44,mistral-nemo:latest,D,D,1,D,D,D,Environmentalist social movements are global in the sense that:
q47,mistral-nemo:latest,B,B,1,B,B,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
q48,mistral-nemo:latest,B,B,1,B,B,B,"In idealized views of science, the experimental method is said to involve:"
q46,mistral-nemo:latest,A,A,1,A,B,A,The 'new man' of the 1980s was alleged to be:
q50,mistral-nemo:latest,C,C,1,C,C,C,The Nation of Islam group appealed to:
q45,mistral-nemo:latest,C,A,0,B,C,A,Chodorow (1978) argued that gender socialization occurred through:
q51,mistral-nemo:latest,B,B,1,B,B,B,Comte's term 'positivism' refers to:
q49,mistral-nemo:latest,B,D,0,D,B,B,An 'open' society is one that:
q52,mistral-nemo:latest,B,B,1,B,B,B,Theories of racialized discourse suggest that:
q55,mistral-nemo:latest,A,A,1,A,A,A,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery"
q53,mistral-nemo:latest,C,B,0,B,C,C,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?"
q54,mistral-nemo:latest,C,C,1,C,A,C,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?
q57,mistral-nemo:latest,B,B,1,B,B,B,The term 'over-urbanization' means that:
q56,mistral-nemo:latest,A,C,0,B,C,A,Pluralist theories suggest that:
q59,mistral-nemo:latest,B,B,1,B,B,B,The term inter-generational mobility refers to:
