question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident
2012_q1,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q1,1,0.0,0.0,0.0,1.0,D,D,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q1,2,0.0,0.0,1.0,0.0,C,C,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q1,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q2,0,1.0,0.0,0.0,0.0,A,C,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q2,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q2,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q2,3,1.0,0.0,0.0,0.0,A,D,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q3,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,C,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q3,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q3,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q3,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,C,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q4,0,1.0,0.0,0.0,0.0,A,B,B,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q4,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q4,2,1.0,0.0,0.0,0.0,A,D,B,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q4,3,1.0,0.0,0.0,0.0,A,C,B,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q5,0,1.0,0.0,0.0,0.0,A,D,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q5,1,1.0,0.0,0.0,0.0,A,C,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q5,2,1.0,0.0,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q5,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q6,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q6,1,0.0,1.0,0.0,0.0,B,B,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q6,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q6,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,C,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q9,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q9,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q9,2,1.0,0.0,0.0,0.0,A,C,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q9,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q10,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q10,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q10,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q10,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q11,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q11,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q11,2,1.0,0.0,0.0,0.0,A,C,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q11,3,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,A,Qwen/Qwen2.5-1.5B-Instruct,1
2012_q12,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q12,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q12,2,1.0,0.0,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0
2012_q12,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0
