question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model
q9,0,0.0,0.5,0.0,0.5,D,C,C,gemma3:12b
q9,1,0.5,0.0,0.0,0.5,D,B,C,gemma3:12b
q9,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:12b
q9,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b
q11,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b
q11,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b
q11,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b
q11,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b
q13,0,0.5,0.0,0.0,0.5,D,A,A,gemma3:12b
q13,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q13,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:12b
q13,3,0.0,0.5,0.0,0.5,D,B,A,gemma3:12b
q15,0,0.0,0.5,0.5,0.0,C,A,A,gemma3:12b
q15,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q15,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b
q15,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,A,gemma3:12b
q16,0,0.5,0.0,0.0,0.5,D,D,D,gemma3:12b
q16,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b
q16,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b
q16,3,0.0,0.5,0.5,0.0,C,A,D,gemma3:12b
q20,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,D,gemma3:12b
q20,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b
q20,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b
q20,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b
q25,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,A,gemma3:12b
q25,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q25,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,C,A,gemma3:12b
q25,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,B,A,gemma3:12b
q33,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,D,gemma3:12b
q33,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b
q33,2,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,D,gemma3:12b
q33,3,1.0,0.0,0.0,0.0,A,A,D,gemma3:12b
q34,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,A,gemma3:12b
q34,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q34,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,gemma3:12b
q34,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:12b
q36,0,0.0,0.0,0.0,1.0,D,C,C,gemma3:12b
