question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
2012_q1,microsoft/Phi-3-mini-4k-instruct,D,A,0,D,A,,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare
2012_q2,microsoft/Phi-3-mini-4k-instruct,A,C,0,A,A,A,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?
2012_q3,microsoft/Phi-3-mini-4k-instruct,A,C,0,A,A,,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file
2012_q4,microsoft/Phi-3-mini-4k-instruct,A,B,0,A,A,A,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue
2012_q5,microsoft/Phi-3-mini-4k-instruct,A,D,0,A,,,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X."
2012_q6,microsoft/Phi-3-mini-4k-instruct,A,C,0,A,,A,Which of the following statements about clicking a hyperlink in a presentation file is correct?
2012_q9,microsoft/Phi-3-mini-4k-instruct,B,A,0,B,A,A,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?
2012_q10,microsoft/Phi-3-mini-4k-instruct,A,D,0,A,,A,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.
2012_q11,microsoft/Phi-3-mini-4k-instruct,A,A,1,D,A,,Which of the following statements about a check digit for a data item is correct?
2012_q12,microsoft/Phi-3-mini-4k-instruct,A,D,0,A,A,,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes"
2012_q14,microsoft/Phi-3-mini-4k-instruct,D,D,1,A,D,D,Which of the following is the main development trend for display units in desktop computers?
2012_q15,microsoft/Phi-3-mini-4k-instruct,C,D,0,A,C,A,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.
