question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,A,mistral-nemo:latest,0,0.5,B,B,A
q1,1,0.3333333333333333,0.6666666666666666,0.0,0.0,B,D,A,mistral-nemo:latest,0,0.5,B,B,A
q1,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,A,mistral-nemo:latest,0,0.5,B,B,A
q1,3,0.0,1.0,0.0,0.0,B,B,A,mistral-nemo:latest,0,0.5,B,B,A
q3,0,0.0,0.0,1.0,0.0,C,B,B,mistral-nemo:latest,1,0.5,C,C,C
q3,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,B,mistral-nemo:latest,1,0.5,C,C,C
q3,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,D,B,mistral-nemo:latest,1,0.5,C,C,C
q3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,C,B,mistral-nemo:latest,1,0.5,C,C,C
q4,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,A,mistral-nemo:latest,0,0.5,C,C,A
q4,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,D,A,mistral-nemo:latest,0,0.5,C,C,A
q4,2,0.0,0.0,1.0,0.0,C,C,A,mistral-nemo:latest,0,0.5,C,C,A
q4,3,0.0,0.0,1.0,0.0,C,B,A,mistral-nemo:latest,0,0.5,C,C,A
q2,0,0.0,1.0,0.0,0.0,B,C,C,mistral-nemo:latest,1,0.5,B,B,B
q2,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,C,mistral-nemo:latest,1,0.5,B,B,B
q2,2,0.0,1.0,0.0,0.0,B,A,C,mistral-nemo:latest,1,0.5,B,B,B
q2,3,0.0,1.0,0.0,0.0,B,D,C,mistral-nemo:latest,1,0.5,B,B,B
q5,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,C,mistral-nemo:latest,0,0.5,D,B,D
