question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q9,0,0.0,0.5,0.0,0.5,D,C,C,gemma3:12b,0,B,0
q9,1,0.5,0.0,0.0,0.5,D,B,C,gemma3:12b,0,A,0
q9,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:12b,0,C,0
q9,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b,0,B,0
q11,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,B,0
q11,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b,0,C,1
q11,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q11,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b,0,C,0
q13,0,0.5,0.0,0.0,0.5,D,A,A,gemma3:12b,0,A,1
q13,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q13,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:12b,1,C,1
q13,3,0.0,0.5,0.0,0.5,D,B,A,gemma3:12b,0,B,1
q15,0,0.0,0.5,0.5,0.0,C,A,A,gemma3:12b,0,C,0
q15,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q15,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b,0,D,0
q15,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,A,gemma3:12b,0,B,1
q16,0,0.5,0.0,0.0,0.5,D,D,D,gemma3:12b,1,A,0
q16,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q16,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q16,3,0.0,0.5,0.5,0.0,C,A,D,gemma3:12b,0,C,0
q20,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,D,gemma3:12b,0,B,0
q20,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b,0,C,1
q20,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q20,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b,0,C,0
q25,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,A,gemma3:12b,0,A,1
q25,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q25,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,C,A,gemma3:12b,0,B,0
q25,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,B,A,gemma3:12b,0,A,0
q33,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,A,0
