question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature
q1,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-7B-Instruct,0.5
q1,1,0.0,0.0,0.0,1.0,D,D,A,Qwen/Qwen2.5-7B-Instruct,0.5
q1,2,0.0,0.0,1.0,0.0,C,C,A,Qwen/Qwen2.5-7B-Instruct,0.5
q1,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-7B-Instruct,0.5
q2,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q2,1,0.0,1.0,0.0,0.0,B,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q2,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q2,3,0.0,1.0,0.0,0.0,B,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q3,0,0.0,0.0,0.0,1.0,D,B,B,Qwen/Qwen2.5-7B-Instruct,0.5
q3,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-7B-Instruct,0.5
q3,2,0.0,1.0,0.0,0.0,B,D,B,Qwen/Qwen2.5-7B-Instruct,0.5
q3,3,1.0,0.0,0.0,0.0,A,C,B,Qwen/Qwen2.5-7B-Instruct,0.5
q4,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-7B-Instruct,0.5
q4,1,0.0,0.0,0.0,1.0,D,D,A,Qwen/Qwen2.5-7B-Instruct,0.5
q4,2,0.0,0.0,0.0,1.0,D,C,A,Qwen/Qwen2.5-7B-Instruct,0.5
q4,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-7B-Instruct,0.5
q5,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q5,1,0.0,1.0,0.0,0.0,B,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q5,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q5,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q6,0,0.0,0.0,0.0,1.0,D,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q6,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q6,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q6,3,0.0,0.0,1.0,0.0,C,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q7,0,0.0,0.0,0.0,1.0,D,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q7,1,0.0,1.0,0.0,0.0,B,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q7,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q7,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q8,0,0.0,0.0,0.0,1.0,D,B,B,Qwen/Qwen2.5-7B-Instruct,0.5
q8,1,0.0,0.0,1.0,0.0,C,A,B,Qwen/Qwen2.5-7B-Instruct,0.5
q8,2,0.0,1.0,0.0,0.0,B,D,B,Qwen/Qwen2.5-7B-Instruct,0.5
q8,3,1.0,0.0,0.0,0.0,A,C,B,Qwen/Qwen2.5-7B-Instruct,0.5
q9,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q9,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q9,2,0.0,0.0,1.0,0.0,C,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q9,3,0.0,1.0,0.0,0.0,B,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q10,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q10,1,0.0,1.0,0.0,0.0,B,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q10,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q10,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q11,0,0.0,0.0,0.0,1.0,D,D,D,Qwen/Qwen2.5-7B-Instruct,0.5
q11,1,1.0,0.0,0.0,0.0,A,C,D,Qwen/Qwen2.5-7B-Instruct,0.5
q11,2,0.0,0.0,0.0,1.0,D,B,D,Qwen/Qwen2.5-7B-Instruct,0.5
q11,3,0.0,0.0,1.0,0.0,C,A,D,Qwen/Qwen2.5-7B-Instruct,0.5
q12,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-7B-Instruct,0.5
q12,1,0.0,0.0,0.0,1.0,D,D,A,Qwen/Qwen2.5-7B-Instruct,0.5
q12,2,0.0,0.0,0.0,1.0,D,C,A,Qwen/Qwen2.5-7B-Instruct,0.5
q12,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-7B-Instruct,0.5
q13,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-7B-Instruct,0.5
q13,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-7B-Instruct,0.5
q13,2,1.0,0.0,0.0,0.0,A,C,A,Qwen/Qwen2.5-7B-Instruct,0.5
q13,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-7B-Instruct,0.5
q14,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-7B-Instruct,0.5
q14,1,0.0,1.0,0.0,0.0,B,B,C,Qwen/Qwen2.5-7B-Instruct,0.5
q14,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-7B-Instruct,0.5
q14,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-7B-Instruct,0.5
q15,0,0.0,0.0,0.0,1.0,D,A,A,Qwen/Qwen2.5-7B-Instruct,0.5
q15,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-7B-Instruct,0.5
q15,2,0.0,1.0,0.0,0.0,B,C,A,Qwen/Qwen2.5-7B-Instruct,0.5
q15,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-7B-Instruct,0.5
q16,0,0.0,0.0,0.0,1.0,D,D,D,Qwen/Qwen2.5-7B-Instruct,0.5
q16,1,0.0,0.0,1.0,0.0,C,C,D,Qwen/Qwen2.5-7B-Instruct,0.5
q16,2,0.0,1.0,0.0,0.0,B,B,D,Qwen/Qwen2.5-7B-Instruct,0.5
q16,3,0.0,0.0,0.0,1.0,D,A,D,Qwen/Qwen2.5-7B-Instruct,0.5
q17,0,0.0,0.0,0.0,1.0,D,D,D,Qwen/Qwen2.5-7B-Instruct,0.5
q17,1,0.0,0.0,1.0,0.0,C,C,D,Qwen/Qwen2.5-7B-Instruct,0.5
q17,2,0.0,0.0,0.0,1.0,D,B,D,Qwen/Qwen2.5-7B-Instruct,0.5
q17,3,0.0,0.0,1.0,0.0,C,A,D,Qwen/Qwen2.5-7B-Instruct,0.5
q18,0,0.0,0.0,0.0,1.0,D,B,B,Qwen/Qwen2.5-7B-Instruct,0.5
q18,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-7B-Instruct,0.5
q18,2,0.0,1.0,0.0,0.0,B,D,B,Qwen/Qwen2.5-7B-Instruct,0.5
