question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,0.0,0.0,1.0,0.0,C,C,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q1,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q1,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q1,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q2,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q2,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q2,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q2,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q3,0,1.0,0.0,0.0,0.0,A,B,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,C,A
q3,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,C,A
q3,2,1.0,0.0,0.0,0.0,A,D,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,C,A
q3,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,C,A
q4,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q4,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q4,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q4,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q5,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q5,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q5,2,1.0,0.0,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q5,3,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,A,D
q6,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q6,1,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q6,2,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q6,3,0.0,0.0,1.0,0.0,C,C,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q7,0,0.0,1.0,0.0,0.0,B,D,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,C,C
q7,1,1.0,0.0,0.0,0.0,A,C,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,C,C
q7,2,1.0,0.0,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,C,C
q7,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,C,C
q8,0,1.0,0.0,0.0,0.0,A,B,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q8,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q8,2,0.0,0.0,1.0,0.0,C,D,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q8,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,C,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q9,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q9,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q9,2,0.3333333333333333,0.0,0.0,0.6666666666666666,D,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q9,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q10,0,0.0,1.0,0.0,0.0,B,C,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q10,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q10,2,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q10,3,0.0,0.0,1.0,0.0,C,D,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q11,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,B,A
q11,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,B,A
q11,2,0.0,0.0,0.0,1.0,D,D,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,B,A
q11,3,0.0,0.0,1.0,0.0,C,C,B,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,B,A
q12,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,B,D
q12,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,B,D
q12,2,0.0,1.0,0.0,0.0,B,B,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,B,D
q12,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,B,D
q13,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q13,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q13,2,0.0,1.0,0.0,0.0,B,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q13,3,1.0,0.0,0.0,0.0,A,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q14,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q14,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q14,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q14,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q15,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q15,1,0.0,0.0,0.0,1.0,D,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q15,2,0.0,0.0,1.0,0.0,C,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q15,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q16,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q16,1,0.0,0.0,0.0,1.0,D,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q16,2,0.0,0.0,1.0,0.0,C,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q16,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q17,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q17,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q17,2,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q17,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q18,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,A,A
q18,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,A,A
q18,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,A,A
q18,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,B,A,A
q19,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,C,A
q19,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,C,A
q19,2,1.0,0.0,0.0,0.0,A,C,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,C,A
q19,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,A,C,A
q20,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q20,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q20,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q20,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,A,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q21,0,1.0,0.0,0.0,0.0,A,C,C,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,A,A
q21,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,C,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,A,A
q21,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,A,A
q21,3,1.0,0.0,0.0,0.0,A,D,C,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,C,A,A
q22,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q22,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q22,2,1.0,0.0,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q22,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,C,C,C
q23,0,0.0,1.0,0.0,0.0,B,B,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q23,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q23,2,0.0,0.0,0.0,1.0,D,D,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q23,3,0.0,0.0,1.0,0.0,C,C,B,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,B,B,B
q24,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,D,C,D
q24,1,0.6666666666666666,0.3333333333333333,0.0,0.0,A,C,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,D,C,D
q24,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,D,C,D
q24,3,1.0,0.0,0.0,0.0,A,A,D,Qwen/Qwen2.5-1.5B-Instruct,0,0.7,D,C,D
q25,0,1.0,0.0,0.0,0.0,A,C,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q25,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
q25,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,C,Qwen/Qwen2.5-1.5B-Instruct,1,0.7,A,A,A
