question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q1,1,0.0,1.0,0.0,0.0,B,B,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,A,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,D,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q2,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q2,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q2,2,0.0,0.0,1.0,0.0,C,C,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q2,3,0.0,1.0,0.0,0.0,B,B,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q3,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
q3,1,0.6666666666666666,0.0,0.0,0.3333333333333333,A,A,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
q3,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
q3,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
q4,0,0.0,0.0,0.0,1.0,D,D,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q4,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q4,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q4,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q5,0,0.0,0.0,0.0,1.0,D,D,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q5,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q5,2,0.0,1.0,0.0,0.0,B,B,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q5,3,0.0,1.0,0.0,0.0,B,A,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,D
q6,0,0.0,1.0,0.0,0.0,B,B,B,microsoft/Phi-3-mini-4k-instruct,1,0.7,B,B,B
q6,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,B,microsoft/Phi-3-mini-4k-instruct,1,0.7,B,B,B
q6,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3-mini-4k-instruct,1,0.7,B,B,B
q6,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,microsoft/Phi-3-mini-4k-instruct,1,0.7,B,B,B
q7,0,0.0,0.0,1.0,0.0,C,D,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q7,1,0.0,1.0,0.0,0.0,B,C,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q7,2,0.0,1.0,0.0,0.0,B,B,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q7,3,0.0,0.0,0.0,1.0,D,A,D,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q8,0,0.0,1.0,0.0,0.0,B,B,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,B,B
q8,1,0.5,0.5,0.0,0.0,A,A,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,B,B
q8,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,B,B
q8,3,0.0,0.0,1.0,0.0,C,C,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,B,B
q9,0,0.0,1.0,0.0,0.0,B,A,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
q9,1,1.0,0.0,0.0,0.0,A,D,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
q9,2,0.0,0.0,0.0,1.0,D,C,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,B
