question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident
2012_q1,0,0.0,0.0,0.0,1.0,D,A,A,gemma3:4b,1
2012_q1,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,1
2012_q1,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,gemma3:4b,1
2012_q1,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:4b,1
2012_q4,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,B,gemma3:4b,0
2012_q4,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,B,gemma3:4b,0
2012_q4,2,0.0,1.0,0.0,0.0,B,D,B,gemma3:4b,0
2012_q4,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,C,B,gemma3:4b,0
2012_q3,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:4b,1
2012_q3,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,C,gemma3:4b,1
2012_q3,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,A,C,gemma3:4b,1
2012_q3,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1
2012_q2,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,gemma3:4b,0
2012_q2,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,gemma3:4b,0
2012_q2,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,C,gemma3:4b,0
2012_q2,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:4b,0
2012_q5,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,D,gemma3:4b,0
2012_q5,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,D,gemma3:4b,0
2012_q5,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,D,gemma3:4b,0
2012_q5,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,D,gemma3:4b,0
2012_q6,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:4b,1
2012_q6,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:4b,1
2012_q6,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,1
2012_q6,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1
2012_q9,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,A,gemma3:4b,0
2012_q9,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,A,gemma3:4b,0
2012_q9,2,0.3333333333333333,0.0,0.0,0.6666666666666666,D,C,A,gemma3:4b,0
2012_q9,3,0.0,0.0,0.0,1.0,D,B,A,gemma3:4b,0
