question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
2012_q1,0,0.9333333333333332,0.0,0.0,0.0666666666666666,A,A,A,microsoft/Phi-3-mini-4k-instruct,0.7,1,D,0
2012_q1,1,0.7857142857142857,0.0,0.0,0.2142857142857142,A,D,A,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
2012_q1,2,0.8,0.0,0.2,0.0,A,C,A,microsoft/Phi-3-mini-4k-instruct,0.7,0,C,1
2012_q1,3,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,A,microsoft/Phi-3-mini-4k-instruct,0.7,0,B,1
2012_q2,0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,A,C,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,C,1
2012_q2,1,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,A,B,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,C,0
2012_q2,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0,A,A,C,microsoft/Phi-3-mini-4k-instruct,0.7,1,C,0
2012_q2,3,0.6,0.3,0.1,0.0,A,D,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,B,0
2012_q3,0,0.8666666666666667,0.0,0.1333333333333333,0.0,A,C,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,C,1
2012_q3,1,0.9333333333333332,0.0666666666666666,0.0,0.0,A,B,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,A,0
2012_q3,2,0.8666666666666667,0.0666666666666666,0.0666666666666666,0.0,A,A,C,microsoft/Phi-3-mini-4k-instruct,0.7,1,A,1
2012_q3,3,0.7142857142857143,0.0,0.0,0.2857142857142857,A,D,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
2012_q4,0,0.6923076923076923,0.2307692307692307,0.0769230769230769,0.0,A,B,B,microsoft/Phi-3-mini-4k-instruct,0.7,0,B,1
2012_q4,1,0.8461538461538461,0.0,0.0769230769230769,0.0769230769230769,A,A,B,microsoft/Phi-3-mini-4k-instruct,0.7,1,D,0
2012_q4,2,0.75,0.1666666666666666,0.0,0.0833333333333333,A,D,B,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
2012_q4,3,0.8181818181818182,0.0,0.0909090909090909,0.0909090909090909,A,C,B,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,0
2012_q5,0,0.5,0.2857142857142857,0.1428571428571428,0.0714285714285714,A,D,D,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
2012_q5,1,0.6428571428571429,0.2142857142857142,0.0714285714285714,0.0714285714285714,A,C,D,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,0
2012_q5,2,0.9333333333333332,0.0666666666666666,0.0,0.0,A,B,D,microsoft/Phi-3-mini-4k-instruct,0.7,0,A,0
2012_q5,3,0.7857142857142857,0.1428571428571428,0.0,0.0714285714285714,A,A,D,microsoft/Phi-3-mini-4k-instruct,0.7,1,D,0
2012_q6,0,0.6,0.2666666666666666,0.0666666666666666,0.0666666666666666,A,C,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,0
2012_q6,1,0.6,0.3333333333333333,0.0666666666666666,0.0,A,B,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,B,1
2012_q6,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,C,microsoft/Phi-3-mini-4k-instruct,0.7,1,B,0
2012_q6,3,0.6,0.2666666666666666,0.0666666666666666,0.0666666666666666,A,D,C,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
2012_q10,0,0.7857142857142857,0.0,0.0,0.2142857142857142,A,D,D,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
2012_q10,1,0.7333333333333333,0.0,0.2666666666666666,0.0,A,C,D,microsoft/Phi-3-mini-4k-instruct,0.7,0,C,1
2012_q10,2,0.7333333333333333,0.2666666666666666,0.0,0.0,A,B,D,microsoft/Phi-3-mini-4k-instruct,0.7,0,B,1
2012_q10,3,0.9333333333333332,0.0666666666666666,0.0,0.0,A,A,D,microsoft/Phi-3-mini-4k-instruct,0.7,1,A,1
2012_q11,0,0.6666666666666666,0.2666666666666666,0.0666666666666666,0.0,A,A,A,microsoft/Phi-3-mini-4k-instruct,0.7,1,B,0
2012_q11,1,0.5333333333333333,0.0666666666666666,0.2666666666666666,0.1333333333333333,A,D,A,microsoft/Phi-3-mini-4k-instruct,0.7,0,D,1
