question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q22,0,0.0,0.0,0.0,0.0,,B,llama3.2:latest,0,D,0
q22,1,0.0,0.0,0.0,0.0,,A,llama3.2:latest,0,D,0
q22,2,0.0,0.0,0.0,0.0,,D,llama3.2:latest,0,D,1
q22,3,0.0,0.0,0.0,0.0,,C,llama3.2:latest,0,D,0
q24,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,llama3.2:latest,1,B,0
q24,1,0.0,0.0,1.0,0.0,C,B,llama3.2:latest,0,C,0
q24,2,0.0,0.0,1.0,0.0,C,A,llama3.2:latest,0,C,0
q24,3,0.0,0.0,1.0,0.0,C,D,llama3.2:latest,0,C,0
q33,0,0.0,0.0,0.0,0.0,,A,llama3.2:latest,0,D,0
q33,1,0.0,0.0,0.0,0.0,,D,llama3.2:latest,0,D,1
q33,2,0.0,0.0,1.0,0.0,C,C,llama3.2:latest,1,C,1
q33,3,0.0,0.0,0.0,0.0,,B,llama3.2:latest,0,D,0
q36,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,llama3.2:latest,0,D,0
q36,1,0.0,0.0,1.0,0.0,C,D,llama3.2:latest,0,C,0
q36,2,0.0,0.0,0.0,1.0,D,C,llama3.2:latest,0,D,0
q36,3,0.0,0.0,0.0,1.0,D,B,llama3.2:latest,0,D,0
q38,0,0.5,0.0,0.5,0.0,C,B,llama3.2:latest,0,A,0
q38,1,0.0,0.0,1.0,0.0,C,A,llama3.2:latest,0,C,0
q38,2,0.0,0.0,0.0,0.0,,D,llama3.2:latest,0,D,1
q38,3,0.0,0.0,0.0,0.0,,C,llama3.2:latest,0,D,0
q42,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,llama3.2:latest,1,A,1
q42,1,1.0,0.0,0.0,0.0,A,D,llama3.2:latest,0,A,0
q42,2,0.0,0.0,1.0,0.0,C,C,llama3.2:latest,1,C,1
q42,3,0.0,1.0,0.0,0.0,B,B,llama3.2:latest,1,B,1
q43,0,0.0,0.0,0.0,0.0,,C,llama3.2:latest,0,D,0
q43,1,0.0,0.0,0.0,0.0,,B,llama3.2:latest,0,D,0
q43,2,0.0,0.0,0.0,0.0,,A,llama3.2:latest,0,D,0
q43,3,0.0,0.0,0.0,0.0,,D,llama3.2:latest,0,D,1
q51,0,0.0,0.0,0.0,0.0,,D,llama3.2:latest,0,D,1
q51,1,0.0,0.0,0.0,0.0,,C,llama3.2:latest,0,D,0
q51,2,0.0,0.0,0.0,0.0,,B,llama3.2:latest,0,D,0
q51,3,0.0,0.0,0.0,0.0,,A,llama3.2:latest,0,D,0
q54,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,llama3.2:latest,1,A,0
q54,1,0.0,0.0,1.0,0.0,C,B,llama3.2:latest,0,C,0
q54,2,1.0,0.0,0.0,0.0,A,A,llama3.2:latest,1,A,1
q54,3,1.0,0.0,0.0,0.0,A,D,llama3.2:latest,0,A,0
q61,0,0.0,0.0,0.0,0.0,,D,llama3.2:latest,0,D,1
q61,1,0.0,0.0,0.0,0.0,,C,llama3.2:latest,0,D,0
q61,2,0.0,0.0,0.0,0.0,,B,llama3.2:latest,0,D,0
q61,3,0.0,0.0,0.0,0.0,,A,llama3.2:latest,0,D,0
q65,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,llama3.2:latest,0,A,0
q65,1,0.0,1.0,0.0,0.0,B,C,llama3.2:latest,0,B,0
q65,2,1.0,0.0,0.0,0.0,A,B,llama3.2:latest,0,A,0
q65,3,0.0,0.0,1.0,0.0,C,A,llama3.2:latest,0,C,0
q69,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,B,llama3.2:latest,0,D,0
q69,1,0.0,0.0,1.0,0.0,C,A,llama3.2:latest,0,C,0
q69,2,0.0,0.0,0.0,1.0,D,D,llama3.2:latest,1,D,1
q69,3,0.0,0.0,1.0,0.0,C,C,llama3.2:latest,1,C,1
