question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q2,0,1.0,0.0,0.0,0.0,A,C,C,gemma3:12b,0,A,0
q2,1,0.0,0.0,0.0,1.0,D,B,C,gemma3:12b,0,D,0
q2,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,gemma3:12b,0,C,0
q2,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b,0,B,0
q4,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:12b,1,A,1
q4,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q4,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b,0,D,0
q4,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,gemma3:12b,0,C,0
q3,0,0.0,1.0,0.0,0.0,B,B,B,gemma3:12b,1,B,1
q3,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,gemma3:12b,0,C,0
q3,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:12b,1,D,1
q3,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,gemma3:12b,1,C,1
q6,0,0.0,1.0,0.0,0.0,B,C,C,gemma3:12b,0,B,0
q6,1,0.0,0.0,0.0,1.0,D,B,C,gemma3:12b,0,D,0
q6,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:12b,0,D,0
q6,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:12b,0,C,0
q7,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:12b,1,C,1
q7,1,0.0,0.0,0.0,1.0,D,B,C,gemma3:12b,0,D,0
q7,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:12b,0,C,0
q7,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b,0,B,0
q8,0,0.0,0.0,0.0,1.0,D,B,B,gemma3:12b,0,D,0
q8,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:12b,0,C,0
q8,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,B,gemma3:12b,0,B,0
q8,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,B,gemma3:12b,0,A,0
q10,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:12b,1,C,1
