question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q4,0,0.5,0.5,0.0,0.0,B,A,A,gemma3:1b,0,0.5,,B,A
q4,1,0.5,0.0,0.0,0.5,D,D,A,gemma3:1b,0,0.5,,B,A
q4,2,0.0,0.0,0.5,0.5,C,C,A,gemma3:1b,0,0.5,,B,A
q4,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:1b,0,0.5,,B,A
q1,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,A,gemma3:1b,0,0.5,C,C,A
q1,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,0,0.5,C,C,A
q1,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,gemma3:1b,0,0.5,C,C,A
q1,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,A,gemma3:1b,0,0.5,C,C,A
q2,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,C,gemma3:1b,0,0.5,,C,A
q2,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,B,C,gemma3:1b,0,0.5,,C,A
q2,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,gemma3:1b,0,0.5,,C,A
q2,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,D,C,gemma3:1b,0,0.5,,C,A
q3,0,0.0,0.0,1.0,0.0,C,B,B,gemma3:1b,1,0.5,,C,C
q3,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:1b,1,0.5,,C,C
q3,2,0.0,0.0,1.0,0.0,C,D,B,gemma3:1b,1,0.5,,C,C
q3,3,0.5,0.0,0.5,0.0,C,C,B,gemma3:1b,1,0.5,,C,C
q6,0,0.5,0.0,0.5,0.0,C,C,C,gemma3:1b,0,0.5,,C,A
q6,1,0.5,0.0,0.5,0.0,C,B,C,gemma3:1b,0,0.5,,C,A
q6,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:1b,0,0.5,,C,A
q6,3,0.5,0.0,0.5,0.0,C,D,C,gemma3:1b,0,0.5,,C,A
q8,0,0.0,0.0,0.5,0.5,C,B,B,gemma3:1b,0,0.5,,C,D
q8,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:1b,0,0.5,,C,D
q8,2,0.0,0.0,1.0,0.0,C,D,B,gemma3:1b,0,0.5,,C,D
q8,3,0.5,0.0,0.5,0.0,C,C,B,gemma3:1b,0,0.5,,C,D
q7,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:1b,1,0.5,C,C,C
q7,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:1b,1,0.5,C,C,C
q7,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:1b,1,0.5,C,C,C
q7,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,gemma3:1b,1,0.5,C,C,C
q5,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,gemma3:1b,0,0.5,D,C,C
q5,1,0.0,0.5,0.5,0.0,C,B,C,gemma3:1b,0,0.5,D,C,C
q5,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:1b,0,0.5,D,C,C
q5,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:1b,0,0.5,D,C,C
q9,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,C,C,gemma3:1b,0,0.5,D,C,A
q9,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,C,gemma3:1b,0,0.5,D,C,A
q9,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:1b,0,0.5,D,C,A
q9,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:1b,0,0.5,D,C,A
q10,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:1b,1,0.5,C,C,C
q10,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:1b,1,0.5,C,C,C
q10,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,gemma3:1b,1,0.5,C,C,C
q10,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,gemma3:1b,1,0.5,C,C,C
q12,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,,C,C
q12,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,1,0.5,,C,C
q12,2,0.0,0.0,0.5,0.5,C,C,A,gemma3:1b,1,0.5,,C,C
q12,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,1,0.5,,C,C
q11,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,gemma3:1b,0,0.5,D,C,D
q11,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,D,gemma3:1b,0,0.5,D,C,D
q11,2,0.5,0.0,0.5,0.0,C,B,D,gemma3:1b,0,0.5,D,C,D
q11,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,D,gemma3:1b,0,0.5,D,C,D
q13,0,0.5,0.0,0.5,0.0,C,A,A,gemma3:1b,0,0.5,,C,A
q13,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,0,0.5,,C,A
q13,2,0.5,0.0,0.5,0.0,C,C,A,gemma3:1b,0,0.5,,C,A
q13,3,0.5,0.0,0.5,0.0,C,B,A,gemma3:1b,0,0.5,,C,A
