question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model
2012_q1,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest
2012_q1,1,0.0,0.0,0.0,1.0,D,D,A,llama3.2:latest
2012_q1,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest
2012_q1,3,0.0,1.0,0.0,0.0,B,B,A,llama3.2:latest
2012_q3,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest
2012_q3,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest
2012_q3,2,0.0,1.0,0.0,0.0,B,A,C,llama3.2:latest
2012_q3,3,0.0,1.0,0.0,0.0,B,D,C,llama3.2:latest
2012_q4,0,0.0,1.0,0.0,0.0,B,B,B,llama3.2:latest
2012_q4,1,0.0,0.0,1.0,0.0,C,A,B,llama3.2:latest
2012_q4,2,0.0,1.0,0.0,0.0,B,D,B,llama3.2:latest
2012_q4,3,0.0,1.0,0.0,0.0,B,C,B,llama3.2:latest
2012_q2,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest
2012_q2,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest
2012_q2,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest
2012_q2,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest
2012_q5,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest
2012_q5,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest
2012_q5,2,0.0,0.0,1.0,0.0,C,B,D,llama3.2:latest
2012_q5,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest
2012_q9,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest
2012_q9,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest
2012_q9,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest
2012_q9,3,0.0,1.0,0.0,0.0,B,B,A,llama3.2:latest
2012_q6,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest
2012_q6,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest
2012_q6,2,0.0,0.0,1.0,0.0,C,A,C,llama3.2:latest
2012_q6,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest
2012_q10,0,0.0,0.0,0.0,1.0,D,D,D,llama3.2:latest
2012_q10,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest
2012_q10,2,0.0,1.0,0.0,0.0,B,B,D,llama3.2:latest
2012_q10,3,1.0,0.0,0.0,0.0,A,A,D,llama3.2:latest
2012_q12,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest
2012_q12,1,0.0,1.0,0.0,0.0,B,C,D,llama3.2:latest
2012_q12,2,0.0,0.0,1.0,0.0,C,B,D,llama3.2:latest
2012_q12,3,1.0,0.0,0.0,0.0,A,A,D,llama3.2:latest
2012_q11,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest
2012_q11,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest
2012_q11,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest
2012_q11,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest
2012_q14,0,0.0,0.0,0.0,1.0,D,D,D,llama3.2:latest
2012_q14,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest
2012_q14,2,0.0,1.0,0.0,0.0,B,B,D,llama3.2:latest
2012_q14,3,1.0,0.0,0.0,0.0,A,A,D,llama3.2:latest
2012_q15,0,0.0,0.0,0.0,1.0,D,D,D,llama3.2:latest
2012_q15,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest
2012_q15,2,0.0,1.0,0.0,0.0,B,B,D,llama3.2:latest
2012_q15,3,1.0,0.0,0.0,0.0,A,A,D,llama3.2:latest
2012_q16,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest
2012_q16,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest
2012_q16,2,0.0,1.0,0.0,0.0,B,A,C,llama3.2:latest
2012_q16,3,0.0,1.0,0.0,0.0,B,D,C,llama3.2:latest
2012_q17,0,0.0,0.0,0.0,1.0,D,D,D,llama3.2:latest
2012_q17,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest
2012_q17,2,0.0,1.0,0.0,0.0,B,B,D,llama3.2:latest
2012_q17,3,1.0,0.0,0.0,0.0,A,A,D,llama3.2:latest
2012_q18,0,0.0,1.0,0.0,0.0,B,B,B,llama3.2:latest
2012_q18,1,1.0,0.0,0.0,0.0,A,A,B,llama3.2:latest
2012_q18,2,0.0,0.0,0.0,1.0,D,D,B,llama3.2:latest
2012_q18,3,0.0,0.0,1.0,0.0,C,C,B,llama3.2:latest
2012_q19,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest
2012_q19,1,0.0,1.0,0.0,0.0,B,B,C,llama3.2:latest
2012_q19,2,1.0,0.0,0.0,0.0,A,A,C,llama3.2:latest
2012_q19,3,0.0,0.0,0.0,1.0,D,D,C,llama3.2:latest
2012_q20,0,0.0,0.0,1.0,0.0,C,A,A,llama3.2:latest
2012_q20,1,0.0,0.0,1.0,0.0,C,D,A,llama3.2:latest
2012_q20,2,0.0,0.0,1.0,0.0,C,C,A,llama3.2:latest
2012_q20,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest
2012_q21,0,0.0,1.0,0.0,0.0,B,B,B,llama3.2:latest
2012_q21,1,0.0,1.0,0.0,0.0,B,A,B,llama3.2:latest
2012_q21,2,0.0,0.0,1.0,0.0,C,D,B,llama3.2:latest
2012_q21,3,0.0,0.0,1.0,0.0,C,C,B,llama3.2:latest
2012_q22,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest
2012_q22,1,0.0,0.0,1.0,0.0,C,B,C,llama3.2:latest
2012_q22,2,0.0,1.0,0.0,0.0,B,A,C,llama3.2:latest
2012_q22,3,0.0,0.0,1.0,0.0,C,D,C,llama3.2:latest
2012_q23,0,0.0,0.0,1.0,0.0,C,B,B,llama3.2:latest
2012_q23,1,1.0,0.0,0.0,0.0,A,A,B,llama3.2:latest
2012_q23,2,0.0,1.0,0.0,0.0,B,D,B,llama3.2:latest
2012_q23,3,1.0,0.0,0.0,0.0,A,C,B,llama3.2:latest
2012_q24,0,0.0,1.0,0.0,0.0,B,B,B,llama3.2:latest
2012_q24,1,0.0,0.0,1.0,0.0,C,A,B,llama3.2:latest
2012_q24,2,0.0,0.0,0.0,1.0,D,D,B,llama3.2:latest
2012_q24,3,0.0,0.0,1.0,0.0,C,C,B,llama3.2:latest
2012_q25,0,0.0,1.0,0.0,0.0,B,B,B,llama3.2:latest
2012_q25,1,1.0,0.0,0.0,0.0,A,A,B,llama3.2:latest
