question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,C,C,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q1,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,C,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q1,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,A,C,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q1,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q2,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,A,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q2,1,0.0,0.0,0.0,1.0,D,D,A,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q2,2,0.0,0.0,1.0,0.0,C,C,A,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q2,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,A,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q3,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,B,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q3,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,A,B,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q3,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q3,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,microsoft/Phi-3.5-mini-instruct,0,0.7,C,B,B
q4,0,0.0,0.0,0.0,1.0,D,D,D,microsoft/Phi-3.5-mini-instruct,1,0.7,,D,D
q4,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,D,microsoft/Phi-3.5-mini-instruct,1,0.7,,D,D
q4,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,D,microsoft/Phi-3.5-mini-instruct,1,0.7,,D,D
q4,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,A,D,microsoft/Phi-3.5-mini-instruct,1,0.7,,D,D
q5,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,microsoft/Phi-3.5-mini-instruct,0,0.7,C,A,D
q5,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,C,D,microsoft/Phi-3.5-mini-instruct,0,0.7,C,A,D
q5,2,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,D,B,D,microsoft/Phi-3.5-mini-instruct,0,0.7,C,A,D
q5,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,A,D,microsoft/Phi-3.5-mini-instruct,0,0.7,C,A,D
