question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
q6,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,mistral-nemo:latest
q6,1,0.0,0.0,1.0,0.0,C,A,mistral-nemo:latest
q6,2,0.0,1.0,0.0,0.0,B,D,mistral-nemo:latest
q6,3,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q13,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,mistral-nemo:latest
q13,1,0.0,1.0,0.0,0.0,B,B,mistral-nemo:latest
q13,2,1.0,0.0,0.0,0.0,A,A,mistral-nemo:latest
q13,3,0.0,0.0,0.0,1.0,D,D,mistral-nemo:latest
q28,0,0.0,0.0,0.0,0.0,,B,mistral-nemo:latest
q28,1,0.0,0.0,0.0,0.0,,A,mistral-nemo:latest
q28,2,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q28,3,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q36,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,mistral-nemo:latest
q36,1,0.0,0.0,0.0,1.0,D,D,mistral-nemo:latest
q36,2,0.0,0.0,1.0,0.0,C,C,mistral-nemo:latest
q36,3,0.0,1.0,0.0,0.0,B,B,mistral-nemo:latest
q43,0,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q43,1,0.0,0.0,0.0,0.0,,B,mistral-nemo:latest
q43,2,0.0,0.0,0.0,0.0,,A,mistral-nemo:latest
q43,3,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q51,0,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q51,1,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q51,2,0.0,0.0,0.0,0.0,,B,mistral-nemo:latest
q51,3,0.0,0.0,0.0,0.0,,A,mistral-nemo:latest
q61,0,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q61,1,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q61,2,0.0,1.0,0.0,0.0,B,B,mistral-nemo:latest
q61,3,1.0,0.0,0.0,0.0,A,A,mistral-nemo:latest
q71,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,mistral-nemo:latest
q71,1,0.0,1.0,0.0,0.0,B,D,mistral-nemo:latest
q71,2,0.0,1.0,0.0,0.0,B,C,mistral-nemo:latest
q71,3,0.0,0.0,1.0,0.0,C,B,mistral-nemo:latest
q85,0,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q85,1,0.0,1.0,0.0,0.0,B,C,mistral-nemo:latest
q85,2,0.0,0.0,0.0,0.0,,B,mistral-nemo:latest
q85,3,0.0,0.0,0.0,0.0,,A,mistral-nemo:latest
q89,0,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q89,1,0.0,0.0,0.0,0.0,,B,mistral-nemo:latest
q89,2,0.0,0.0,0.0,0.0,,A,mistral-nemo:latest
q89,3,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q119,0,0.0,0.0,0.0,0.0,,D,mistral-nemo:latest
q119,1,0.0,0.0,0.0,0.0,,C,mistral-nemo:latest
q119,2,0.0,0.0,0.0,0.0,,B,mistral-nemo:latest
q119,3,0.0,0.0,0.0,0.0,,A,mistral-nemo:latest
q127,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,mistral-nemo:latest
q127,1,0.0,0.0,0.0,1.0,D,D,mistral-nemo:latest
q127,2,0.0,1.0,0.0,0.0,B,C,mistral-nemo:latest
q127,3,1.0,0.0,0.0,0.0,A,B,mistral-nemo:latest
q143,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,A,mistral-nemo:latest
q143,1,0.0,0.0,1.0,0.0,C,D,mistral-nemo:latest
