question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
2014_q1,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,llama3:8b-instruct-q8_0
2014_q1,1,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
2014_q1,2,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
2014_q1,3,1.0,0.0,0.0,0.0,A,D,llama3:8b-instruct-q8_0
2015_q19,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,llama3:8b-instruct-q8_0
2015_q19,1,0.0,0.0,0.0,1.0,D,B,llama3:8b-instruct-q8_0
2015_q19,2,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
2015_q19,3,0.0,1.0,0.0,0.0,B,D,llama3:8b-instruct-q8_0
2015_q29,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,llama3:8b-instruct-q8_0
2015_q29,1,0.0,1.0,0.0,0.0,B,D,llama3:8b-instruct-q8_0
2015_q29,2,0.0,1.0,0.0,0.0,B,C,llama3:8b-instruct-q8_0
2015_q29,3,1.0,0.0,0.0,0.0,A,B,llama3:8b-instruct-q8_0
2016_q3,0,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
2016_q3,1,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
2016_q3,2,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
2016_q3,3,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
2017_q16,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,llama3:8b-instruct-q8_0
2017_q16,1,0.0,1.0,0.0,0.0,B,C,llama3:8b-instruct-q8_0
2017_q16,2,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
2017_q16,3,0.0,1.0,0.0,0.0,B,A,llama3:8b-instruct-q8_0
2017_q20,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,llama3:8b-instruct-q8_0
2017_q20,1,0.0,0.0,1.0,0.0,C,B,llama3:8b-instruct-q8_0
2017_q20,2,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
2017_q20,3,0.0,0.0,1.0,0.0,C,D,llama3:8b-instruct-q8_0
2017_q26,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,llama3:8b-instruct-q8_0
2017_q26,1,0.0,0.0,1.0,0.0,C,B,llama3:8b-instruct-q8_0
2017_q26,2,0.0,1.0,0.0,0.0,B,A,llama3:8b-instruct-q8_0
2017_q26,3,0.0,0.0,0.0,1.0,D,D,llama3:8b-instruct-q8_0
2018_q7,0,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
2018_q7,1,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
2018_q7,2,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
2018_q7,3,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
2018_q15,0,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
2018_q15,1,0.0,0.0,1.0,0.0,C,A,llama3:8b-instruct-q8_0
2018_q15,2,0.0,1.0,0.0,0.0,B,D,llama3:8b-instruct-q8_0
2018_q15,3,1.0,0.0,0.0,0.0,A,C,llama3:8b-instruct-q8_0
2019_q1,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,llama3:8b-instruct-q8_0
2019_q1,1,0.0,0.0,1.0,0.0,C,A,llama3:8b-instruct-q8_0
2019_q1,2,0.0,1.0,0.0,0.0,B,D,llama3:8b-instruct-q8_0
2019_q1,3,1.0,0.0,0.0,0.0,A,C,llama3:8b-instruct-q8_0
2019_q4,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,llama3:8b-instruct-q8_0
2019_q4,1,0.0,0.0,0.0,1.0,D,D,llama3:8b-instruct-q8_0
2019_q4,2,1.0,0.0,0.0,0.0,A,C,llama3:8b-instruct-q8_0
2019_q4,3,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
2019_q5,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,llama3:8b-instruct-q8_0
2019_q5,1,1.0,0.0,0.0,0.0,A,B,llama3:8b-instruct-q8_0
2019_q5,2,0.0,1.0,0.0,0.0,B,A,llama3:8b-instruct-q8_0
2019_q5,3,0.0,0.0,1.0,0.0,C,D,llama3:8b-instruct-q8_0
2019_q9,0,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
2019_q9,1,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
2019_q9,2,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
2019_q9,3,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
2019_q10,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,llama3:8b-instruct-q8_0
2019_q10,1,1.0,0.0,0.0,0.0,A,C,llama3:8b-instruct-q8_0
2019_q10,2,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
2019_q10,3,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
2019_q24,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,llama3:8b-instruct-q8_0
2019_q24,1,0.0,0.0,1.0,0.0,C,B,llama3:8b-instruct-q8_0
2019_q24,2,0.0,1.0,0.0,0.0,B,A,llama3:8b-instruct-q8_0
2019_q24,3,0.0,0.0,0.0,1.0,D,D,llama3:8b-instruct-q8_0
