question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,A,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,A
q1,1,0.0,0.0,0.0,1.0,D,D,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,A
q1,2,0.0,0.0,1.0,0.0,C,C,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,A
q1,3,0.0,1.0,0.0,0.0,B,B,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,D,A
q2,0,0.0,0.0,0.0,1.0,D,C,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,D
q2,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,D
q2,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,D
q2,3,0.0,0.0,0.0,1.0,D,D,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,D
q3,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,B
q3,1,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,B
q3,2,0.5,0.0,0.5,0.0,A,D,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,B
q3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,C,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,B
q4,0,0.0,1.0,0.0,0.0,B,A,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,B,C
q4,1,0.0,0.0,1.0,0.0,C,D,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,B,C
q4,2,0.0,1.0,0.0,0.0,B,C,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,B,C
q4,3,0.0,1.0,0.0,0.0,B,B,A,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,B,C
q5,0,0.0,0.0,1.0,0.0,C,C,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q5,1,0.0,1.0,0.0,0.0,B,B,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q5,2,0.0,0.5,0.5,0.0,B,A,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q5,3,0.0,0.0,1.0,0.0,C,D,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,C,B
q6,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,A
q6,1,0.0,0.5,0.5,0.0,B,B,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,A
q6,2,0.0,1.0,0.0,0.0,B,A,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,A
q6,3,0.0,0.5,0.5,0.0,B,D,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,B,C,A
q7,0,0.0,0.0,0.0,1.0,D,C,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,,B,A
q7,1,0.0,0.0,1.0,0.0,C,B,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,,B,A
q7,2,0.0,1.0,0.0,0.0,B,A,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,,B,A
q7,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,,B,A
q8,0,0.0,0.0,1.0,0.0,C,B,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,C,A
q8,1,0.0,1.0,0.0,0.0,B,A,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,C,A
q8,2,0.0,0.5,0.5,0.0,C,D,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,C,A
q8,3,0.0,0.5,0.0,0.5,D,C,B,microsoft/Phi-3-mini-4k-instruct,0,0.7,A,C,A
q9,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q9,1,0.0,1.0,0.0,0.0,B,B,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q9,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q9,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,C,microsoft/Phi-3-mini-4k-instruct,0,0.7,C,B,A
q10,0,0.0,0.0,1.0,0.0,C,C,C,microsoft/Phi-3-mini-4k-instruct,1,0.7,,C,C
q10,1,0.0,1.0,0.0,0.0,B,B,C,microsoft/Phi-3-mini-4k-instruct,1,0.7,,C,C
q10,2,1.0,0.0,0.0,0.0,A,A,C,microsoft/Phi-3-mini-4k-instruct,1,0.7,,C,C
q10,3,0.0,0.0,0.0,1.0,D,D,C,microsoft/Phi-3-mini-4k-instruct,1,0.7,,C,C
