question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
2012_q1,gemma3:4b,D,A,0,D,D,D,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare
2012_q3,gemma3:4b,C,C,1,C,C,C,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file
2012_q5,gemma3:4b,D,D,1,D,D,D,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X."
2012_q6,gemma3:4b,C,C,1,C,C,C,Which of the following statements about clicking a hyperlink in a presentation file is correct?
2012_q2,gemma3:4b,A,C,0,A,D,B,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?
2012_q4,gemma3:4b,C,B,0,C,C,B,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue
2012_q11,gemma3:4b,A,A,1,A,A,A,Which of the following statements about a check digit for a data item is correct?
2012_q10,gemma3:4b,D,D,1,D,C,D,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.
2012_q14,gemma3:4b,D,D,1,D,D,D,Which of the following is the main development trend for display units in desktop computers?
2012_q9,gemma3:4b,C,A,0,D,D,C,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?
2012_q15,gemma3:4b,D,D,1,D,D,D,Tom currently uses a software package on a desktop computer. He tries to install this software on his tablet computer but fails. Why? (1) The tablet computer uses a different operating system. (2) The tablet computer uses a virtual keyboard. (3) The tablet computer uses a solid-state drive.
2012_q16,gemma3:4b,D,C,0,D,D,D,Why do many readers like using mobile devices to read books? (1) The ergonomic design of mobile devices helps relieve eye strain. (2) Mobile devices provide various functions which make reading convenient. (3) It is convenient for carrying a lot of books.
2012_q17,gemma3:4b,D,D,1,D,D,D,Carey wants to upgrade the DDR II 2G 667 MHz RAM of her computer to DDR III 2G 1333MHz RAM with a higher data transfer rate. Which of the following features should be considered?
2012_q12,gemma3:4b,D,D,1,D,B,D,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes"
2012_q18,gemma3:4b,D,B,0,D,D,D,What is the main purpose of having a memory cache in a CPU?
2012_q21,gemma3:4b,B,B,1,B,B,B,"Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Before uploading a photo, what should Carol do?"
2012_q19,gemma3:4b,C,C,1,C,D,C,"When buying a wireless broadband router for a network at home, which of the following considerations is not necessary?"
2012_q20,gemma3:4b,A,A,1,A,A,D,Carol uses a digital camera to take photos of her school hall. The photos will be uploaded and shown on the school's web pages. Which of the following image file types are suitable for her to use? (1) PNG (2) GIF (3) JPG (4) TIFF
2012_q23,gemma3:4b,B,B,1,B,B,B,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. There are different kinds of online shopping web sites. What features do they usually have? (1) Electronic Fund Transfer (2) A peer-to-peer (p2p) network (3) Mainframe computers (4) A Database Management System (DBMS)
2012_q26,gemma3:4b,C,C,1,C,C,C,"When using Internet search engines, it is better to include operators like '-' in search strings because"
2012_q22,gemma3:4b,C,C,1,C,D,B,Henry lives in Hong Kong. He likes bags made in Europe so he buys a bag through the online shopping web site of a shop in France. What are the possible reasons for Henry's choice to buy the bag online? (1) He can select and buy the bag during office hours in France. (2) There are many different kinds of bags for Henry to choose from. (3) The bag is not for sale in Hong Kong. (4) He has a credit card to pay for it.
2012_q28,gemma3:4b,D,B,0,D,D,D,John can view an online video on the computer at home but not on the computer in his school. Why?
2012_q24,gemma3:4b,D,B,0,B,B,D,Which of the following can enhance the security of online banking? (1) Remote logon (2) Tokens (3) Peer-to-peer network
2012_q25,gemma3:4b,D,B,0,D,B,D,Why should network interface cards (NICs) be used in a computer network? (1) The network needs to support data transfer at 10GB per second. (2) NICs convert analog signals into digital signals and vice versa.
2012_q29,gemma3:4b,D,D,1,D,D,D,"In an IT project, Tom has written the source code. He tests it with valid input data items. What should he do next?"
2012_q33,gemma3:4b,C,C,1,C,C,C,Which of the following statements about open source software is correct?
2012_q27,gemma3:4b,B,A,0,B,A,B,"At home, Mary can access the HKEEA's web site by entering http://www.hkeaa.edu.hk, but she can do it by entering http://210.0.205.228. Why?"
2012_q37,gemma3:4b,D,D,1,D,D,D,Some teenagers in Hong Kong are addicted to playing online games. Which of the following behaviours are common in this group of teenagers? (1) They prefer playing online games to joining face-to-face social activities. (2) They play online games as a way of escaping from daily life problems. (3) They feel irritable when being stopped from using computers.
2012_q39,gemma3:4b,B,B,1,B,B,B,The Hong Kong Government launched the Internet Support Learning Programme in 2011. The Programme helps needy students to acquire computer equipment and Internet access services. What issue is the Government addressing?
2012_q36,gemma3:4b,A,A,1,D,A,D,"At home, John unintentionally detects his neighbour's WiFi network without any security measures. He can fully control the wireless router. What should he do?"
2013_q1,gemma3:4b,B,B,1,B,B,B,"In a DBMS, a database designer designs a form for a clerk to use to enter data. Why does he choose to design a form?"
2012_q40,gemma3:4b,D,A,0,A,D,D,"In a museum, visitors can stand in front of a kiosk with a monitor and a keyboard to access visitor information. Which of the following relate to ergonomic matters? (1) The viewing angle of the monitor is adjustable. (2) The height of the keyboard tray is adjustable. (3) Provide a mouse."
