question_id,permutation_idx,model,predicted_answer,correct_position,original_correct,is_correct,prob_A,prob_B,prob_C,prob_D,sample_count_A,sample_count_B,sample_count_C,sample_count_D,total_valid_samples,question
q1,0,gemma3:4b,D,C,C,0,0.0,0.0,0.0,1.0,0,0,0,15,15,Mass-society theory suggests that:
q1,1,gemma3:4b,C,B,C,0,0.0,0.0,1.0,0.0,0,0,15,0,15,Mass-society theory suggests that:
q1,2,gemma3:4b,B,A,C,0,0.0,1.0,0.0,0.0,0,15,0,0,15,Mass-society theory suggests that:
q1,3,gemma3:4b,D,D,C,1,0.0,0.0,0.0,1.0,0,0,0,15,15,Mass-society theory suggests that:
q2,0,gemma3:4b,A,A,A,1,1.0,0.0,0.0,0.0,15,0,0,0,15,The ecological approach to urban sociology involved studying:
q2,1,gemma3:4b,D,D,A,1,0.0,0.0,0.0,1.0,0,0,0,15,15,The ecological approach to urban sociology involved studying:
q2,2,gemma3:4b,C,C,A,1,0.0,0.0,1.0,0.0,0,0,15,0,15,The ecological approach to urban sociology involved studying:
q2,3,gemma3:4b,B,B,A,1,0.0,1.0,0.0,0.0,0,15,0,0,15,The ecological approach to urban sociology involved studying:
q3,0,gemma3:4b,B,B,B,1,0.0,1.0,0.0,0.0,0,15,0,0,15,Becker proclaimed that cannabis use was:
q3,1,gemma3:4b,A,A,B,1,1.0,0.0,0.0,0.0,15,0,0,0,15,Becker proclaimed that cannabis use was:
q3,2,gemma3:4b,D,D,B,1,0.0,0.0,0.0,1.0,0,0,0,15,15,Becker proclaimed that cannabis use was:
q3,3,gemma3:4b,C,C,B,1,0.0,0.0,1.0,0.0,0,0,15,0,15,Becker proclaimed that cannabis use was:
q4,0,gemma3:4b,D,D,D,1,0.0,0.0,0.0,1.0,0,0,0,15,15,The middle classes that developed over the nineteenth century were:
q4,1,gemma3:4b,D,C,D,0,0.0,0.0,0.0,1.0,0,0,0,15,15,The middle classes that developed over the nineteenth century were:
q4,2,gemma3:4b,C,B,D,0,0.0,0.0,1.0,0.0,0,0,15,0,15,The middle classes that developed over the nineteenth century were:
