question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature
2012_q1,0,1.0,0.0,0.0,0.0,A,A,A,gpt-oss:20b,0.5
2012_q1,1,0.0,0.0,0.0,1.0,D,D,A,gpt-oss:20b,0.5
2012_q1,2,0.0,0.0,1.0,0.0,C,C,A,gpt-oss:20b,0.5
2012_q1,3,0.0,1.0,0.0,0.0,B,B,A,gpt-oss:20b,0.5
2012_q3,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q3,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q3,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q3,3,0.0,0.0,0.0,1.0,D,D,C,gpt-oss:20b,0.5
2012_q2,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q2,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q2,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q2,3,0.0,0.0,0.0,1.0,D,D,C,gpt-oss:20b,0.5
2012_q4,0,0.0,1.0,0.0,0.0,B,B,B,gpt-oss:20b,0.5
2012_q4,1,1.0,0.0,0.0,0.0,A,A,B,gpt-oss:20b,0.5
2012_q4,2,0.0,0.0,0.0,1.0,D,D,B,gpt-oss:20b,0.5
2012_q4,3,0.0,0.0,1.0,0.0,C,C,B,gpt-oss:20b,0.5
2012_q5,0,0.0,0.0,0.0,1.0,D,D,D,gpt-oss:20b,0.5
2012_q5,1,0.0,0.0,1.0,0.0,C,C,D,gpt-oss:20b,0.5
2012_q5,2,0.0,1.0,0.0,0.0,B,B,D,gpt-oss:20b,0.5
2012_q5,3,1.0,0.0,0.0,0.0,A,A,D,gpt-oss:20b,0.5
2012_q6,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q6,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q6,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q6,3,0.0,0.0,0.0,1.0,D,D,C,gpt-oss:20b,0.5
2012_q9,0,1.0,0.0,0.0,0.0,A,A,A,gpt-oss:20b,0.5
2012_q9,1,0.0,0.0,0.0,1.0,D,D,A,gpt-oss:20b,0.5
2012_q9,2,0.0,0.0,1.0,0.0,C,C,A,gpt-oss:20b,0.5
2012_q9,3,0.0,1.0,0.0,0.0,B,B,A,gpt-oss:20b,0.5
2012_q10,0,0.0,0.0,0.0,1.0,D,D,D,gpt-oss:20b,0.5
2012_q10,1,0.0,0.0,1.0,0.0,C,C,D,gpt-oss:20b,0.5
2012_q10,2,0.0,1.0,0.0,0.0,B,B,D,gpt-oss:20b,0.5
2012_q10,3,1.0,0.0,0.0,0.0,A,A,D,gpt-oss:20b,0.5
2012_q11,0,1.0,0.0,0.0,0.0,A,A,A,gpt-oss:20b,0.5
2012_q11,1,0.0,0.0,0.0,1.0,D,D,A,gpt-oss:20b,0.5
2012_q11,2,0.0,0.0,1.0,0.0,C,C,A,gpt-oss:20b,0.5
2012_q11,3,0.0,1.0,0.0,0.0,B,B,A,gpt-oss:20b,0.5
2012_q12,0,0.0,0.0,0.0,1.0,D,D,D,gpt-oss:20b,0.5
2012_q12,1,0.0,0.0,1.0,0.0,C,C,D,gpt-oss:20b,0.5
2012_q12,2,0.0,1.0,0.0,0.0,B,B,D,gpt-oss:20b,0.5
2012_q12,3,1.0,0.0,0.0,0.0,A,A,D,gpt-oss:20b,0.5
2012_q14,0,0.0,0.0,0.0,1.0,D,D,D,gpt-oss:20b,0.5
2012_q14,1,0.0,0.0,1.0,0.0,C,C,D,gpt-oss:20b,0.5
2012_q14,2,0.0,1.0,0.0,0.0,B,B,D,gpt-oss:20b,0.5
2012_q14,3,1.0,0.0,0.0,0.0,A,A,D,gpt-oss:20b,0.5
2012_q15,0,0.0,0.0,0.0,1.0,D,D,D,gpt-oss:20b,0.5
2012_q15,1,0.0,0.0,1.0,0.0,C,C,D,gpt-oss:20b,0.5
2012_q15,2,0.0,1.0,0.0,0.0,B,B,D,gpt-oss:20b,0.5
2012_q15,3,1.0,0.0,0.0,0.0,A,A,D,gpt-oss:20b,0.5
2012_q16,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q16,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q16,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q16,3,1.0,0.0,0.0,0.0,A,D,C,gpt-oss:20b,0.5
2012_q17,0,0.0,0.0,0.0,1.0,D,D,D,gpt-oss:20b,0.5
2012_q17,1,0.0,0.0,1.0,0.0,C,C,D,gpt-oss:20b,0.5
2012_q17,2,0.0,1.0,0.0,0.0,B,B,D,gpt-oss:20b,0.5
2012_q17,3,1.0,0.0,0.0,0.0,A,A,D,gpt-oss:20b,0.5
2012_q18,0,0.0,0.0,0.0,1.0,D,B,B,gpt-oss:20b,0.5
2012_q18,1,0.0,0.0,1.0,0.0,C,A,B,gpt-oss:20b,0.5
2012_q18,2,0.0,1.0,0.0,0.0,B,D,B,gpt-oss:20b,0.5
2012_q18,3,1.0,0.0,0.0,0.0,A,C,B,gpt-oss:20b,0.5
2012_q19,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q19,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q19,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q19,3,0.0,0.0,0.0,1.0,D,D,C,gpt-oss:20b,0.5
2012_q20,0,1.0,0.0,0.0,0.0,A,A,A,gpt-oss:20b,0.5
2012_q20,1,0.0,0.0,0.0,1.0,D,D,A,gpt-oss:20b,0.5
2012_q20,2,0.0,0.0,1.0,0.0,C,C,A,gpt-oss:20b,0.5
2012_q20,3,0.0,1.0,0.0,0.0,B,B,A,gpt-oss:20b,0.5
2012_q21,0,0.0,1.0,0.0,0.0,B,B,B,gpt-oss:20b,0.5
2012_q21,1,1.0,0.0,0.0,0.0,A,A,B,gpt-oss:20b,0.5
2012_q21,2,0.0,0.0,0.0,1.0,D,D,B,gpt-oss:20b,0.5
2012_q21,3,0.0,0.0,1.0,0.0,C,C,B,gpt-oss:20b,0.5
2012_q22,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q22,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q22,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q22,3,0.0,0.0,0.0,1.0,D,D,C,gpt-oss:20b,0.5
2012_q23,0,0.0,1.0,0.0,0.0,B,B,B,gpt-oss:20b,0.5
2012_q23,1,1.0,0.0,0.0,0.0,A,A,B,gpt-oss:20b,0.5
2012_q23,2,0.0,0.0,0.0,1.0,D,D,B,gpt-oss:20b,0.5
2012_q23,3,0.0,0.0,1.0,0.0,C,C,B,gpt-oss:20b,0.5
2012_q25,0,0.0,1.0,0.0,0.0,B,B,B,gpt-oss:20b,0.5
2012_q25,1,1.0,0.0,0.0,0.0,A,A,B,gpt-oss:20b,0.5
2012_q25,2,0.0,0.0,0.0,1.0,D,D,B,gpt-oss:20b,0.5
2012_q25,3,0.0,0.0,1.0,0.0,C,C,B,gpt-oss:20b,0.5
2012_q26,0,0.0,0.0,1.0,0.0,C,C,C,gpt-oss:20b,0.5
2012_q26,1,0.0,1.0,0.0,0.0,B,B,C,gpt-oss:20b,0.5
2012_q26,2,1.0,0.0,0.0,0.0,A,A,C,gpt-oss:20b,0.5
2012_q26,3,0.0,0.0,0.0,1.0,D,D,C,gpt-oss:20b,0.5
