question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident
q1,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:4b,1
q1,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,A,gemma3:4b,1
q1,2,1.0,0.0,0.0,0.0,A,C,A,gemma3:4b,1
q1,3,0.0,0.0,0.0,1.0,D,B,A,gemma3:4b,1
q2,0,0.0,0.0,0.0,1.0,D,C,C,gemma3:4b,1
q2,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,C,gemma3:4b,1
q2,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,1
q2,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,D,C,gemma3:4b,1
q4,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,A,gemma3:4b,0
q4,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,gemma3:4b,0
q4,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,gemma3:4b,0
q4,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:4b,0
q3,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,gemma3:4b,0
q3,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,B,gemma3:4b,0
q3,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,B,gemma3:4b,0
q3,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,B,gemma3:4b,0
q5,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:4b,1
q5,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,C,gemma3:4b,1
q5,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,1
q5,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,gemma3:4b,1
q6,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,gemma3:4b,0
q6,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:4b,0
q6,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,0
q6,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,gemma3:4b,0
q7,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,gemma3:4b,0
q7,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,C,B,C,gemma3:4b,0
q7,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:4b,0
q7,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,gemma3:4b,0
q8,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,B,gemma3:4b,0
q8,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,B,gemma3:4b,0
q8,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,B,gemma3:4b,0
q8,3,0.0,0.0,0.0,1.0,D,C,B,gemma3:4b,0
q9,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,gemma3:4b,1
q9,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,C,gemma3:4b,1
q9,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,C,gemma3:4b,1
q9,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,gemma3:4b,1
q12,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,A,gemma3:4b,0
q12,1,0.0,1.0,0.0,0.0,B,D,A,gemma3:4b,0
q12,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,A,gemma3:4b,0
q12,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:4b,0
q11,0,0.0,1.0,0.0,0.0,B,D,D,gemma3:4b,1
q11,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,C,D,gemma3:4b,1
q11,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:4b,1
q11,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:4b,1
q10,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,C,gemma3:4b,0
q10,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,C,gemma3:4b,0
q10,2,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,C,gemma3:4b,0
q10,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,0
q14,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:4b,1
q14,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:4b,1
q14,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,1
q14,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1
q13,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:4b,1
q13,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,A,gemma3:4b,1
q13,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,A,gemma3:4b,1
q13,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:4b,1
q15,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,A,A,gemma3:4b,0
q15,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,A,gemma3:4b,0
q15,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:4b,0
q15,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,A,gemma3:4b,0
q16,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,D,gemma3:4b,0
q16,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:4b,0
q16,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,D,gemma3:4b,0
q16,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:4b,0
q17,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:4b,1
q17,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,D,gemma3:4b,1
q17,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:4b,1
q17,3,0.0,0.0,0.0,1.0,D,A,D,gemma3:4b,1
q18,0,0.0,0.0,0.0,1.0,D,B,B,gemma3:4b,1
q18,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:4b,1
q18,2,0.0,1.0,0.0,0.0,B,D,B,gemma3:4b,1
q18,3,0.3333333333333333,0.0,0.0,0.6666666666666666,D,C,B,gemma3:4b,1
q19,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,A,gemma3:4b,0
q19,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,A,gemma3:4b,0
q19,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:4b,0
q19,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,A,gemma3:4b,0
q20,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,D,D,gemma3:4b,0
q20,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,D,gemma3:4b,0
q20,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:4b,0
q20,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,D,gemma3:4b,0
q22,0,0.0,0.0,0.0,1.0,D,B,B,gemma3:4b,1
q22,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:4b,1
q22,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,B,gemma3:4b,1
q22,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,gemma3:4b,1
q23,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:4b,1
q23,1,0.0,1.0,0.0,0.0,B,D,A,gemma3:4b,1
q23,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,gemma3:4b,1
q23,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,A,gemma3:4b,1
q24,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,A,gemma3:4b,0
q24,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,0
q24,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,A,gemma3:4b,0
q24,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:4b,0
q21,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:4b,1
q21,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:4b,1
q21,2,0.0,1.0,0.0,0.0,B,B,D,gemma3:4b,1
q21,3,1.0,0.0,0.0,0.0,A,A,D,gemma3:4b,1
q25,0,0.0,0.0,0.0,1.0,D,A,A,gemma3:4b,1
q25,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,1
q25,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:4b,1
q25,3,0.0,0.0,0.0,1.0,D,B,A,gemma3:4b,1
q27,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:4b,1
q27,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:4b,1
q27,2,1.0,0.0,0.0,0.0,A,A,C,gemma3:4b,1
q27,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1
q28,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:4b,0
q28,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:4b,0
q28,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,D,gemma3:4b,0
q28,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:4b,0
q26,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:4b,1
q26,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:4b,1
q26,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,D,gemma3:4b,1
q26,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,A,D,gemma3:4b,1
q31,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:4b,1
q31,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:4b,1
q31,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,C,gemma3:4b,1
q31,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1
q30,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,gemma3:4b,0
q30,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,C,gemma3:4b,0
q30,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,0
q30,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,C,gemma3:4b,0
q29,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:4b,1
q29,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,D,gemma3:4b,1
q29,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:4b,1
q29,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,D,gemma3:4b,1
q32,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:4b,1
q32,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:4b,1
q32,2,0.0,1.0,0.0,0.0,B,B,D,gemma3:4b,1
q32,3,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,D,gemma3:4b,1
q36,0,0.0,0.0,0.0,1.0,D,C,C,gemma3:4b,1
q36,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:4b,1
q36,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,C,gemma3:4b,1
q36,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1
q35,0,0.0,0.0,0.0,1.0,D,B,B,gemma3:4b,0
q35,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,B,gemma3:4b,0
q35,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:4b,0
q35,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,B,gemma3:4b,0
q34,0,0.0,0.0,0.0,1.0,D,A,A,gemma3:4b,1
q34,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,A,gemma3:4b,1
q34,2,0.0,1.0,0.0,0.0,B,C,A,gemma3:4b,1
q34,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,A,gemma3:4b,1
