question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model
q1,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:12b
q1,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q1,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,gemma3:12b
q1,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:12b
q2,0,1.0,0.0,0.0,0.0,A,C,C,gemma3:12b
q2,1,0.0,0.0,0.0,1.0,D,B,C,gemma3:12b
q2,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,gemma3:12b
q2,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b
q4,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:12b
q4,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q4,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b
q4,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,gemma3:12b
q3,0,0.0,1.0,0.0,0.0,B,B,B,gemma3:12b
q3,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,gemma3:12b
q3,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:12b
q3,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,gemma3:12b
q5,0,0.0,0.0,0.0,1.0,D,C,C,gemma3:12b
q5,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,C,gemma3:12b
q5,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,C,gemma3:12b
q5,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:12b
q6,0,0.0,1.0,0.0,0.0,B,C,C,gemma3:12b
q6,1,0.0,0.0,0.0,1.0,D,B,C,gemma3:12b
q6,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:12b
q6,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:12b
q7,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:12b
q7,1,0.0,0.0,0.0,1.0,D,B,C,gemma3:12b
q7,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:12b
q7,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b
q8,0,0.0,0.0,0.0,1.0,D,B,B,gemma3:12b
q8,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:12b
q8,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,B,gemma3:12b
q8,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,B,gemma3:12b
q10,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:12b
q10,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:12b
q10,2,1.0,0.0,0.0,0.0,A,A,C,gemma3:12b
q10,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:12b
q12,0,0.0,1.0,0.0,0.0,B,A,A,gemma3:12b
q12,1,1.0,0.0,0.0,0.0,A,D,A,gemma3:12b
q12,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b
q12,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,gemma3:12b
q14,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:12b
q14,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:12b
q14,2,1.0,0.0,0.0,0.0,A,A,C,gemma3:12b
q14,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,C,gemma3:12b
q17,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:12b
q17,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b
q17,2,0.0,1.0,0.0,0.0,B,B,D,gemma3:12b
q17,3,1.0,0.0,0.0,0.0,A,A,D,gemma3:12b
q18,0,0.0,0.0,0.0,1.0,D,B,B,gemma3:12b
q18,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:12b
q18,2,0.0,1.0,0.0,0.0,B,D,B,gemma3:12b
q18,3,1.0,0.0,0.0,0.0,A,C,B,gemma3:12b
q19,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:12b
q19,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q19,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:12b
q19,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:12b
q21,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:12b
q21,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:12b
q21,2,0.0,1.0,0.0,0.0,B,B,D,gemma3:12b
q21,3,1.0,0.0,0.0,0.0,A,A,D,gemma3:12b
q22,0,0.0,0.0,1.0,0.0,C,B,B,gemma3:12b
q22,1,0.5,0.5,0.0,0.0,A,A,B,gemma3:12b
q22,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:12b
q22,3,0.0,0.0,0.5,0.5,C,C,B,gemma3:12b
q23,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:12b
q23,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,A,gemma3:12b
q23,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,gemma3:12b
q23,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,A,gemma3:12b
q24,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:12b
q24,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b
q24,2,0.0,0.0,0.5,0.5,C,C,A,gemma3:12b
q24,3,1.0,0.0,0.0,0.0,A,B,A,gemma3:12b
q26,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:12b
q26,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b
q26,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,D,gemma3:12b
q26,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,D,gemma3:12b
q27,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:12b
q27,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:12b
q27,2,1.0,0.0,0.0,0.0,A,A,C,gemma3:12b
q27,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:12b
q28,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:12b
q28,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:12b
q28,2,0.0,1.0,0.0,0.0,B,B,D,gemma3:12b
q28,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,D,gemma3:12b
q29,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b
q29,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:12b
q29,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b
