question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
2012_q1,0,1.0,0.0,0.0,0.0,A,A,A,mistral:latest,0.5,1,A,1
2012_q1,1,0.7333333333333333,0.0,0.0,0.2666666666666666,A,D,A,mistral:latest,0.5,0,D,1
2012_q1,2,0.0,0.0,1.0,0.0,C,C,A,mistral:latest,0.5,1,C,1
2012_q1,3,0.0,1.0,0.0,0.0,B,B,A,mistral:latest,0.5,1,B,1
2012_q2,0,1.0,0.0,0.0,0.0,A,C,C,mistral:latest,0.5,0,A,0
2012_q2,1,1.0,0.0,0.0,0.0,A,B,C,mistral:latest,0.5,0,A,0
2012_q2,2,1.0,0.0,0.0,0.0,A,A,C,mistral:latest,0.5,1,A,1
2012_q2,3,1.0,0.0,0.0,0.0,A,D,C,mistral:latest,0.5,0,A,0
2012_q3,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,C,mistral:latest,0.5,0,C,1
2012_q3,1,1.0,0.0,0.0,0.0,A,B,C,mistral:latest,0.5,0,A,0
2012_q3,2,1.0,0.0,0.0,0.0,A,A,C,mistral:latest,0.5,1,A,1
2012_q3,3,1.0,0.0,0.0,0.0,A,D,C,mistral:latest,0.5,0,A,0
2012_q4,0,1.0,0.0,0.0,0.0,A,B,B,mistral:latest,0.5,0,A,0
2012_q4,1,1.0,0.0,0.0,0.0,A,A,B,mistral:latest,0.5,1,A,1
2012_q4,2,1.0,0.0,0.0,0.0,A,D,B,mistral:latest,0.5,0,A,0
2012_q4,3,1.0,0.0,0.0,0.0,A,C,B,mistral:latest,0.5,0,A,0
2012_q5,0,1.0,0.0,0.0,0.0,A,D,D,mistral:latest,0.5,0,A,0
2012_q5,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,C,D,mistral:latest,0.5,0,D,0
2012_q5,2,1.0,0.0,0.0,0.0,A,B,D,mistral:latest,0.5,0,A,0
2012_q5,3,0.7333333333333333,0.2666666666666666,0.0,0.0,A,A,D,mistral:latest,0.5,1,B,0
2012_q6,0,1.0,0.0,0.0,0.0,A,C,C,mistral:latest,0.5,0,A,0
2012_q6,1,0.8666666666666667,0.1333333333333333,0.0,0.0,A,B,C,mistral:latest,0.5,0,A,0
2012_q6,2,1.0,0.0,0.0,0.0,A,A,C,mistral:latest,0.5,1,A,1
2012_q6,3,1.0,0.0,0.0,0.0,A,D,C,mistral:latest,0.5,0,A,0
2012_q9,0,0.8,0.0666666666666666,0.0666666666666666,0.0666666666666666,A,A,A,mistral:latest,0.5,1,A,1
2012_q9,1,0.0,0.0,1.0,0.0,C,D,A,mistral:latest,0.5,0,C,0
2012_q9,2,0.0,0.0,0.0,1.0,D,C,A,mistral:latest,0.5,0,D,0
2012_q9,3,1.0,0.0,0.0,0.0,A,B,A,mistral:latest,0.5,0,A,0
2012_q10,0,0.0,0.0,0.0,1.0,D,D,D,mistral:latest,0.5,1,D,1
2012_q10,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,0.5,1,C,1
2012_q10,2,1.0,0.0,0.0,0.0,A,B,D,mistral:latest,0.5,0,A,0
2012_q10,3,1.0,0.0,0.0,0.0,A,A,D,mistral:latest,0.5,1,A,1
2012_q11,0,1.0,0.0,0.0,0.0,A,A,A,mistral:latest,0.5,1,A,1
2012_q11,1,0.0,0.0,0.0,1.0,D,D,A,mistral:latest,0.5,1,D,1
2012_q11,2,1.0,0.0,0.0,0.0,A,C,A,mistral:latest,0.5,0,A,0
2012_q11,3,0.0,1.0,0.0,0.0,B,B,A,mistral:latest,0.5,1,B,1
2012_q14,0,1.0,0.0,0.0,0.0,A,D,D,mistral:latest,0.5,0,A,0
2012_q14,1,1.0,0.0,0.0,0.0,A,C,D,mistral:latest,0.5,0,A,0
2012_q14,2,1.0,0.0,0.0,0.0,A,B,D,mistral:latest,0.5,0,A,0
2012_q14,3,1.0,0.0,0.0,0.0,A,A,D,mistral:latest,0.5,1,A,1
2012_q15,0,0.0,0.0,0.0,1.0,D,D,D,mistral:latest,0.5,1,D,1
2012_q15,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,0.5,1,C,1
2012_q15,2,1.0,0.0,0.0,0.0,A,B,D,mistral:latest,0.5,0,A,0
2012_q15,3,1.0,0.0,0.0,0.0,A,A,D,mistral:latest,0.5,1,A,1
2012_q16,0,0.0,0.0,0.8,0.2,C,C,C,mistral:latest,0.5,1,C,1
2012_q16,1,0.0,1.0,0.0,0.0,B,B,C,mistral:latest,0.5,1,B,1
2012_q16,2,0.0,1.0,0.0,0.0,B,A,C,mistral:latest,0.5,0,B,0
2012_q16,3,0.0,1.0,0.0,0.0,B,D,C,mistral:latest,0.5,0,B,0
2012_q17,0,0.0,0.0,0.0,1.0,D,D,D,mistral:latest,0.5,1,D,1
