question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q2,llama3:8b-instruct-q8_0,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q4,llama3:8b-instruct-q8_0,D,D,1,D,D,D,The middle classes that developed over the nineteenth century were:
q1,llama3:8b-instruct-q8_0,C,C,1,C,C,C,Mass-society theory suggests that:
q5,llama3:8b-instruct-q8_0,D,D,1,D,D,D,Technological forms of surveillance have made it easier to:
q3,llama3:8b-instruct-q8_0,B,B,1,A,B,B,Becker proclaimed that cannabis use was:
q6,llama3:8b-instruct-q8_0,B,B,1,B,B,B,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q8,llama3:8b-instruct-q8_0,B,B,1,B,B,B,"If a deviant act is 'normalized', it is:"
q10,llama3:8b-instruct-q8_0,B,C,0,B,B,B,Marxist feminists explain patriarchy in terms of:
q12,llama3:8b-instruct-q8_0,D,D,1,D,D,D,Anti-psychiatrists like Laing & Esterson believed that:
q7,llama3:8b-instruct-q8_0,C,D,0,C,B,C,There was a growth in income inequality in the 1980s because:
q9,llama3:8b-instruct-q8_0,B,A,0,B,A,B,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q13,llama3:8b-instruct-q8_0,A,A,1,A,A,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q14,llama3:8b-instruct-q8_0,A,A,1,A,A,A,"In contemporary societies, social institutions are:"
q11,llama3:8b-instruct-q8_0,D,B,0,C,C,B,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q15,llama3:8b-instruct-q8_0,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q16,llama3:8b-instruct-q8_0,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q17,llama3:8b-instruct-q8_0,A,A,1,A,A,A,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
q19,llama3:8b-instruct-q8_0,C,A,0,C,C,A,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
q18,llama3:8b-instruct-q8_0,A,A,1,D,A,B,An ecclesia is:
q20,llama3:8b-instruct-q8_0,A,A,1,C,A,C,Sutherland's study of the 'professional thief' suggested that:
q21,llama3:8b-instruct-q8_0,A,C,0,C,D,A,Which of the following policies did the New Labour government not pursue?
q24,llama3:8b-instruct-q8_0,A,D,0,A,A,A,Mosca and Pareto identified the ruling elite as:
q23,llama3:8b-instruct-q8_0,B,B,1,B,B,B,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?"
q25,llama3:8b-instruct-q8_0,C,C,1,C,C,C,Bourdieu attributed the reproduction of class to:
q22,llama3:8b-instruct-q8_0,B,C,0,C,C,B,"Stone's research suggests that prior to industrialization, the nuclear family:"
q26,llama3:8b-instruct-q8_0,C,C,1,C,C,C,Secularization involves the two related ideas of:
q27,llama3:8b-instruct-q8_0,A,A,1,A,A,A,The general fertility rate fell between 1964 and 2000 because of:
q28,llama3:8b-instruct-q8_0,A,A,1,A,A,A,Howard's idea of the garden city consisted of:
q29,llama3:8b-instruct-q8_0,A,A,1,A,A,A,The 'third age' of the life course is said to involve:
q30,llama3:8b-instruct-q8_0,B,B,1,B,B,B,Weber (1919) said that the state's monopoly of the use of force was legitimated by:
q32,llama3:8b-instruct-q8_0,C,C,1,C,C,C,The shift from custodial to joint parenthood after divorce means that:
q33,llama3:8b-instruct-q8_0,B,B,1,B,B,B,Émile Durkheim believed the primary focus of sociology should be which of the following?
q34,llama3:8b-instruct-q8_0,A,A,1,A,A,A,"The term ""sociology"" was coined in the early 1800s by which of the following?"
q31,llama3:8b-instruct-q8_0,D,D,1,C,D,D,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
q35,llama3:8b-instruct-q8_0,A,A,1,A,A,A,"In their study of depression, Brown & Harris (1978) found that:"
q37,llama3:8b-instruct-q8_0,A,A,1,A,A,A,Margaret Mead suggested that:
q38,llama3:8b-instruct-q8_0,B,D,0,B,B,B,The term 'secondary deviation' refers to:
q40,llama3:8b-instruct-q8_0,D,D,1,D,D,D,Weber said that the 'spirit of capitalism' could be traced back to:
q36,llama3:8b-instruct-q8_0,C,A,0,C,A,A,The alternative form of 'network organization' means that:
q42,llama3:8b-instruct-q8_0,B,B,1,B,B,B,The Macpherson Report highlighted the increasing problem of:
q41,llama3:8b-instruct-q8_0,A,A,1,C,A,A,The terms 'crisis of the 1970s' is used to refer to:
q39,llama3:8b-instruct-q8_0,B,B,1,B,A,B,The effect of the Internet upon the public sphere has been to:
q44,llama3:8b-instruct-q8_0,D,D,1,A,D,A,Environmentalist social movements are global in the sense that:
q43,llama3:8b-instruct-q8_0,C,C,1,C,C,B,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?
q45,llama3:8b-instruct-q8_0,B,A,0,B,A,A,Chodorow (1978) argued that gender socialization occurred through:
q47,llama3:8b-instruct-q8_0,B,B,1,B,B,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
q46,llama3:8b-instruct-q8_0,A,A,1,B,A,B,The 'new man' of the 1980s was alleged to be:
q48,llama3:8b-instruct-q8_0,B,B,1,B,B,B,"In idealized views of science, the experimental method is said to involve:"
q49,llama3:8b-instruct-q8_0,B,D,0,B,B,B,An 'open' society is one that:
q50,llama3:8b-instruct-q8_0,C,C,1,C,C,C,The Nation of Islam group appealed to:
q51,llama3:8b-instruct-q8_0,B,B,1,B,B,B,Comte's term 'positivism' refers to:
q52,llama3:8b-instruct-q8_0,B,B,1,B,B,B,Theories of racialized discourse suggest that:
q53,llama3:8b-instruct-q8_0,C,B,0,C,C,C,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?"
