question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident
2012_q3,0,1.0,0.0,0.0,0.0,A,C,C,mistral:latest,1
2012_q3,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,C,mistral:latest,1
2012_q3,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,C,mistral:latest,1
2012_q3,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,D,C,mistral:latest,1
2012_q2,0,0.0,0.5,0.5,0.0,C,C,C,mistral:latest,0
2012_q2,1,0.5,0.0,0.5,0.0,C,B,C,mistral:latest,0
2012_q2,2,0.0,0.5,0.5,0.0,C,A,C,mistral:latest,0
2012_q2,3,0.5,0.0,0.5,0.0,C,D,C,mistral:latest,0
2012_q4,0,0.5,0.0,0.5,0.0,C,B,B,mistral:latest,0
2012_q4,1,0.5,0.0,0.5,0.0,C,A,B,mistral:latest,0
2012_q4,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,B,mistral:latest,0
2012_q4,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,C,B,mistral:latest,0
2012_q1,0,1.0,0.0,0.0,0.0,A,A,A,mistral:latest,1
2012_q1,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,A,mistral:latest,1
2012_q1,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,mistral:latest,1
2012_q1,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,A,mistral:latest,1
2012_q5,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,D,mistral:latest,0
2012_q5,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,D,mistral:latest,0
2012_q5,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,D,mistral:latest,0
2012_q5,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,D,mistral:latest,0
2012_q6,0,0.0,0.0,1.0,0.0,C,C,C,mistral:latest,1
2012_q6,1,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,C,mistral:latest,1
2012_q6,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,C,mistral:latest,1
2012_q6,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,mistral:latest,1
2012_q9,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,A,A,mistral:latest,0
2012_q9,1,0.0,0.0,1.0,0.0,C,D,A,mistral:latest,0
2012_q9,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,C,A,mistral:latest,0
2012_q9,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,B,A,mistral:latest,0
2012_q10,0,0.0,0.0,0.0,1.0,D,D,D,mistral:latest,1
2012_q10,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,1
2012_q10,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,D,mistral:latest,1
2012_q10,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,D,mistral:latest,1
2012_q11,0,1.0,0.0,0.0,0.0,A,A,A,mistral:latest,1
2012_q11,1,0.0,0.0,0.0,1.0,D,D,A,mistral:latest,1
2012_q11,2,0.0,0.0,1.0,0.0,C,C,A,mistral:latest,1
2012_q11,3,0.0,1.0,0.0,0.0,B,B,A,mistral:latest,1
2012_q14,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,mistral:latest,0
2012_q14,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,D,mistral:latest,0
2012_q14,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,B,D,mistral:latest,0
2012_q14,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,D,mistral:latest,0
2012_q12,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,D,mistral:latest,0
2012_q12,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,D,mistral:latest,0
2012_q12,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,D,mistral:latest,0
2012_q12,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,A,D,mistral:latest,0
2012_q15,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,mistral:latest,0
2012_q15,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,0
2012_q15,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,B,D,mistral:latest,0
2012_q15,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,D,mistral:latest,0
2012_q16,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,C,mistral:latest,0
2012_q16,1,0.0,0.0,1.0,0.0,C,B,C,mistral:latest,0
2012_q16,2,0.0,0.0,1.0,0.0,C,A,C,mistral:latest,0
2012_q16,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,C,mistral:latest,0
2012_q17,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,mistral:latest,0
2012_q17,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,0
2012_q17,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,D,mistral:latest,0
2012_q17,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,D,mistral:latest,0
2012_q18,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,B,mistral:latest,0
2012_q18,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,mistral:latest,0
2012_q18,2,0.0,0.0,1.0,0.0,C,D,B,mistral:latest,0
2012_q18,3,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,B,mistral:latest,0
2012_q19,0,0.0,0.0,1.0,0.0,C,C,C,mistral:latest,1
2012_q19,1,0.0,1.0,0.0,0.0,B,B,C,mistral:latest,1
2012_q19,2,1.0,0.0,0.0,0.0,A,A,C,mistral:latest,1
2012_q19,3,0.0,0.0,0.0,1.0,D,D,C,mistral:latest,1
2012_q20,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,mistral:latest,0
2012_q20,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,D,A,mistral:latest,0
2012_q20,2,0.0,0.0,1.0,0.0,C,C,A,mistral:latest,0
2012_q20,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,B,A,mistral:latest,0
2012_q21,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,B,B,mistral:latest,0
2012_q21,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,B,mistral:latest,0
2012_q21,2,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,D,B,mistral:latest,0
2012_q21,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,mistral:latest,0
