id,question,option_a,option_b,option_c,option_d,answer
2012_q1,A bus company provides an online service for passengers to find bus routes. What information should passengers input? (1) Starting point (2) Destination (3) Number of bus stops (4) Bus fare,(1) and (2) only,(1) and (4) only,(2) and (3) only,"(1), (3) and (4) only",A
2012_q2,What are the 8-bit one's complement and 8-bit two's complement of the binary number 10110 ?,00001001 00001010,01001111 01010000,11101001 11101010,11110110 11110111,C
2012_q3,Which of the following actions involve converting data between digital and analog forms? (1) Playing mp3 music (2) Recording videos using a webcam (3) Copying a text file,(2) and (3) only,(1) and (3) only,(1) and (2) only,"(1), (2) and (3)",C
2012_q4,Peter configures the colour quality of a display unit. Which of the following pixels are involved? (1) Black (2) White (3) Green (4) Red (5) Blue,"(1), (3) and (5) only","(3), (4) and (5) only","(1), (2), (3) and (4) only","(2), (3), (4) and (5) only",B
2012_q5,"Peter and Mary share a database file X and execute database queries, T1 and T2, respectively. Which of the following activities should the database management system not do? (1) When T1 is reading X, T2 is reading X. (2) When T1 is writing records in X, T2 is writing records in X. (3) When T1 is deleting records in X, T2 is reading X.",(1) only,(2) only,(1) and (3) only,(2) and (3) only,D
2012_q6,Which of the following statements about clicking a hyperlink in a presentation file is correct?,The hyperlink needs to involve HTTP.,"A browser will not open when the hyperlink is ""http://hkeaa.edu.hk/hke.doc"".",A PDF reader will usually open when the hyperlink links to a PDF file.,The presentation file will close automatically when the hyperlink links to another presentation file.,C
2012_q9,Assume that every household has a residential telephone number. In which of the following database applications could the residential telephone number be used as a key field?,Towngas accounts,Student personal profiles,Personal bank accounts,Library cards,A
2012_q10,Why should a software suite be used in an IT project? (1) Data used in the project can be shared within the software suite effectively. (2) Data files generated by the software suite are smaller. (3) The project will be in a web-based format.,(2) and (3) only,(2) only,(1) and (3) only,(1) only,D
2012_q11,Which of the following statements about a check digit for a data item is correct?,The check digit cannot find all errors.,The data item should not contain more than 8 characters.,The check digit can correct errors.,The leading character of the data item should be a letter.,A
2012_q12,"When editing a document, which of the following word processing features can enhance its readability? (1) Tables (2) Find and replace (3) Footnotes",(2) only,(3) only,(1) and (2) only,(1) and (3) only,D
2012_q14,Which of the following is the main development trend for display units in desktop computers?,USB port,CPU computational power,User-friendly driver programs,Energy saving,D
