question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q3,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,llama3.2:latest,0,0.5,C,B,B
q3,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,B,llama3.2:latest,0,0.5,C,B,B
q3,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,llama3.2:latest,0,0.5,C,B,B
q3,3,0.0,0.0,1.0,0.0,C,C,B,llama3.2:latest,0,0.5,C,B,B
q2,0,0.0,1.0,0.0,0.0,B,A,A,llama3.2:latest,1,0.5,B,B,B
q2,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,A,llama3.2:latest,1,0.5,B,B,B
q2,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,llama3.2:latest,1,0.5,B,B,B
q2,3,0.0,1.0,0.0,0.0,B,B,A,llama3.2:latest,1,0.5,B,B,B
q4,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,D,llama3.2:latest,0,0.5,C,C,D
q4,1,0.0,0.0,1.0,0.0,C,C,D,llama3.2:latest,0,0.5,C,C,D
q4,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,D,llama3.2:latest,0,0.5,C,C,D
q4,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,D,llama3.2:latest,0,0.5,C,C,D
q1,0,0.0,0.0,1.0,0.0,C,C,C,llama3.2:latest,1,0.5,C,C,C
q1,1,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,C,llama3.2:latest,1,0.5,C,C,C
q1,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,C,llama3.2:latest,1,0.5,C,C,C
q1,3,0.0,0.0,0.0,1.0,D,D,C,llama3.2:latest,1,0.5,C,C,C
q6,0,0.0,0.0,1.0,0.0,C,B,B,llama3.2:latest,1,0.5,C,C,C
q6,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,B,llama3.2:latest,1,0.5,C,C,C
q6,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,D,B,llama3.2:latest,1,0.5,C,C,C
q6,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,B,llama3.2:latest,1,0.5,C,C,C
q5,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,D,llama3.2:latest,0,0.5,C,C,D
q5,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,D,llama3.2:latest,0,0.5,C,C,D
q5,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,llama3.2:latest,0,0.5,C,C,D
q5,3,0.0,0.0,1.0,0.0,C,A,D,llama3.2:latest,0,0.5,C,C,D
q8,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,B,llama3.2:latest,0,0.5,C,A,A
q8,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,B,llama3.2:latest,0,0.5,C,A,A
q8,2,0.0,0.0,1.0,0.0,C,D,B,llama3.2:latest,0,0.5,C,A,A
q8,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,B,llama3.2:latest,0,0.5,C,A,A
q7,0,0.0,0.0,1.0,0.0,C,D,D,llama3.2:latest,1,0.5,C,C,C
q7,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,D,llama3.2:latest,1,0.5,C,C,C
q7,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,D,llama3.2:latest,1,0.5,C,C,C
q7,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,D,llama3.2:latest,1,0.5,C,C,C
q9,0,0.0,1.0,0.0,0.0,B,A,A,llama3.2:latest,1,0.5,B,B,B
q9,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,llama3.2:latest,1,0.5,B,B,B
q9,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,A,llama3.2:latest,1,0.5,B,B,B
q9,3,0.0,0.0,1.0,0.0,C,B,A,llama3.2:latest,1,0.5,B,B,B
q11,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,B,llama3.2:latest,0,0.5,C,C,D
q11,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,B,llama3.2:latest,0,0.5,C,C,D
q11,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,B,llama3.2:latest,0,0.5,C,C,D
q11,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,C,B,llama3.2:latest,0,0.5,C,C,D
q10,0,0.0,1.0,0.0,0.0,B,C,C,llama3.2:latest,1,0.5,B,B,B
