question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q2,0,1.0,0.0,0.0,0.0,A,A,A,mistral:latest,1,0.5,A,A,A
q2,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,A,mistral:latest,1,0.5,A,A,A
q2,2,0.0,0.0,1.0,0.0,C,C,A,mistral:latest,1,0.5,A,A,A
q2,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,A,mistral:latest,1,0.5,A,A,A
q1,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,C,mistral:latest,0,0.5,D,C,D
q1,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,C,mistral:latest,0,0.5,D,C,D
q1,2,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,A,C,mistral:latest,0,0.5,D,C,D
q1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,D,C,mistral:latest,0,0.5,D,C,D
q4,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,mistral:latest,0,0.5,D,C,D
q4,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,0,0.5,D,C,D
q4,2,0.3333333333333333,0.0,0.0,0.6666666666666666,D,B,D,mistral:latest,0,0.5,D,C,D
q4,3,0.0,0.0,1.0,0.0,C,A,D,mistral:latest,0,0.5,D,C,D
q3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,B,B,mistral:latest,0,0.5,A,C,B
q3,1,1.0,0.0,0.0,0.0,A,A,B,mistral:latest,0,0.5,A,C,B
q3,2,0.0,0.0,0.5,0.5,C,D,B,mistral:latest,0,0.5,A,C,B
q3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,B,mistral:latest,0,0.5,A,C,B
q5,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,D,D,mistral:latest,0,0.5,D,C,A
q5,1,0.0,0.0,1.0,0.0,C,C,D,mistral:latest,0,0.5,D,C,A
q5,2,0.0,0.0,1.0,0.0,C,B,D,mistral:latest,0,0.5,D,C,A
q5,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,A,D,mistral:latest,0,0.5,D,C,A
q7,0,0.0,0.0,1.0,0.0,C,D,D,mistral:latest,1,0.5,C,C,C
q7,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,D,mistral:latest,1,0.5,C,C,C
q7,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,D,mistral:latest,1,0.5,C,C,C
q7,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,D,mistral:latest,1,0.5,C,C,C
