question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
q28,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,llama3:8b-instruct-q8_0
q28,1,0.0,0.0,1.0,0.0,C,A,llama3:8b-instruct-q8_0
q28,2,0.0,1.0,0.0,0.0,B,D,llama3:8b-instruct-q8_0
q28,3,0.0,0.0,1.0,0.0,C,C,llama3:8b-instruct-q8_0
q50,0,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
q50,1,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
q50,2,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
q50,3,1.0,0.0,0.0,0.0,A,B,llama3:8b-instruct-q8_0
q89,0,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
q89,1,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
q89,2,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
q89,3,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
q127,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,llama3:8b-instruct-q8_0
q127,1,0.0,0.0,1.0,0.0,C,D,llama3:8b-instruct-q8_0
q127,2,0.0,0.0,1.0,0.0,C,C,llama3:8b-instruct-q8_0
q127,3,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
q212,0,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
q212,1,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
q212,2,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
q212,3,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
q281,0,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
q281,1,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
q281,2,1.0,0.0,0.0,0.0,A,D,llama3:8b-instruct-q8_0
q281,3,1.0,0.0,0.0,0.0,A,C,llama3:8b-instruct-q8_0
q339,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,llama3:8b-instruct-q8_0
q339,1,1.0,0.0,0.0,0.0,A,D,llama3:8b-instruct-q8_0
q339,2,1.0,0.0,0.0,0.0,A,C,llama3:8b-instruct-q8_0
q339,3,1.0,0.0,0.0,0.0,A,B,llama3:8b-instruct-q8_0
q499,0,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
q499,1,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
q499,2,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
q499,3,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
q586,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,llama3:8b-instruct-q8_0
q586,1,0.0,0.0,1.0,0.0,C,C,llama3:8b-instruct-q8_0
q586,2,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
q586,3,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
q597,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,llama3:8b-instruct-q8_0
q597,1,0.0,1.0,0.0,0.0,B,C,llama3:8b-instruct-q8_0
q597,2,1.0,0.0,0.0,0.0,A,B,llama3:8b-instruct-q8_0
q597,3,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
q850,0,0.0,0.0,1.0,0.0,C,D,llama3:8b-instruct-q8_0
q850,1,0.0,1.0,0.0,0.0,B,C,llama3:8b-instruct-q8_0
q850,2,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
q850,3,1.0,0.0,0.0,0.0,A,A,llama3:8b-instruct-q8_0
q870,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,llama3:8b-instruct-q8_0
q870,1,0.0,0.0,1.0,0.0,C,C,llama3:8b-instruct-q8_0
q870,2,0.0,1.0,0.0,0.0,B,B,llama3:8b-instruct-q8_0
q870,3,0.0,0.0,0.0,1.0,D,A,llama3:8b-instruct-q8_0
q1164,0,0.0,0.0,0.0,0.0,,B,llama3:8b-instruct-q8_0
q1164,1,0.0,0.0,0.0,0.0,,A,llama3:8b-instruct-q8_0
q1164,2,0.0,0.0,0.0,0.0,,D,llama3:8b-instruct-q8_0
q1164,3,0.0,0.0,0.0,0.0,,C,llama3:8b-instruct-q8_0
