question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q1,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Mass-society theory suggests that:
q2,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q3,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Becker proclaimed that cannabis use was:
q4,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,The middle classes that developed over the nineteenth century were:
q5,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Technological forms of surveillance have made it easier to:
q6,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q7,Qwen/Qwen2.5-7B-Instruct,B,D,0,B,C,B,There was a growth in income inequality in the 1980s because:
q8,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,"If a deviant act is 'normalized', it is:"
q9,Qwen/Qwen2.5-7B-Instruct,B,A,0,B,B,B,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q10,Qwen/Qwen2.5-7B-Instruct,B,C,0,B,B,D,Marxist feminists explain patriarchy in terms of:
q11,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q12,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Anti-psychiatrists like Laing & Esterson believed that:
q13,Qwen/Qwen2.5-7B-Instruct,A,A,1,D,A,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q14,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,"In contemporary societies, social institutions are:"
q15,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q16,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q17,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,B,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
q18,Qwen/Qwen2.5-7B-Instruct,B,A,0,B,B,B,An ecclesia is:
q19,Qwen/Qwen2.5-7B-Instruct,C,A,0,B,C,C,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
q20,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,C,A,Sutherland's study of the 'professional thief' suggested that:
q21,Qwen/Qwen2.5-7B-Instruct,A,C,0,A,A,A,Which of the following policies did the New Labour government not pursue?
q22,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,B,C,"Stone's research suggests that prior to industrialization, the nuclear family:"
q23,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,"Statistics about rural, suburban, and urban patterns of development and mobility are almost always reported based on a geographical area labeled as Metropolitan Statistical Areas (MSA). What constitutes an MSA?"
q24,Qwen/Qwen2.5-7B-Instruct,D,D,1,C,D,D,Mosca and Pareto identified the ruling elite as:
q25,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Bourdieu attributed the reproduction of class to:
q26,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Secularization involves the two related ideas of:
q27,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The general fertility rate fell between 1964 and 2000 because of:
q28,Qwen/Qwen2.5-7B-Instruct,A,A,1,B,B,A,Howard's idea of the garden city consisted of:
q29,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The 'third age' of the life course is said to involve:
q30,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Weber (1919) said that the state's monopoly of the use of force was legitimated by:
q31,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Sullivan's (2000) study suggested that the proportion of housework men did was greatest when:
q32,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,The shift from custodial to joint parenthood after divorce means that:
q33,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Émile Durkheim believed the primary focus of sociology should be which of the following?
q34,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,"The term ""sociology"" was coined in the early 1800s by which of the following?"
q35,Qwen/Qwen2.5-7B-Instruct,D,A,0,D,B,A,"In their study of depression, Brown & Harris (1978) found that:"
q36,Qwen/Qwen2.5-7B-Instruct,A,A,1,C,A,A,The alternative form of 'network organization' means that:
q37,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,Margaret Mead suggested that:
q38,Qwen/Qwen2.5-7B-Instruct,D,D,1,C,C,D,The term 'secondary deviation' refers to:
q39,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,The effect of the Internet upon the public sphere has been to:
q40,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Weber said that the 'spirit of capitalism' could be traced back to:
q41,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The terms 'crisis of the 1970s' is used to refer to:
q42,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,The Macpherson Report highlighted the increasing problem of:
q43,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?
q44,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Environmentalist social movements are global in the sense that:
q45,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,B,A,Chodorow (1978) argued that gender socialization occurred through:
q46,Qwen/Qwen2.5-7B-Instruct,B,A,0,B,B,B,The 'new man' of the 1980s was alleged to be:
q47,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:"
q48,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,A,B,"In idealized views of science, the experimental method is said to involve:"
q49,Qwen/Qwen2.5-7B-Instruct,D,D,1,B,D,D,An 'open' society is one that:
q50,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,The Nation of Islam group appealed to:
q51,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Comte's term 'positivism' refers to:
q52,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Theories of racialized discourse suggest that:
q53,Qwen/Qwen2.5-7B-Instruct,C,B,0,C,B,B,"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?"
q54,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?
q55,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery"
q56,Qwen/Qwen2.5-7B-Instruct,A,C,0,A,B,A,Pluralist theories suggest that:
q57,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,The term 'over-urbanization' means that:
q58,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,B,C,The capitalist class of the mid-twentieth century were said to join the upper class because they:
q59,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,The term inter-generational mobility refers to:
q60,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,"The term 'culture industry', used by members of the Frankfurt School, referred to:"
q61,Qwen/Qwen2.5-7B-Instruct,C,B,0,C,C,C,"According to Hakim (1995, 1996), the majority of part-time work is done by women because:"
q62,Qwen/Qwen2.5-7B-Instruct,C,C,1,A,C,A,A sect is organised around:
q63,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,What is the name of the process by which we acquire a sense of identity and become members of society?
q64,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Pre-testing a questionnaire is useful for:
q65,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Judith Butler (1999) suggested that:
q66,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,Patterns of drug use in Britain reveal that:
q67,Qwen/Qwen2.5-7B-Instruct,B,D,0,B,B,D,Murray thought that the 'underclass' consisted of people who:
q68,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,"Religious organizations such as the Church of Norway, Islam, the Church of England, and the Church of Greece have which of the following characteristics in common?"
q69,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,"A researcher mailed 1,000 questionnaires to members of a labor union and received 300 back. Most of those who returned the questionnaires indicated that they were dissatisfied with the union. Results based only on the returned questionnaires are most likely contaminated by"
q70,Qwen/Qwen2.5-7B-Instruct,B,A,0,B,B,B,Role-learning theory suggests that
q71,Qwen/Qwen2.5-7B-Instruct,B,A,0,D,B,D,Post-modernist writers have argued that:
q72,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?"
q73,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Warner's study of the city of Natchez in the American Deep South showed that the 'colour line' there was:
q74,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,The social construction of childhood can be traced back to:
q75,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,"In Marx's theory, the 'mode of production' means:"
q76,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The trend of decarceration involves:
q77,Qwen/Qwen2.5-7B-Instruct,B,C,0,B,B,B,The work of Smart suggested that:
q78,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Allen's (2001) study of nurses showed that:
q79,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Which of the following best describes the practice of placing the blame for the problems of a society on one particular group?
q80,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,"Dahrendorf, Rex, and Habermas focused their attention on:"
q81,Qwen/Qwen2.5-7B-Instruct,A,D,0,A,D,A,Sreberny-Mohammadi (1996) argues that national cultures can resist American cultural domination of the media by:
q82,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Mulholland (1998) argued that privatization changed the relationship between companies and managers in that:
q83,Qwen/Qwen2.5-7B-Instruct,D,D,1,A,D,D,Which of the following is consistent with results of current research conducted in the area of gender roles and the workplace?
q84,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Socialization is:
q85,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,The term 'assets' refers to:
q86,Qwen/Qwen2.5-7B-Instruct,A,D,0,D,A,D,"In the traditional hierarchy of status and precedence, which of these members of the upper class are in the right order (from highest to lowest status)?"
q87,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Social norms are:
q88,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,The 'nuclear family' means:
q89,Qwen/Qwen2.5-7B-Instruct,C,D,0,C,D,C,The rise of new social movements indicates that:
q90,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,Which of the following sociological perspectives views society as a system of interdependent and coordinated parts?
q91,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Post-Fordist forms of media production and consumption involve:
q92,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Marx said that the development of the labour movement through factory-based production would turn the working class into:
q93,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,"In stage 3 of the 'health transition', the main causes of illness and death are:"
q94,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,B,D,Sociologists like Bordo (1993) have attributed the 'epidemic' of anorexia in Western cultures to:
q95,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,One of the difficulties in 'operationalizing' concepts like social class is that:
q96,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,B,A,"In the 1990 reform of the National Health Service, hospitals became:"
q97,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Law and order was privatized in the 1980s and 1990s through:
q98,Qwen/Qwen2.5-7B-Instruct,B,A,0,B,B,A,The 'correspondence principle' (Bowles & Gintis) suggests that:
q99,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Class segregation was apparent in mid-twentieth century Britain insofar as:
q100,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Charles Cooley's theory of the looking-glass self emphasizes
q101,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Queer Theory makes the claim that:
q102,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Scott (1991) introduced the term 'power elite' to describe:
q103,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,"A sociologist is conducting research on institutional power relations at a local hospital. The sociologist is on staff at the hospital for several weeks, recording data as field notes. This method of research is called"
q104,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,"In Symbolic Interactionist theory, Mead defined the 'generalized other' as:"
q105,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,"According to Davis (1995), women may seek cosmetic surgery because:"
q106,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Marx (1844) claimed that capitalism had alienated workers from:
q107,Qwen/Qwen2.5-7B-Instruct,B,D,0,B,D,D,Herberg's (1955) study of religion in America suggested that:
q108,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Structural-Functionalists describe society as:
q109,Qwen/Qwen2.5-7B-Instruct,D,A,0,D,B,D,Booth's (1901) study revealed that the percentage of people in London who were living in poverty was:
q110,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Traditional working class identity was based around:
q111,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,Bernstein thought that using 'restricted codes' of language disadvantaged pupils at school because:
q112,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Telework is a form of employment that involves:
q113,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Frank (1967) made the claim that 'underdeveloped' societies were:
q114,Qwen/Qwen2.5-7B-Instruct,C,A,0,A,C,A,The case of the former Soviet Union supports Kerr et al.'s (1960) claim that:
q115,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,The print revolution of the nineteenth century resulted in:
q116,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,A,B,The term 'feminist standpoint' suggests:
q117,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Ethnographic research produces qualitative data because:
q118,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Marx proclaimed that religion would disappear when:
q119,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,Which of the following is not a feature of globalization?
q120,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Someone who gains a higher (or lower) social position than he or she was born into has experienced
q121,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,A survey should avoid asking:
q122,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,"The theory of development which suggests that societies move from traditional to modern, industrial forms of organization is called:"
q123,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,"In modern societies, social status is typically measured by a person's:"
q124,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Sociology differs from common sense in that:
q125,Qwen/Qwen2.5-7B-Instruct,A,A,1,A,A,A,World-affirming religions:
q126,Qwen/Qwen2.5-7B-Instruct,B,B,1,B,B,B,The 'extension pattern' that Parker (1976) identified was said to be:
q127,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,Weber defined a 'class situation' as:
q128,Qwen/Qwen2.5-7B-Instruct,D,D,1,B,D,D,The introduction of market principles to educational policy in the 1980s resulted in:
q129,Qwen/Qwen2.5-7B-Instruct,B,C,0,B,D,B,Smith & Tomlinson argued that:
q130,Qwen/Qwen2.5-7B-Instruct,C,C,1,C,C,C,The 'post-industrial society' identified by Bell (1973) involved:
q131,Qwen/Qwen2.5-7B-Instruct,D,D,1,D,D,D,White-collar crime is low in visibility because:
