question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q4,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:1b,1,0.5,D,D,D
q4,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:1b,1,0.5,D,D,D
q4,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,D,gemma3:1b,1,0.5,D,D,D
q4,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,D,gemma3:1b,1,0.5,D,D,D
q2,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,A,gemma3:1b,0,0.5,C,C,A
q2,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,0,0.5,C,C,A
q2,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,gemma3:1b,0,0.5,C,C,A
q2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,B,A,gemma3:1b,0,0.5,C,C,A
q3,0,0.0,0.0,1.0,0.0,C,B,B,gemma3:1b,1,0.5,C,C,C
q3,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:1b,1,0.5,C,C,C
q3,2,0.0,0.0,1.0,0.0,C,D,B,gemma3:1b,1,0.5,C,C,C
q3,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,gemma3:1b,1,0.5,C,C,C
q1,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:1b,1,0.5,C,C,C
q1,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:1b,1,0.5,C,C,C
q1,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,C,gemma3:1b,1,0.5,C,C,C
q1,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,C,D,C,gemma3:1b,1,0.5,C,C,C
q8,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,B,gemma3:1b,0,0.5,C,C,A
q8,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:1b,0,0.5,C,C,A
q8,2,0.0,0.0,1.0,0.0,C,D,B,gemma3:1b,0,0.5,C,C,A
q8,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,B,gemma3:1b,0,0.5,C,C,A
q5,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:1b,1,0.5,D,D,D
q5,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:1b,1,0.5,D,D,D
q5,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,D,gemma3:1b,1,0.5,D,D,D
q5,3,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,D,gemma3:1b,1,0.5,D,D,D
q6,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,B,gemma3:1b,0,0.5,C,C,B
q6,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:1b,0,0.5,C,C,B
q6,2,0.0,0.0,1.0,0.0,C,D,B,gemma3:1b,0,0.5,C,C,B
q6,3,0.0,0.0,1.0,0.0,C,C,B,gemma3:1b,0,0.5,C,C,B
q7,0,0.0,0.0,1.0,0.0,C,D,D,gemma3:1b,1,0.5,C,C,C
q7,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,D,gemma3:1b,1,0.5,C,C,C
q7,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,D,gemma3:1b,1,0.5,C,C,C
q7,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:1b,1,0.5,C,C,C
q12,0,0.0,0.0,1.0,0.0,C,D,D,gemma3:1b,1,0.5,C,C,C
q12,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:1b,1,0.5,C,C,C
q12,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:1b,1,0.5,C,C,C
q12,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:1b,1,0.5,C,C,C
q10,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,C,gemma3:1b,0,0.5,D,C,D
q10,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:1b,0,0.5,D,C,D
q10,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:1b,0,0.5,D,C,D
q10,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:1b,0,0.5,D,C,D
q11,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,B,gemma3:1b,0,0.5,C,C,D
q11,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,gemma3:1b,0,0.5,C,C,D
q11,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,gemma3:1b,0,0.5,C,C,D
q11,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,gemma3:1b,0,0.5,C,C,D
q9,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,C,C,C
q9,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,1,0.5,C,C,C
q9,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:1b,1,0.5,C,C,C
q9,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,1,0.5,C,C,C
q14,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:1b,1,0.5,A,A,A
q14,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:1b,1,0.5,A,A,A
q14,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:1b,1,0.5,A,A,A
q14,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,A,gemma3:1b,1,0.5,A,A,A
q13,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,A,A,gemma3:1b,0,0.5,D,D,C
q13,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,0,0.5,D,D,C
q13,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,gemma3:1b,0,0.5,D,D,C
q13,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,0,0.5,D,D,C
q15,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,C,C,C
q15,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,1,0.5,C,C,C
q15,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,gemma3:1b,1,0.5,C,C,C
q15,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,1,0.5,C,C,C
q16,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:1b,1,0.5,A,A,A
q16,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:1b,1,0.5,A,A,A
q16,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:1b,1,0.5,A,A,A
q16,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:1b,1,0.5,A,A,A
q18,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,gemma3:1b,0,0.5,A,C,A
q18,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,D,A,gemma3:1b,0,0.5,A,C,A
q18,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:1b,0,0.5,A,C,A
q18,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,0,0.5,A,C,A
q17,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,C,C,C
q17,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:1b,1,0.5,C,C,C
q17,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,gemma3:1b,1,0.5,C,C,C
q17,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,A,gemma3:1b,1,0.5,C,C,C
q19,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,C,C,C
q19,1,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,A,gemma3:1b,1,0.5,C,C,C
q19,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,gemma3:1b,1,0.5,C,C,C
q19,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,1,0.5,C,C,C
q20,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,C,C,C
q20,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,1,0.5,C,C,C
q20,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:1b,1,0.5,C,C,C
q20,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,1,0.5,C,C,C
q22,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,C,gemma3:1b,0,0.5,C,C,B
q22,1,1.0,0.0,0.0,0.0,A,B,C,gemma3:1b,0,0.5,C,C,B
q22,2,1.0,0.0,0.0,0.0,A,A,C,gemma3:1b,0,0.5,C,C,B
q22,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:1b,0,0.5,C,C,B
q21,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:1b,1,0.5,C,C,C
q21,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:1b,1,0.5,C,C,C
q21,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,A,C,gemma3:1b,1,0.5,C,C,C
q21,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,gemma3:1b,1,0.5,C,C,C
q24,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,D,gemma3:1b,0,0.5,C,D,D
q24,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:1b,0,0.5,C,D,D
q24,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,D,B,D,gemma3:1b,0,0.5,C,D,D
q24,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,D,gemma3:1b,0,0.5,C,D,D
q23,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,gemma3:1b,0,0.5,C,B,B
q23,1,0.0,0.0,1.0,0.0,C,A,B,gemma3:1b,0,0.5,C,B,B
q23,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,gemma3:1b,0,0.5,C,B,B
q23,3,0.0,0.0,1.0,0.0,C,C,B,gemma3:1b,0,0.5,C,B,B
q25,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:1b,1,0.5,C,C,C
q25,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,gemma3:1b,1,0.5,C,C,C
q25,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,C,gemma3:1b,1,0.5,C,C,C
q25,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:1b,1,0.5,C,C,C
q26,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,C,gemma3:1b,0,0.5,C,C,A
q26,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,B,C,gemma3:1b,0,0.5,C,C,A
q26,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,C,gemma3:1b,0,0.5,C,C,A
q26,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,C,gemma3:1b,0,0.5,C,C,A
q28,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,D,A,A,gemma3:1b,0,0.5,D,C,A
q28,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,A,gemma3:1b,0,0.5,D,C,A
q28,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:1b,0,0.5,D,C,A
q28,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,gemma3:1b,0,0.5,D,C,A
q27,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:1b,1,0.5,C,C,C
q27,1,0.0,0.0,1.0,0.0,C,D,A,gemma3:1b,1,0.5,C,C,C
q27,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,gemma3:1b,1,0.5,C,C,C
q27,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:1b,1,0.5,C,C,C
q29,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,A,gemma3:1b,0,0.5,C,C,A
q29,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,A,gemma3:1b,0,0.5,C,C,A
q29,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,gemma3:1b,0,0.5,C,C,A
q29,3,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,A,gemma3:1b,0,0.5,C,C,A
q30,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,gemma3:1b,0,0.5,B,C,B
q30,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,B,gemma3:1b,0,0.5,B,C,B
q30,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:1b,0,0.5,B,C,B
q30,3,0.0,0.0,1.0,0.0,C,C,B,gemma3:1b,0,0.5,B,C,B
q31,0,0.0,0.0,1.0,0.0,C,D,D,gemma3:1b,1,0.5,C,C,C
q31,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:1b,1,0.5,C,C,C
q31,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:1b,1,0.5,C,C,C
q31,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:1b,1,0.5,C,C,C
q32,0,0.0,0.0,1.0,0.0,C,C,C,gemma3:1b,1,0.5,C,C,C
q32,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:1b,1,0.5,C,C,C
q32,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:1b,1,0.5,C,C,C
q32,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:1b,1,0.5,C,C,C
q33,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,gemma3:1b,0,0.5,B,C,B
q33,1,1.0,0.0,0.0,0.0,A,A,B,gemma3:1b,0,0.5,B,C,B
