question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
q22,0,0.0,0.0,0.0,0.0,,B,llama3.2:latest
q22,1,0.0,0.0,0.0,0.0,,A,llama3.2:latest
q22,2,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q22,3,0.0,0.0,0.0,0.0,,C,llama3.2:latest
q24,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,llama3.2:latest
q24,1,0.0,0.0,1.0,0.0,C,B,llama3.2:latest
q24,2,0.0,0.0,1.0,0.0,C,A,llama3.2:latest
q24,3,0.0,0.0,1.0,0.0,C,D,llama3.2:latest
q33,0,0.0,0.0,0.0,0.0,,A,llama3.2:latest
q33,1,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q33,2,0.0,0.0,1.0,0.0,C,C,llama3.2:latest
q33,3,0.0,0.0,0.0,0.0,,B,llama3.2:latest
q36,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,llama3.2:latest
q36,1,0.0,0.0,1.0,0.0,C,D,llama3.2:latest
q36,2,0.0,0.0,0.0,1.0,D,C,llama3.2:latest
q36,3,0.0,0.0,0.0,1.0,D,B,llama3.2:latest
q38,0,0.5,0.0,0.5,0.0,C,B,llama3.2:latest
q38,1,0.0,0.0,1.0,0.0,C,A,llama3.2:latest
q38,2,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q38,3,0.0,0.0,0.0,0.0,,C,llama3.2:latest
q42,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,llama3.2:latest
q42,1,1.0,0.0,0.0,0.0,A,D,llama3.2:latest
q42,2,0.0,0.0,1.0,0.0,C,C,llama3.2:latest
q42,3,0.0,1.0,0.0,0.0,B,B,llama3.2:latest
q43,0,0.0,0.0,0.0,0.0,,C,llama3.2:latest
q43,1,0.0,0.0,0.0,0.0,,B,llama3.2:latest
q43,2,0.0,0.0,0.0,0.0,,A,llama3.2:latest
q43,3,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q51,0,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q51,1,0.0,0.0,0.0,0.0,,C,llama3.2:latest
q51,2,0.0,0.0,0.0,0.0,,B,llama3.2:latest
q51,3,0.0,0.0,0.0,0.0,,A,llama3.2:latest
q54,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,llama3.2:latest
q54,1,0.0,0.0,1.0,0.0,C,B,llama3.2:latest
q54,2,1.0,0.0,0.0,0.0,A,A,llama3.2:latest
q54,3,1.0,0.0,0.0,0.0,A,D,llama3.2:latest
q60,0,0.0,0.0,1.0,0.0,C,C,llama3.2:latest
q60,1,0.0,0.0,0.0,0.0,,B,llama3.2:latest
q60,2,0.0,0.0,0.0,0.0,,A,llama3.2:latest
q60,3,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q61,0,0.0,0.0,0.0,0.0,,D,llama3.2:latest
q61,1,0.0,0.0,0.0,0.0,,C,llama3.2:latest
q61,2,0.0,0.0,0.0,0.0,,B,llama3.2:latest
