question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q3,0,0.0,1.0,0.0,0.0,B,B,B,mistral-nemo:latest,1,0.5,B,B,B
q3,1,1.0,0.0,0.0,0.0,A,A,B,mistral-nemo:latest,1,0.5,B,B,B
q3,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,mistral-nemo:latest,1,0.5,B,B,B
q3,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,B,mistral-nemo:latest,1,0.5,B,B,B
q2,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,A,mistral-nemo:latest,0,0.5,A,B,A
q2,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,A,mistral-nemo:latest,0,0.5,A,B,A
q2,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,A,mistral-nemo:latest,0,0.5,A,B,A
q2,3,0.0,1.0,0.0,0.0,B,B,A,mistral-nemo:latest,0,0.5,A,B,A
q4,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,mistral-nemo:latest,0,0.5,D,B,D
q4,1,0.3333333333333333,0.6666666666666666,0.0,0.0,B,C,D,mistral-nemo:latest,0,0.5,D,B,D
q4,2,1.0,0.0,0.0,0.0,A,B,D,mistral-nemo:latest,0,0.5,D,B,D
q4,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,A,D,mistral-nemo:latest,0,0.5,D,B,D
q1,0,0.0,0.0,1.0,0.0,C,C,C,mistral-nemo:latest,1,0.5,C,C,C
q1,1,0.0,1.0,0.0,0.0,B,B,C,mistral-nemo:latest,1,0.5,C,C,C
q1,2,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,C,mistral-nemo:latest,1,0.5,C,C,C
q1,3,0.0,0.0,0.0,1.0,D,D,C,mistral-nemo:latest,1,0.5,C,C,C
q6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,B,B,mistral-nemo:latest,0,0.5,C,B,A
q6,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,B,mistral-nemo:latest,0,0.5,C,B,A
q6,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,C,D,B,mistral-nemo:latest,0,0.5,C,B,A
q6,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,B,mistral-nemo:latest,0,0.5,C,B,A
q5,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,D,D,mistral-nemo:latest,0,0.5,D,C,D
q5,1,0.3333333333333333,0.6666666666666666,0.0,0.0,B,C,D,mistral-nemo:latest,0,0.5,D,C,D
q5,2,1.0,0.0,0.0,0.0,A,B,D,mistral-nemo:latest,0,0.5,D,C,D
q5,3,0.0,1.0,0.0,0.0,B,A,D,mistral-nemo:latest,0,0.5,D,C,D
