question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q2,0,0.0,0.0,0.0,1.0,D,C,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q2,1,0.0,0.0,1.0,0.0,C,B,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,C,0
q2,2,0.0,0.0,0.0,1.0,D,A,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q2,3,0.0,0.0,1.0,0.0,C,D,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,C,0
q3,0,0.0,1.0,0.0,0.0,B,B,B,Qwen/Qwen2.5-3B-Instruct,0.5,1,B,1
q3,1,1.0,0.0,0.0,0.0,A,A,B,Qwen/Qwen2.5-3B-Instruct,0.5,1,A,1
q3,2,0.0,0.0,0.0,1.0,D,D,B,Qwen/Qwen2.5-3B-Instruct,0.5,1,D,1
q3,3,0.0,0.0,1.0,0.0,C,C,B,Qwen/Qwen2.5-3B-Instruct,0.5,1,C,1
q4,0,1.0,0.0,0.0,0.0,A,A,A,Qwen/Qwen2.5-3B-Instruct,0.5,1,A,1
q4,1,1.0,0.0,0.0,0.0,A,D,A,Qwen/Qwen2.5-3B-Instruct,0.5,0,A,0
q4,2,0.0,0.0,0.0,1.0,D,C,A,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q4,3,0.0,1.0,0.0,0.0,B,B,A,Qwen/Qwen2.5-3B-Instruct,0.5,1,B,1
q5,0,0.0,0.0,0.0,1.0,D,C,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q5,1,0.0,0.0,1.0,0.0,C,B,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,C,0
q5,2,0.0,1.0,0.0,0.0,B,A,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,B,0
q5,3,1.0,0.0,0.0,0.0,A,D,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,A,0
q6,0,0.0,0.0,0.0,1.0,D,C,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q6,1,1.0,0.0,0.0,0.0,A,B,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,A,0
q6,2,0.0,0.0,0.0,1.0,D,A,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q6,3,0.0,0.0,0.0,1.0,D,D,C,Qwen/Qwen2.5-3B-Instruct,0.5,1,D,1
q7,0,0.0,0.0,0.0,1.0,D,C,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
q7,1,0.0,0.0,0.0,1.0,D,B,C,Qwen/Qwen2.5-3B-Instruct,0.5,0,D,0
