question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q4,0,0.0,0.5,0.5,0.0,C,A,A,llama3:8b-instruct-q6_K,0,0.5,C,C,B
q4,1,0.0,0.0,0.5,0.5,C,D,A,llama3:8b-instruct-q6_K,0,0.5,C,C,B
q4,2,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,A,llama3:8b-instruct-q6_K,0,0.5,C,C,B
q4,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,llama3:8b-instruct-q6_K,0,0.5,C,C,B
q2,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q2,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q2,2,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q2,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q3,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,B,llama3:8b-instruct-q6_K,0,0.5,B,C,C
q3,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,A,B,llama3:8b-instruct-q6_K,0,0.5,B,C,C
q3,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,D,B,llama3:8b-instruct-q6_K,0,0.5,B,C,C
q3,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,C,B,llama3:8b-instruct-q6_K,0,0.5,B,C,C
q1,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,A,llama3:8b-instruct-q6_K,0,0.5,C,C,D
q1,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,A,llama3:8b-instruct-q6_K,0,0.5,C,C,D
q1,2,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,A,llama3:8b-instruct-q6_K,0,0.5,C,C,D
q1,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,A,llama3:8b-instruct-q6_K,0,0.5,C,C,D
q5,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,C,C,llama3:8b-instruct-q6_K,0,0.5,A,C,D
q5,1,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q6_K,0,0.5,A,C,D
q5,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,A,A,C,llama3:8b-instruct-q6_K,0,0.5,A,C,D
q5,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,A,D,C,llama3:8b-instruct-q6_K,0,0.5,A,C,D
q6,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,B,B,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q6,2,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,A,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q6,3,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,C,llama3:8b-instruct-q6_K,0,0.5,B,C,B
q7,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,C,llama3:8b-instruct-q6_K,0,0.5,C,C,A
q7,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,llama3:8b-instruct-q6_K,0,0.5,C,C,A
