question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q1,0,1.0,0.0,0.0,0.0,A,A,A,ministral-3:14b,1,0.5,A,A,A
q1,1,0.0,0.0,0.0,1.0,D,D,A,ministral-3:14b,1,0.5,A,A,A
q1,2,0.0,0.0,1.0,0.0,C,C,A,ministral-3:14b,1,0.5,A,A,A
q1,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,1,0.5,A,A,A
q2,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,C,ministral-3:14b,0,0.5,C,B,A
q2,1,0.0,0.0,0.0,1.0,D,B,C,ministral-3:14b,0,0.5,C,B,A
q2,2,1.0,0.0,0.0,0.0,A,A,C,ministral-3:14b,0,0.5,C,B,A
q2,3,0.0,0.0,0.0,1.0,D,D,C,ministral-3:14b,0,0.5,C,B,A
q3,0,0.0,1.0,0.0,0.0,B,B,B,ministral-3:14b,1,0.5,B,B,B
q3,1,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,B,ministral-3:14b,1,0.5,B,B,B
q3,2,0.0,1.0,0.0,0.0,B,D,B,ministral-3:14b,1,0.5,B,B,B
q3,3,0.0,0.0,1.0,0.0,C,C,B,ministral-3:14b,1,0.5,B,B,B
q4,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,A,A,ministral-3:14b,0,0.5,B,B,A
q4,1,1.0,0.0,0.0,0.0,A,D,A,ministral-3:14b,0,0.5,B,B,A
q4,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,ministral-3:14b,0,0.5,B,B,A
q4,3,0.0,1.0,0.0,0.0,B,B,A,ministral-3:14b,0,0.5,B,B,A
q5,0,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,C,ministral-3:14b,0,0.5,D,C,D
q5,1,0.0,0.0,0.3333333333333333,0.6666666666666666,D,B,C,ministral-3:14b,0,0.5,D,C,D
q5,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,A,C,ministral-3:14b,0,0.5,D,C,D
q5,3,0.0,0.0,0.0,1.0,D,D,C,ministral-3:14b,0,0.5,D,C,D
q6,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,C,C,ministral-3:14b,0,0.5,B,B,D
q6,1,0.0,1.0,0.0,0.0,B,B,C,ministral-3:14b,0,0.5,B,B,D
q6,2,0.0,1.0,0.0,0.0,B,A,C,ministral-3:14b,0,0.5,B,B,D
q6,3,0.0,0.0,1.0,0.0,C,D,C,ministral-3:14b,0,0.5,B,B,D
q7,0,0.0,0.0,1.0,0.0,C,C,C,ministral-3:14b,1,0.5,C,C,C
q7,1,0.0,1.0,0.0,0.0,B,B,C,ministral-3:14b,1,0.5,C,C,C
q7,2,1.0,0.0,0.0,0.0,A,A,C,ministral-3:14b,1,0.5,C,C,C
q7,3,0.0,0.0,0.0,1.0,D,D,C,ministral-3:14b,1,0.5,C,C,C
q8,0,0.0,0.0,0.0,1.0,D,B,B,ministral-3:14b,1,0.5,D,D,D
q8,1,0.0,0.0,1.0,0.0,C,A,B,ministral-3:14b,1,0.5,D,D,D
