question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,temperature
q1,0,0.0,0.0,1.0,0.0,C,C,C,microsoft/Phi-3.5-mini-instruct,0.5
q1,1,0.0,1.0,0.0,0.0,B,B,C,microsoft/Phi-3.5-mini-instruct,0.5
q1,2,0.0,1.0,0.0,0.0,B,A,C,microsoft/Phi-3.5-mini-instruct,0.5
q1,3,0.0,0.0,0.0,1.0,D,D,C,microsoft/Phi-3.5-mini-instruct,0.5
q2,0,0.0,1.0,0.0,0.0,B,A,A,microsoft/Phi-3.5-mini-instruct,0.5
q2,1,0.0,0.0,0.0,1.0,D,D,A,microsoft/Phi-3.5-mini-instruct,0.5
q2,2,0.0,0.0,1.0,0.0,C,C,A,microsoft/Phi-3.5-mini-instruct,0.5
q2,3,0.0,1.0,0.0,0.0,B,B,A,microsoft/Phi-3.5-mini-instruct,0.5
q3,0,0.0,1.0,0.0,0.0,B,B,B,microsoft/Phi-3.5-mini-instruct,0.5
q3,1,1.0,0.0,0.0,0.0,A,A,B,microsoft/Phi-3.5-mini-instruct,0.5
q3,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3.5-mini-instruct,0.5
q3,3,0.0,0.0,1.0,0.0,C,C,B,microsoft/Phi-3.5-mini-instruct,0.5
q4,0,0.0,0.0,0.0,1.0,D,D,D,microsoft/Phi-3.5-mini-instruct,0.5
q4,1,0.0,0.0,1.0,0.0,C,C,D,microsoft/Phi-3.5-mini-instruct,0.5
q4,2,0.0,1.0,0.0,0.0,B,B,D,microsoft/Phi-3.5-mini-instruct,0.5
q4,3,0.0,1.0,0.0,0.0,B,A,D,microsoft/Phi-3.5-mini-instruct,0.5
q5,0,0.0,0.0,0.0,1.0,D,D,D,microsoft/Phi-3.5-mini-instruct,0.5
q5,1,0.0,0.0,1.0,0.0,C,C,D,microsoft/Phi-3.5-mini-instruct,0.5
q5,2,0.0,1.0,0.0,0.0,B,B,D,microsoft/Phi-3.5-mini-instruct,0.5
q5,3,1.0,0.0,0.0,0.0,A,A,D,microsoft/Phi-3.5-mini-instruct,0.5
q6,0,0.0,1.0,0.0,0.0,B,B,B,microsoft/Phi-3.5-mini-instruct,0.5
q6,1,0.0,1.0,0.0,0.0,B,A,B,microsoft/Phi-3.5-mini-instruct,0.5
q6,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3.5-mini-instruct,0.5
q6,3,0.0,0.0,1.0,0.0,C,C,B,microsoft/Phi-3.5-mini-instruct,0.5
q7,0,0.0,0.0,1.0,0.0,C,D,D,microsoft/Phi-3.5-mini-instruct,0.5
q7,1,0.0,1.0,0.0,0.0,B,C,D,microsoft/Phi-3.5-mini-instruct,0.5
q7,2,0.0,1.0,0.0,0.0,B,B,D,microsoft/Phi-3.5-mini-instruct,0.5
q7,3,0.0,0.0,0.0,1.0,D,A,D,microsoft/Phi-3.5-mini-instruct,0.5
q8,0,0.0,1.0,0.0,0.0,B,B,B,microsoft/Phi-3.5-mini-instruct,0.5
q8,1,1.0,0.0,0.0,0.0,A,A,B,microsoft/Phi-3.5-mini-instruct,0.5
q8,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3.5-mini-instruct,0.5
q8,3,0.0,0.0,1.0,0.0,C,C,B,microsoft/Phi-3.5-mini-instruct,0.5
q9,0,0.0,1.0,0.0,0.0,B,A,A,microsoft/Phi-3.5-mini-instruct,0.5
q9,1,1.0,0.0,0.0,0.0,A,D,A,microsoft/Phi-3.5-mini-instruct,0.5
q9,2,0.0,0.0,0.0,1.0,D,C,A,microsoft/Phi-3.5-mini-instruct,0.5
q9,3,0.0,0.0,1.0,0.0,C,B,A,microsoft/Phi-3.5-mini-instruct,0.5
q10,0,0.0,0.0,0.0,1.0,D,C,C,microsoft/Phi-3.5-mini-instruct,0.5
q10,1,0.0,0.0,1.0,0.0,C,B,C,microsoft/Phi-3.5-mini-instruct,0.5
q10,2,0.0,1.0,0.0,0.0,B,A,C,microsoft/Phi-3.5-mini-instruct,0.5
q10,3,0.0,0.0,1.0,0.0,C,D,C,microsoft/Phi-3.5-mini-instruct,0.5
q11,0,0.0,1.0,0.0,0.0,B,B,B,microsoft/Phi-3.5-mini-instruct,0.5
q11,1,0.0,0.0,0.0,1.0,D,A,B,microsoft/Phi-3.5-mini-instruct,0.5
q11,2,0.0,0.0,0.0,1.0,D,D,B,microsoft/Phi-3.5-mini-instruct,0.5
q11,3,0.0,0.0,1.0,0.0,C,C,B,microsoft/Phi-3.5-mini-instruct,0.5
q12,0,0.0,0.0,0.0,1.0,D,D,D,microsoft/Phi-3.5-mini-instruct,0.5
q12,1,0.0,0.0,1.0,0.0,C,C,D,microsoft/Phi-3.5-mini-instruct,0.5
q12,2,0.0,1.0,0.0,0.0,B,B,D,microsoft/Phi-3.5-mini-instruct,0.5
q12,3,1.0,0.0,0.0,0.0,A,A,D,microsoft/Phi-3.5-mini-instruct,0.5
